,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),COP,78494.0,78494.0,45828.0,18784.0,32567.0
Cost of revenue(figures in $M),COP,48481.0,48481.0,31060.0,17943.0,23254.0
Gross profit(figures in $M),COP,30013.0,30013.0,14768.0,841.0,9313.0
Selling general and administrative(figures in $M),COP,623.0,623.0,719.0,430.0,556.0
Total operating expenses(figures in $M),COP,4551.0,4551.0,2697.0,2641.0,2252.0
Operating income or loss(figures in $M),COP,25462.0,25462.0,12071.0,-1800.0,7061.0
Interest expense(figures in $M),COP,1055.0,1055.0,1126.0,1058.0,1104.0
Total other income/expenses net(figures in $M),COP,3626.0,3821.0,1767.0,-282.0,3567.0
Income before tax(figures in $M),COP,28228.0,28228.0,12712.0,-3140.0,9524.0
Income tax expense(figures in $M),COP,9548.0,9548.0,4633.0,-485.0,2267.0
Income from continuing operations(figures in $M),COP,18680.0,18680.0,8079.0,-2655.0,7257.0
Net income(figures in $M),COP,18680.0,18680.0,8079.0,-2701.0,7189.0
Net income available to common shareholders(figures in $M),COP,18620.0,18680.0,8079.0,-2701.0,7189.0
Basic EPS(figures in $M),COP,,,6.09e-06,-2.5099999999999997e-06,6.429999999999999e-06
Diluted EPS(figures in $M),COP,,,6.07e-06,-2.5099999999999997e-06,6.4000000000000006e-06
Basic average shares(figures in $M),COP,,,1324.194,1078.03,1117.26
Diluted average shares(figures in $M),COP,,,1328.151,1078.03,1123.536
EBITDA(figures in $M),COP,,36787.0,21046.0,3439.0,16718.0
