,ticker,2022-08-31,2021-08-31,2020-08-31,2019-08-31
Cash and cash equivalents(figures in $M),COST,10203.0,11258.0,12277.0,8384.0
Other short-term investments(figures in $M),COST,846.0,917.0,1028.0,1060.0
Total cash(figures in $M),COST,11049.0,12175.0,13305.0,9444.0
Net receivables(figures in $M),COST,2241.0,1803.0,1550.0,1535.0
Inventory(figures in $M),COST,17907.0,14215.0,12242.0,11395.0
Other current assets(figures in $M),COST,1499.0,1312.0,1023.0,1111.0
Total current assets(figures in $M),COST,32696.0,29505.0,28120.0,23485.0
"Gross property, plant and equipment(figures in $M)",COST,27420.0,26382.0,24595.0,32626.0
Accumulated depreciation(figures in $M),COST,-15286.0,-14166.0,-12896.0,-11736.0
"Net property, plant and equipment(figures in $M)",COST,27420.0,26382.0,24595.0,20890.0
Other long-term assets(figures in $M),COST,4050.0,3381.0,2841.0,1025.0
Total non-current assets(figures in $M),COST,31470.0,29763.0,27436.0,21915.0
Total assets(figures in $M),COST,64166.0,59268.0,55556.0,45400.0
Current debt(figures in $M),COST,73.0,799.0,95.0,1699.0
Accounts payable(figures in $M),COST,17848.0,16278.0,14172.0,11679.0
Accrued liabilities(figures in $M),COST,6292.0,5761.0,4998.0,4356.0
Other current liabilities(figures in $M),COST,5611.0,4561.0,3728.0,3792.0
Total current liabilities(figures in $M),COST,31998.0,29441.0,24844.0,23237.0
Long-term debt(figures in $M),COST,6484.0,6692.0,7514.0,5124.0
Other long-term liabilities(figures in $M),COST,2555.0,2415.0,1935.0,1455.0
Total non-current liabilities(figures in $M),COST,11521.0,11749.0,12007.0,6579.0
Total liabilities(figures in $M),COST,43519.0,41190.0,36851.0,29816.0
Common stock(figures in $M),COST,2.0,4.0,4.0,4.0
Retained earnings(figures in $M),COST,15585.0,11666.0,12879.0,10258.0
Accumulated other comprehensive income(figures in $M),COST,-1829.0,-1137.0,-1297.0,-1436.0
Total stockholders' equity(figures in $M),COST,20642.0,17564.0,18284.0,15243.0
Total liabilities and stockholders' equity(figures in $M),COST,64166.0,59268.0,55556.0,45400.0
