,ticker,sentiment
2023-04-06 13:13:39,COST,0.2023
2023-04-06 13:45:34,COST,0.6369
2023-04-06 14:02:31,COST,0.6369
2023-04-06 16:09:25,COST,0.7184
2023-04-07 04:00:22,COST,0.4588
2023-04-07 12:00:40,COST,0.6369
2023-04-09 03:01:00,COST,-0.4588
2023-04-09 07:00:27,COST,-0.2263
2023-04-10 00:21:00,COST,0.2023
2023-04-10 01:32:00,COST,0.34
2023-04-10 04:06:00,COST,0.6124
2023-04-10 06:40:01,COST,0.7269
2023-04-10 09:00:11,COST,0.4019
2023-04-10 12:38:07,COST,0.2023
2023-04-11 22:26:00,COST,0.25
2023-04-13 00:42:00,COST,0.34
2023-04-13 13:07:00,COST,-0.4215
2023-04-14 15:30:00,COST,0.5106
2023-04-15 00:33:28,COST,-0.3818
2023-04-15 03:00:28,COST,0.4215
2023-04-16 00:25:50,COST,-0.1531
2023-04-16 01:20:50,COST,0.3818
2023-04-16 07:00:20,COST,0.5719
2023-04-16 09:35:00,COST,0.8074
2023-04-17 04:00:39,COST,0.6369
2023-04-17 04:00:58,COST,-0.128
2023-04-17 05:00:22,COST,0.2235
2023-04-17 09:55:58,COST,0.5574
2023-04-17 15:00:21,COST,0.2263
2023-04-18 04:00:15,COST,0.6369
2023-04-18 14:31:15,COST,-0.4215
2023-04-18 20:26:00,COST,0.296
2023-04-19 03:34:00,COST,0.4404
2023-04-19 04:00:23,COST,0.2057
2023-04-19 07:49:08,COST,-0.34
2023-04-19 09:28:00,COST,0.3182
2023-04-19 09:34:00,COST,0.5423
2023-04-19 13:15:00,COST,0.3182
2023-04-19 21:12:00,COST,0.4939
2023-04-20 07:51:00,COST,-0.2263
2023-04-20 09:00:15,COST,-0.296
2023-04-21 04:00:46,COST,0.6369
2023-04-21 07:00:24,COST,0.34
2023-04-21 09:46:00,COST,0.5106
2023-04-21 10:00:11,COST,-0.2755
2023-04-21 23:29:00,COST,0.6369
2023-04-22 03:40:00,COST,0.6705
2023-04-22 17:22:39,COST,0.7096
2023-04-23 20:06:00,COST,0.34
2023-04-24 01:26:00,COST,0.296
2023-04-24 04:17:15,COST,0.6369
2023-04-24 06:12:00,COST,-0.296
2023-04-24 07:10:00,COST,0.0258
2023-04-24 07:30:00,COST,0.4215
2023-04-24 08:00:23,COST,-0.6249
2023-04-24 09:46:00,COST,0.5106
2023-04-24 11:00:10,COST,-0.5719
2023-04-25 01:00:00,COST,0.6369
2023-04-25 06:01:01,COST,0.6682
2023-04-25 13:01:29,COST,0.6369
2023-04-26 09:30:00,COST,0.4404
2023-04-27 10:00:18,COST,-0.3182
2023-04-27 11:19:36,COST,0.8176
2023-04-27 15:00:21,COST,-0.0772
2023-04-28 02:21:00,COST,0.4404
2023-04-28 07:57:58,COST,0.1265
2023-04-28 08:00:10,COST,-0.1695
2023-04-28 15:00:17,COST,-0.25
2023-04-29 23:08:02,COST,0.7096
2023-05-01 00:31:00,COST,-0.4019
2023-05-01 00:35:00,COST,-0.5267
2023-05-01 09:46:00,COST,0.3089
2023-05-02 02:14:00,COST,0.2732
2023-05-02 03:49:00,COST,0.2023
2023-05-02 04:00:39,COST,-0.7717
2023-05-02 08:00:07,COST,0.3182
2023-05-02 11:23:13,COST,0.6369
2023-05-02 20:38:00,COST,0.7351
2023-05-02 21:36:00,COST,0.049
2023-05-03 03:18:00,COST,0.0258
2023-05-03 07:47:43,COST,0.3612
2023-05-03 09:31:00,COST,-0.2732
2023-05-03 19:41:42,COST,0.2263
2023-05-04 00:12:00,COST,-0.128
2023-05-04 04:30:00,COST,0.4703
2023-05-04 05:27:00,COST,-0.2023
2023-05-04 08:47:52,COST,0.3612
2023-05-04 09:46:00,COST,-0.2584
2023-05-04 11:00:05,COST,0.4767
2023-05-04 14:35:00,COST,0.3182
2023-05-04 21:21:01,COST,0.3818
