,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),CRM,"30,966","34,674","38,597","43,236","50,140","55,747"
Dividend,CRM,0.00,0.00,0.00,0.00,-,-
Dividend Yield (in %),CRM,-,0.05 %,0.30 %,-,-,-
EPS,CRM,4.93,7.13,8.92,10.40,13.59,16.21
P/E Ratio,CRM,39.13,27.04,21.63,18.54,14.19,11.90
EBIT(In $M),CRM,"6,400","9,377","11,483","13,076","11,989","14,776"
EBITDA(In $M),CRM,"9,787","12,218","13,386","15,098","16,957","20,300"
Net Profit(In $M),CRM,"4,936","7,055","8,845","10,041","10,068","12,083"
Net Profit Adjusted(In $M),CRM,"4,936","7,055","8,845","10,245","10,068","12,083"
Pre-Tax Profit(In $M),CRM,"6,318","9,210","11,623","13,671",-,-
Net Profit (Adjusted)(In $M),CRM,882,"3,821","6,319","7,546","11,896","14,683"
EPS (Non-GAAP) ex. SOE(In $),CRM,3.48,5.90,7.19,8.95,10.34,12.55
EPS (GAAP)(In $),CRM,0.54,2.59,4.59,4.53,8.18,10.22
Gross Income(In $M),CRM,"23,844","26,937","30,095","33,263","44,148",-
Cash Flow from Investing(In $M),CRM,"-2,576",-684,"-1,291","-1,304",-709,-
Cash Flow from Operations(In $M),CRM,"6,864","8,253","10,973","12,838","20,460","27,931"
Cash Flow from Financing(In $M),CRM,"-1,562",-429,-185,228,4,-
Cash Flow per Share(In $),CRM,6.82,9.13,11.45,12.89,16.16,19.23
Free Cash Flow(In $M),CRM,"6,062","7,423","9,724","10,552","15,817","22,476"
Free Cash Flow per Share(In $),CRM,6.28,7.51,10.41,11.84,14.14,-
Book Value per Share(In $),CRM,60.09,63.78,71.87,78.58,66.50,74.80
Net Debt(In $M),CRM,"-2,762","-6,135","-12,952","-22,260","-17,584","-32,752"
Research & Development Exp.(In $M),CRM,"4,077","3,877","4,257","4,946",-,-
Capital Expenditure(In $M),CRM,772,851,926,"1,061","1,224","1,361"
"Selling, General & Admin. Exp.(In $M)",CRM,"14,970","15,531","16,711",-,-,-
Shareholder’s Equity(In $M),CRM,"60,207","64,671","73,667","83,212","64,530","71,687"
Total Assets(In $M),CRM,"99,009","106,574","118,228","140,701","94,616",-
