,2022,2021,2020,2019,2018,ticker
Current ratio,1.558,1.734,2.200,1.524,1.339,CSX
Quick ratio,1.376,1.551,2.002,1.367,1.108,CSX
Cash ratio,0.792,1.003,1.550,0.445,0.448,CSX
Days of sales outstanding,32.266,33.463,31.454,30.149,30.094,CSX
Days of inventory outstanding,13.726,16.762,17.719,13.488,12.839,CSX
Operating cycle,45.992,50.224,49.173,43.637,42.933,CSX
Days of payables outstanding,45.484,47.615,47.466,53.900,46.327,CSX
Cash conversion cycle,0.507,2.609,1.707,-10.263,-3.394,CSX
Gross profit margin,0.389,0.410,0.412,0.408,0.390,CSX
Operating profit margin,0.406,0.447,0.412,0.416,0.397,CSX
Pretax profit margin,0.365,0.395,0.343,0.362,0.351,CSX
Net profit margin,0.280,0.302,0.261,0.279,0.270,CSX
Effective tax rate,0.231,0.236,0.238,0.228,0.231,CSX
Return on assets,0.099,0.093,0.069,0.087,0.090,CSX
Return on equity,0.330,0.280,0.211,0.281,0.263,CSX
Return on capital employed,0.153,0.146,0.115,0.138,0.140,CSX
Net income per EBT,0.769,0.764,0.762,0.772,0.769,CSX
Ebt per ebit,0.899,0.885,0.831,0.869,0.884,CSX
Ebit per revenue,0.406,0.447,0.412,0.416,0.397,CSX
Debt ratio,0.699,0.667,0.671,0.690,0.657,CSX
Debt equity ratio,1.429,1.249,1.274,1.369,1.175,CSX
Long term debt to capitalization,0.586,0.553,0.554,0.574,0.540,CSX
Total debt to capitalization,0.588,0.555,0.560,0.578,0.540,CSX
Interest coverage,8.117,7.748,5.785,6.737,7.620,CSX
Cash flow to debt ratio,0.311,0.303,0.255,0.299,0.314,CSX
Company equity multiplier,3.320,3.005,3.035,3.225,2.924,CSX
Receivables turnover,11.312,10.908,11.604,12.106,12.129,CSX
Payables turnover,8.025,7.666,7.690,6.772,7.879,CSX
Inventory turnover,26.592,21.776,20.599,27.061,28.430,CSX
Fixed asset turnover,0.434,0.374,0.326,0.371,0.383,CSX
Asset turnover,0.354,0.309,0.266,0.312,0.334,CSX
Operating cash flow per share,2.552,2.316,1.853,2.030,1.891,CSX
Free cash flow per share,1.583,1.502,1.147,1.337,1.180,CSX
Cash per share,0.948,1.052,1.361,0.818,0.453,CSX
Payout ratio,0.205,0.222,0.288,0.229,0.227,CSX
Operating cash flow sales ratio,0.378,0.407,0.403,0.406,0.379,CSX
Free cash flow operating cash flow ratio,0.620,0.649,0.619,0.658,0.624,CSX
Cash flow coverage ratios,0.311,0.303,0.255,0.299,0.314,CSX
Short term coverage ratios,37.212,28.171,10.631,19.796,257.833,CSX
Capital expenditure coverage ratio,-2.634,-2.847,-2.622,-2.927,-2.660,CSX
Dividend paid and capex coverage ratio,-4.386,-5.356,-5.142,-5.425,-4.669,CSX
Dividend payout ratio,0.205,0.222,0.288,0.229,0.227,CSX
Price book value ratio,5.403,6.138,5.307,4.857,4.045,CSX
Price to book ratio,5.403,6.138,5.307,4.857,4.045,CSX
Price to sales ratio,4.593,6.612,6.574,4.827,4.149,CSX
Price earnings ratio,16.375,21.898,25.163,17.299,15.359,CSX
Price to free cash flows ratio,19.569,25.029,26.384,18.047,17.549,CSX
Price to operating cash flows ratio,12.141,16.238,16.321,11.881,10.951,CSX
Price cash flow ratio,12.141,16.238,16.321,11.881,10.951,CSX
Price earnings to growth ratio,1.657,0.505,-1.841,5.609,-0.449,CSX
Price sales ratio,4.593,6.612,6.574,4.827,4.149,CSX
Dividend yield,0.012,0.010,0.011,0.013,0.015,CSX
Enterprise value multiple,11.012,13.732,14.426,11.387,10.316,CSX
Price fair value,5.403,6.138,5.307,4.857,4.045,CSX
