,2021,2020,2019,2018,2017,ticker
Current ratio,0.730,0.925,0.827,0.717,1.554,CTXS
Quick ratio,0.600,0.806,0.716,0.650,1.458,CTXS
Cash ratio,0.218,0.350,0.298,0.213,0.661,CTXS
Days of sales outstanding,100.442,96.757,87.336,84.493,92.072,CTXS
Days of inventory outstanding,13.523,14.708,12.505,18.431,11.550,CTXS
Operating cycle,113.964,111.465,99.841,102.924,103.622,CTXS
Days of payables outstanding,96.494,67.551,66.494,63.568,55.535,CTXS
Cash conversion cycle,17.470,43.914,33.347,39.355,48.087,CTXS
Gross profit margin,0.806,0.846,0.846,0.854,0.844,CTXS
Operating profit margin,0.074,0.188,0.178,0.228,0.202,CTXS
Pretax profit margin,0.052,0.171,0.169,0.212,0.195,CTXS
Net profit margin,0.096,0.156,0.226,0.194,-0.007,CTXS
Effective tax rate,-0.840,0.091,-0.338,0.085,0.960,CTXS
Return on assets,0.044,0.103,0.155,0.112,-0.004,CTXS
Return on equity,0.562,4.498,0.814,1.029,-0.021,CTXS
Return on capital employed,0.051,0.222,0.209,0.305,0.138,CTXS
Net income per EBT,1.840,0.909,1.338,0.915,-0.038,CTXS
Ebt per ebit,0.706,0.911,0.950,0.928,0.964,CTXS
Ebit per revenue,0.074,0.188,0.178,0.228,0.202,CTXS
Debt ratio,0.922,0.977,0.809,0.891,0.829,CTXS
Debt equity ratio,11.746,42.608,4.240,8.178,4.864,CTXS
Long term debt to capitalization,0.865,0.939,0.470,0.570,0.682,CTXS
Total debt to capitalization,0.865,0.939,0.470,0.772,0.682,CTXS
Interest coverage,2.578,9.412,11.661,8.457,11.064,CTXS
Cash flow to debt ratio,0.192,0.540,1.054,0.546,0.427,CTXS
Company equity multiplier,12.746,43.608,5.240,9.178,5.864,CTXS
Receivables turnover,3.634,3.772,4.179,4.320,3.964,CTXS
Payables turnover,3.783,5.403,5.489,5.742,6.572,CTXS
Inventory turnover,26.992,24.817,29.189,19.804,31.602,CTXS
Fixed asset turnover,8.609,8.175,6.873,12.218,11.168,CTXS
Asset turnover,0.461,0.662,0.686,0.579,0.485,CTXS
Operating cash flow per share,5.379,7.573,5.984,7.611,6.024,CTXS
Free cash flow per share,4.614,7.168,5.473,7.078,5.438,CTXS
Cash per share,4.222,7.097,4.500,8.839,11.591,CTXS
Payout ratio,0.598,0.341,0.268,0.081,0,CTXS
Operating cash flow sales ratio,0.209,0.289,0.260,0.348,0.322,CTXS
Free cash flow operating cash flow ratio,0.858,0.947,0.914,0.930,0.903,CTXS
Cash flow coverage ratios,0.192,0.540,1.054,0.546,0.427,CTXS
Short term coverage ratios,0,0,0,0.896,0,CTXS
Capital expenditure coverage ratio,-7.029,-18.709,-11.696,-14.268,-10.289,CTXS
Dividend paid and capex coverage ratio,7.613,7.671,6.751,-40.184,-10.289,CTXS
Dividend payout ratio,0.598,0.341,0.268,0.081,0,CTXS
Price book value ratio,21.581,143.363,17.324,24.905,13.369,CTXS
Price to book ratio,21.581,143.363,17.324,24.905,13.369,CTXS
Price to sales ratio,3.671,4.967,4.820,4.687,4.697,CTXS
Price earnings ratio,38.409,31.871,21.284,24.211,-640.405,CTXS
Price to free cash flows ratio,20.501,18.150,20.264,14.476,16.181,CTXS
Price to operating cash flows ratio,17.584,17.180,18.532,13.462,14.609,CTXS
Price cash flow ratio,17.584,17.180,18.532,13.462,14.609,CTXS
Price earnings to growth ratio,-0.969,-1.469,0.919,0.007,6.172,CTXS
Price sales ratio,3.671,4.967,4.820,4.687,4.697,CTXS
Dividend yield,0.016,0.011,0.013,0.003,0,CTXS
Enterprise value multiple,27.940,22.407,19.803,17.870,20.450,CTXS
Price fair value,21.581,143.363,17.324,24.905,13.369,CTXS
