,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),CVX,17678.0,5640.0,5596.0,5686.0
Other short-term investments(figures in $M),CVX,223.0,35.0,31.0,63.0
Total cash(figures in $M),CVX,17901.0,5675.0,5627.0,5686.0
Net receivables(figures in $M),CVX,20456.0,18419.0,11471.0,13325.0
Inventory(figures in $M),CVX,8247.0,6305.0,5676.0,5848.0
Other current assets(figures in $M),CVX,3739.0,0.0,0.0,0.0
Total current assets(figures in $M),CVX,50343.0,33738.0,26078.0,28329.0
"Gross property, plant and equipment(figures in $M)",CVX,327785.0,336045.0,345232.0,326722.0
Accumulated depreciation(figures in $M),CVX,-184194.0,-189084.0,-188614.0,-176228.0
"Net property, plant and equipment(figures in $M)",CVX,143591.0,146961.0,156618.0,150494.0
Equity and other investments(figures in $M),CVX,45238.0,40696.0,39052.0,38688.0
Goodwill(figures in $M),CVX,4722.0,4385.0,4402.0,4463.0
Other long-term assets(figures in $M),CVX,12746.0,768.0,1101.0,3411.0
Total non-current assets(figures in $M),CVX,207366.0,205797.0,213712.0,209099.0
Total assets(figures in $M),CVX,257709.0,239535.0,239790.0,237428.0
Current debt(figures in $M),CVX,1964.0,256.0,1548.0,3282.0
Accounts payable(figures in $M),CVX,18955.0,16454.0,10950.0,14103.0
Taxes payable(figures in $M),CVX,4381.0,1700.0,921.0,1554.0
Accrued liabilities(figures in $M),CVX,7486.0,6972.0,7812.0,6589.0
Total current liabilities(figures in $M),CVX,34208.0,26791.0,22183.0,26530.0
Long-term debt(figures in $M),CVX,21375.0,31113.0,42767.0,23691.0
Deferred tax liabilities(figures in $M),CVX,17131.0,14665.0,12569.0,13688.0
Deferred revenues(figures in $M),CVX,20396.0,20778.0,20328.0,20445.0
Other long-term liabilities(figures in $M),CVX,20396.0,0.0,0.0,0.0
Total non-current liabilities(figures in $M),CVX,63259.0,72804.0,84881.0,65690.0
Total liabilities(figures in $M),CVX,257709.0,100468.0,108102.0,93215.0
Common stock(figures in $M),CVX,1832.0,1832.0,1832.0,1832.0
Retained earnings(figures in $M),CVX,190024.0,165546.0,160377.0,174945.0
Accumulated other comprehensive income(figures in $M),CVX,-3038.0,-4129.0,-5852.0,-5230.0
Total stockholders' equity(figures in $M),CVX,159282.0,139067.0,131688.0,144213.0
Total liabilities and stockholders' equity(figures in $M),CVX,257709.0,239535.0,239790.0,237428.0
