,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),DD,3662.0,2011.0,2544.0,1540.0
Other short-term investments(figures in $M),DD,1302.0,0.0,0.0,0.0
Total cash(figures in $M),DD,4964.0,2011.0,2544.0,1540.0
Net receivables(figures in $M),DD,2518.0,2711.0,3551.0,3802.0
Inventory(figures in $M),DD,2329.0,2862.0,3726.0,4319.0
Other current assets(figures in $M),DD,168.0,236.0,246.0,338.0
Total current assets(figures in $M),DD,11315.0,8065.0,10877.0,9999.0
"Gross property, plant and equipment(figures in $M)",DD,10179.0,11701.0,15982.0,15112.0
Accumulated depreciation(figures in $M),DD,-4448.0,-4735.0,-5997.0,-4969.0
"Net property, plant and equipment(figures in $M)",DD,5731.0,6966.0,9985.0,10143.0
Equity and other investments(figures in $M),DD,733.0,981.0,1083.0,1228.0
Goodwill(figures in $M),DD,16663.0,19578.0,30244.0,33151.0
Intangible assets(figures in $M),DD,5495.0,8442.0,11144.0,13593.0
Other long-term assets(figures in $M),DD,1354.0,53.0,7337.0,1014.0
Total non-current assets(figures in $M),DD,30085.0,37642.0,60027.0,59397.0
Total assets(figures in $M),DD,41400.0,45707.0,70904.0,69396.0
Current debt(figures in $M),DD,300.0,150.0,5.0,3830.0
Accounts payable(figures in $M),DD,2103.0,2612.0,2964.0,2934.0
Taxes payable(figures in $M),DD,233.0,278.0,205.0,240.0
Accrued liabilities(figures in $M),DD,951.0,1197.0,1385.0,1342.0
Other current liabilities(figures in $M),DD,261.0,25.0,140.0,0.0
Total current liabilities(figures in $M),DD,3848.0,4262.0,4699.0,8346.0
Long-term debt(figures in $M),DD,7774.0,10632.0,21806.0,13617.0
Deferred tax liabilities(figures in $M),DD,1158.0,1974.0,2905.0,3514.0
Other long-term liabilities(figures in $M),DD,1151.0,937.0,1076.0,1191.0
Total non-current liabilities(figures in $M),DD,10605.0,14395.0,27135.0,19494.0
Total liabilities(figures in $M),DD,14453.0,18657.0,31834.0,27840.0
Common stock(figures in $M),DD,5.0,5.0,7.0,7.0
Retained earnings(figures in $M),DD,-21135.0,-23187.0,-11586.0,-8400.0
Accumulated other comprehensive income(figures in $M),DD,-791.0,41.0,44.0,-1416.0
Total stockholders' equity(figures in $M),DD,26499.0,26433.0,38504.0,40987.0
Total liabilities and stockholders' equity(figures in $M),DD,41400.0,45707.0,70904.0,69396.0
