,2022,2021,2020,2019,2018,ticker
Current ratio,0,16.933,0,0,0.187,DFS
Quick ratio,0,16.933,0,0,0.171,DFS
Cash ratio,0,14.589,0,0,0.171,DFS
Days of sales outstanding,2.867 K,27.601,31.075,0,0,DFS
Days of inventory outstanding,0,0,0,0,0,DFS
Days of payables outstanding,0,0,0,0,0,DFS
Gross profit margin,1,1,1,1,1,DFS
Operating profit margin,0.570,0.678,0.298,0.555,0.536,DFS
Pretax profit margin,0.431,0.584,0.129,0.335,0.336,DFS
Net profit margin,0.329,0.451,0.103,0.258,0.256,DFS
Effective tax rate,0.235,0.229,0.205,0.229,0.238,DFS
Return on assets,0.033,0.049,0.010,0.026,0.026,DFS
Return on equity,0.301,0.406,0.105,0.249,0.246,DFS
Return on capital employed,0.058,0.075,0.029,0.056,0.193,DFS
Net income per EBT,0.765,0.771,0.795,0.771,0.762,DFS
Ebt per ebit,0.755,0.862,0.435,0.603,0.627,DFS
Ebit per revenue,0.570,0.678,0.298,0.555,0.536,DFS
Debt ratio,0.889,0.878,0,0,0.917,DFS
Debt equity ratio,1.378,1.509,1.952,2.167,2.446,DFS
Long term debt to capitalization,0.580,0.586,0.661,0.684,0.710,DFS
Total debt to capitalization,0.580,0.601,0.661,0.684,0.710,DFS
Interest coverage,4.079,7.229,1.769,2.516,2.682,DFS
Cash flow to debt ratio,0.355,0.298,0.292,0.241,0.191,DFS
Company equity multiplier,9.022,8.222,10.372,9.613,9.648,DFS
Receivables turnover,0.127,13.224,11.746,0,0,DFS
Payables turnover,0,0,0,0,0,DFS
Inventory turnover,0,0,0,0,0,DFS
Fixed asset turnover,13.297,12.296,10.796,10.841,11.441,DFS
Asset turnover,0.101,0.110,0.098,0.101,0.100,DFS
Operating cash flow per share,23.257,20.063,20.182,19.363,15.090,DFS
Free cash flow per share,22.489,19.417,19.332,18.475,14.352,DFS
Cash per share,74.306,67.507,92.391,57.606,38.660,DFS
Payout ratio,0.160,0.117,0.505,0.194,0.201,DFS
Operating cash flow sales ratio,0.535,0.498,0.559,0.541,0.485,DFS
Free cash flow operating cash flow ratio,0.967,0.968,0.958,0.954,0.951,DFS
Cash flow coverage ratios,0.355,0.298,0.292,0.241,0.191,DFS
Short term coverage ratios,0,4.815,0,0,0,DFS
Capital expenditure coverage ratio,-30.254,-31.026,-23.739,-21.817,-20.437,DFS
Dividend paid and capex coverage ratio,15.289,13.618,19.670,21.439,17.419,DFS
Dividend payout ratio,0.160,0.117,0.505,0.194,0.201,DFS
Price book value ratio,2.059,2.586,2.554,2.289,1.823,DFS
Price to book ratio,2.059,2.586,2.554,2.289,1.823,DFS
Price to sales ratio,2.252,2.868,2.507,2.369,1.895,DFS
Price earnings ratio,6.838,6.362,24.358,9.179,7.399,DFS
Price to free cash flows ratio,4.350,5.952,4.683,4.591,4.110,DFS
Price to operating cash flows ratio,4.206,5.760,4.486,4.381,3.909,DFS
Price cash flow ratio,4.206,5.760,4.486,4.381,3.909,DFS
Price earnings to growth ratio,-0.345,0.016,-0.403,0.560,0.169,DFS
Price sales ratio,2.252,2.868,2.507,2.369,1.895,DFS
Dividend yield,0.023,0.018,0.021,0.021,0.027,DFS
Enterprise value multiple,3.555,4.200,6.164,5.188,5.545,DFS
Price fair value,2.059,2.586,2.554,2.289,1.823,DFS
