,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),DGX,315.0,872.0,1158.0,1192.0
Total cash(figures in $M),DGX,315.0,872.0,1158.0,1192.0
Net receivables(figures in $M),DGX,1195.0,1438.0,1520.0,1063.0
Inventory(figures in $M),DGX,192.0,208.0,223.0,123.0
Other current assets(figures in $M),DGX,196.0,0.0,0.0,0.0
Total current assets(figures in $M),DGX,1898.0,2741.0,3058.0,2490.0
"Gross property, plant and equipment(figures in $M)",DGX,2351.0,2304.0,2231.0,1971.0
Accumulated depreciation(figures in $M),DGX,-3337.0,-3088.0,-2992.0,-2776.0
"Net property, plant and equipment(figures in $M)",DGX,2351.0,2304.0,2231.0,1971.0
Equity and other investments(figures in $M),DGX,132.0,141.0,521.0,482.0
Goodwill(figures in $M),DGX,7220.0,7095.0,6873.0,6619.0
Intangible assets(figures in $M),DGX,1092.0,1167.0,1167.0,1121.0
Other long-term assets(figures in $M),DGX,144.0,163.0,176.0,160.0
Total non-current assets(figures in $M),DGX,10939.0,10870.0,10968.0,10353.0
Total assets(figures in $M),DGX,12837.0,13611.0,14026.0,12843.0
Current debt(figures in $M),DGX,2.0,2.0,2.0,804.0
Accounts payable(figures in $M),DGX,324.0,357.0,446.0,263.0
Taxes payable(figures in $M),DGX,2.0,10.0,43.0,27.0
Accrued liabilities(figures in $M),DGX,881.0,1038.0,915.0,585.0
Total current liabilities(figures in $M),DGX,1551.0,1753.0,1776.0,1990.0
Long-term debt(figures in $M),DGX,3978.0,4010.0,4013.0,3966.0
Other long-term liabilities(figures in $M),DGX,812.0,792.0,847.0,711.0
Total non-current liabilities(figures in $M),DGX,5279.0,5296.0,5359.0,5090.0
Total liabilities(figures in $M),DGX,6830.0,7049.0,7135.0,7080.0
Common stock(figures in $M),DGX,2.0,2.0,2.0,2.0
Retained earnings(figures in $M),DGX,8290.0,7649.0,9303.0,8174.0
Accumulated other comprehensive income(figures in $M),DGX,-21.0,-14.0,-21.0,-39.0
Total stockholders' equity(figures in $M),DGX,5893.0,6444.0,6759.0,5641.0
Total liabilities and stockholders' equity(figures in $M),DGX,12837.0,13611.0,14026.0,12843.0
