,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),DHR,31471.0,31471.0,29453.0,22284.0,17911.1
Cost of revenue(figures in $M),DHR,12522.0,12522.0,11501.0,9809.0,7927.4
Gross profit(figures in $M),DHR,18949.0,18949.0,17952.0,12475.0,9983.7
Research development(figures in $M),DHR,1745.0,1745.0,1742.0,1348.0,1126.0
Selling general and administrative(figures in $M),DHR,8516.0,8516.0,8198.0,6896.0,5588.3
Total operating expenses(figures in $M),DHR,10261.0,10261.0,10487.0,8244.0,6714.3
Operating income or loss(figures in $M),DHR,8688.0,8688.0,7465.0,4231.0,3269.4
Interest expense(figures in $M),DHR,211.0,211.0,238.0,275.0,108.6
Total other income/expenses net(figures in $M),DHR,-226.0,-226.0,360.0,468.0,5.5
Income before tax(figures in $M),DHR,8292.0,8292.0,7598.0,4495.0,3305.3
Income tax expense(figures in $M),DHR,1083.0,1083.0,1251.0,849.0,873.0
Income from continuing operations(figures in $M),DHR,7209.0,7209.0,6347.0,3646.0,2432.3
Net income(figures in $M),DHR,7209.0,7209.0,6433.0,3646.0,3008.2
Net income available to common shareholders(figures in $M),DHR,7103.0,7103.0,6269.0,3510.0,2939.8
Basic EPS(figures in $M),DHR,,9.800000000000001e-06,8.769999999999999e-06,4.97e-06,4.1100000000000005e-06
Diluted EPS(figures in $M),DHR,,9.66e-06,8.609999999999999e-06,4.89e-06,4.05e-06
Basic average shares(figures in $M),DHR,,725.1,714.6,706.2,715.0
Diluted average shares(figures in $M),DHR,,737.1,736.8,718.7,725.5
EBITDA(figures in $M),DHR,,10725.0,10004.0,6545.0,4603.4
