,2022,2021,2020,2019,2018,ticker
Current ratio,1.893,1.431,1.865,5.190,1.465,DHR
Quick ratio,1.301,0.887,1.362,4.684,0.883,DHR
Cash ratio,0.715,0.318,0.815,4.037,0.163,DHR
Days of sales outstanding,57.039,57.390,66.255,65.036,64.028,DHR
Days of inventory outstanding,90.652,87.815,85.287,74.972,79.353,DHR
Operating cycle,147.691,145.205,151.542,140.007,143.381,DHR
Days of payables outstanding,66.925,81.531,76.245,69.727,71.156,DHR
Cash conversion cycle,80.766,63.674,75.297,70.280,72.224,DHR
Gross profit margin,0.602,0.610,0.560,0.557,0.558,DHR
Operating profit margin,0.276,0.253,0.190,0.183,0.171,DHR
Pretax profit margin,0.263,0.258,0.202,0.185,0.166,DHR
Net profit margin,0.229,0.218,0.164,0.168,0.133,DHR
Effective tax rate,0.131,0.165,0.189,0.264,0.195,DHR
Return on assets,0.085,0.077,0.048,0.048,0.055,DHR
Return on equity,0.144,0.142,0.092,0.099,0.094,DHR
Return on capital employed,0.114,0.099,0.062,0.057,0.079,DHR
Net income per EBT,0.869,0.847,0.811,0.910,0.805,DHR
Ebt per ebit,0.954,1.018,1.062,1.011,0.967,DHR
Ebit per revenue,0.276,0.253,0.190,0.183,0.171,DHR
Debt ratio,0.406,0.457,0.478,0.512,0.410,DHR
Debt equity ratio,0.393,0.491,0.533,0.718,0.345,DHR
Long term debt to capitalization,0.276,0.329,0.348,0.415,0.256,DHR
Total debt to capitalization,0.282,0.329,0.348,0.418,0.257,DHR
Interest coverage,41.175,31.366,15.385,30.105,21.625,DHR
Cash flow to debt ratio,0.433,0.377,0.293,0.182,0.413,DHR
Company equity multiplier,1.684,1.842,1.915,2.051,1.695,DHR
Receivables turnover,6.399,6.360,5.509,5.612,5.701,DHR
Payables turnover,5.454,4.477,4.787,5.235,5.130,DHR
Inventory turnover,4.026,4.156,4.280,4.869,4.600,DHR
Fixed asset turnover,7.955,7.771,6.831,7.781,7.922,DHR
Asset turnover,0.373,0.354,0.293,0.289,0.416,DHR
Operating cash flow per share,11.749,11.696,8.791,5.527,5.741,DHR
Free cash flow per share,10.160,9.885,7.671,4.638,4.805,DHR
Cash per share,8.268,3.619,8.546,27.849,1.124,DHR
Payout ratio,0.113,0.115,0.169,0.250,0.163,DHR
Operating cash flow sales ratio,0.271,0.284,0.279,0.221,0.202,DHR
Free cash flow operating cash flow ratio,0.865,0.845,0.873,0.839,0.837,DHR
Cash flow coverage ratios,0.433,0.377,0.293,0.182,0.413,DHR
Short term coverage ratios,14.415,1.045 K,564.364,18.605,77.645,DHR
Capital expenditure coverage ratio,-7.395,-6.459,-7.848,-6.218,-6.134,DHR
Dividend paid and capex coverage ratio,-25.506,-15.141,-35.273,34.302,-18.093,DHR
Dividend payout ratio,0.113,0.115,0.169,0.250,0.163,DHR
Price book value ratio,3.843,5.205,3.945,3.625,2.561,DHR
Price to book ratio,3.843,5.205,3.945,3.625,2.561,DHR
Price to sales ratio,6.115,7.983,7.040,6.127,3.632,DHR
Price earnings ratio,26.697,36.548,43.027,36.480,27.253,DHR
Price to free cash flows ratio,26.124,33.283,28.960,33.093,21.462,DHR
Price to operating cash flows ratio,22.591,28.130,25.270,27.771,17.963,DHR
Price cash flow ratio,22.591,28.130,25.270,27.771,17.963,DHR
Price earnings to growth ratio,2.273,0.478,2.056,4.179,4.878,DHR
Price sales ratio,6.115,7.983,7.040,6.127,3.632,DHR
Dividend yield,0.004,0.003,0.004,0.007,0.006,DHR
Enterprise value multiple,19.220,25.218,28.130,24.199,17.066,DHR
Price fair value,3.843,5.205,3.945,3.625,2.561,DHR
