,ticker,2023,2024,2025,2026,2027,2028
Revenue(In $M),DLTR,"28,215","30,331","31,590","33,218","35,359","37,081"
Dividend,DLTR,0.00,-,0.00,0.00,-,-
Dividend Yield (in %),DLTR,-,-,-,-,-,-
EPS,DLTR,7.19,6.64,7.93,9.12,9.56,10.39
P/E Ratio,DLTR,21.10,22.86,19.14,16.63,15.87,14.60
EBIT(In $M),DLTR,"2,241","2,046","2,383","2,724","2,772","2,962"
EBITDA(In $M),DLTR,"3,008","2,882","3,278","3,651","3,768","3,998"
Net Profit(In $M),DLTR,"1,611","1,472","1,730","1,957","2,023","2,167"
Net Profit Adjusted(In $M),DLTR,"1,612","1,470","1,727","1,961","2,023","2,167"
Pre-Tax Profit(In $M),DLTR,"2,112","1,944","2,278","2,587","2,675","2,865"
Net Profit (Adjusted)(In $M),DLTR,"2,106","1,942","2,300","2,559",-,-
EPS (Non-GAAP) ex. SOE(In $),DLTR,7.19,6.64,7.93,9.12,9.56,10.39
EPS (GAAP)(In $),DLTR,7.18,6.63,7.98,9.12,-,-
Gross Income(In $M),DLTR,"8,864","9,527","10,136","10,565",-,-
Cash Flow from Investing(In $M),DLTR,-815,"-1,375",-975,-526,"-1,853",-
Cash Flow from Operations(In $M),DLTR,"2,023","2,616","2,406","2,719","3,362",-
Cash Flow from Financing(In $M),DLTR,-661,-237,-603,-450,"-1,212",-
Cash Flow per Share(In $),DLTR,10.82,10.33,11.57,14.38,-,-
Free Cash Flow(In $M),DLTR,"1,100",440,584,"1,406","1,531","1,708"
Free Cash Flow per Share(In $),DLTR,6.05,4.96,6.61,-,-,-
Book Value per Share(In $),DLTR,38.19,45.44,51.81,61.13,-,-
Net Debt(In $M),DLTR,"4,246","4,507","4,230","4,110","2,065",-
Research & Development Exp.(In $M),DLTR,-,-,-,-,-,-
Capital Expenditure(In $M),DLTR,"1,212","1,871","1,558","1,413","1,500","1,500"
"Selling, General & Admin. Exp.(In $M)",DLTR,"6,577","7,363","7,658","8,102",-,-
Shareholder’s Equity(In $M),DLTR,"8,597","9,966","11,308","12,962","15,894","18,061"
Total Assets(In $M),DLTR,"23,089","24,707","26,111","27,802","31,213","33,636"
