,ticker,sentiment
2023-04-05 09:30:00,DLTR,0.3089
2023-04-05 11:00:20,DLTR,0.5106
2023-04-05 14:41:04,DLTR,0.6369
2023-04-05 15:32:22,DLTR,0.6369
2023-04-05 23:53:00,DLTR,0.2023
2023-04-06 04:00:32,DLTR,0.6369
2023-04-06 06:45:15,DLTR,0.6369
2023-04-10 03:24:00,DLTR,0.296
2023-04-10 11:22:12,DLTR,0.7684
2023-04-10 21:00:59,DLTR,0.5106
2023-04-14 05:00:18,DLTR,0.4939
2023-04-17 04:00:39,DLTR,0.6369
2023-04-18 09:30:00,DLTR,0.5106
2023-04-20 09:30:00,DLTR,0.5106
2023-04-21 04:00:46,DLTR,0.6369
2023-04-21 19:21:44,DLTR,-0.4215
2023-04-23 16:31:12,DLTR,0.3182
2023-04-24 01:26:00,DLTR,0.296
2023-04-24 03:00:48,DLTR,-0.4019
2023-04-24 06:00:15,DLTR,0.7783
2023-04-24 10:08:55,DLTR,0.6369
2023-04-24 20:28:00,DLTR,0.2263
2023-04-25 07:50:20,DLTR,0.4404
2023-04-28 05:00:37,DLTR,0.5719
2023-05-01 00:25:00,DLTR,0.5903
2023-05-01 09:30:00,DLTR,0.3089
2023-05-02 03:49:00,DLTR,0.2023
2023-05-02 09:30:00,DLTR,-0.2584
2023-05-03 06:01:10,DLTR,-0.128
2023-05-03 08:00:45,DLTR,0.2449
2023-05-03 09:26:58,DLTR,0.4404
2023-05-04 05:29:57,DLTR,0.6369
2023-05-04 11:00:12,DLTR,0.6908
