,headline,final_score,datetime
0,Q1 2023 Dun & Bradstreet Holdings Inc Earnings Call,87,2023-05-04 21:14:40
1,Dun & Bradstreet (DNB) Q1 Earnings Meet Estimates,86,2023-05-04 06:05:01
2,Dun & Bradstreet Reports First Quarter 2023 Financial Results,86,2023-05-04 04:30:00
3,Dun & Bradstreet reports Q1 earnings; reaffirms FY23 outlook,86,2023-05-03 23:51:00
4,"Dun & Bradstreet sees FY23 adjusted EPS 92c-$1.00, consensus 97c",86,2023-05-03 23:48:00
5,"Dun & Bradstreet reports Q1 adjusted EPS 19c, consensus 19c",86,2023-05-03 23:47:00
6,Dun & Bradstreet Expands Its ESG Rankings Coverage to Nearly 74 Million Public and Private Companies,86,2023-05-03 13:01:00
8,Dun & Bradstreet Q1 2023 Earnings Preview,65,2023-05-02 18:53:00
9,Dun & Bradstreet Is A Cash Flow Machine And Could Rerate Higher,86,2023-05-02 01:58:08
10,Dun & Bradstreet Holdings (DNB) Declares $0.05 Dividend,86,2023-04-27 19:46:58
11,Dun & Bradstreet Announces Second Quarter Cash Dividend Of $0.05,86,2023-04-26 14:00:00
12,Dun & Bradstreet declares $0.05 dividend,66,2023-04-25 21:10:00
13,"Cannae Holdings, Inc. Announces First Quarter 2023 Earnings Release Date and Conference Call",86,2023-04-25 09:15:00
15,Dun & Bradstreet Holdings (DNB) Gets a Hold from RBC Capital,86,2023-04-14 01:46:00
16,Dun & Bradstreet Announces First Quarter Earnings Release and Conference Call; Participation in Upcoming Investor Conference,86,2023-04-13 13:30:00
19,Some Investors May Be Worried About Dun & Bradstreet Holdings' (NYSE:DNB) Returns On Capital,86,2023-04-01 07:05:59
20,Dun & Bradstreet Holdings Larger Than S&P 500 Component Ralph Lauren,86,2023-03-29 20:55:00
21,"5 hot insider trades: Dun & Bradstreet, Calavo CEOs buy $1M+ apiece | Pro Recap",86,2023-03-26 09:24:23
22,"Video: Wednesday 3/22 Insider Buying Report: DNB, TDW",57,2023-03-22 03:19:00
