,ticker,ttm,2022-12-31,2020-12-31
Total revenue(figures in $M),DO,841.278,392.643,
Cost of revenue(figures in $M),DO,218.44,310.915,
Gross profit(figures in $M),DO,622.838,81.728,
Selling general and administrative(figures in $M),DO,691.178,229.53,
Total operating expenses(figures in $M),DO,691.178,229.53,
Operating income or loss(figures in $M),DO,-68.34,-147.802,
Interest expense(figures in $M),DO,40.423,46.458,
Total other income/expenses net(figures in $M),DO,3.139,-1833.943,
Income before tax(figures in $M),DO,-105.606,-2028.167,
Income tax expense(figures in $M),DO,-2.395,-13.74,
Income from continuing operations(figures in $M),DO,-103.211,-2014.427,
Net income(figures in $M),DO,-103.211,-2014.427,
Net income available to common shareholders(figures in $M),DO,-103.211,-2014.427,
Basic EPS(figures in $M),DO,,,-1.2539999999999999e-05
Diluted EPS(figures in $M),DO,,,-1.2539999999999999e-05
Basic average shares(figures in $M),DO,,,100.075
Diluted average shares(figures in $M),DO,,,100.075
EBITDA(figures in $M),DO,,-1878.231,
