,ticker,2022-05-31,2021-05-31,2020-05-31,2019-05-31
Cash and cash equivalents(figures in $M),DRI,420.6,1214.7,763.3,457.3
Total cash(figures in $M),DRI,420.6,1214.7,763.3,457.3
Net receivables(figures in $M),DRI,72.0,68.2,49.8,88.3
Inventory(figures in $M),DRI,270.6,190.8,206.9,207.3
Other current assets(figures in $M),DRI,141.4,60.2,63.0,98.1
Total current assets(figures in $M),DRI,1179.4,1871.1,1101.4,892.6
"Gross property, plant and equipment(figures in $M)",DRI,6821.1,6645.6,6726.1,2552.6
Accumulated depreciation(figures in $M),DRI,-3140.9,-2843.8,-2640.9,-2482.6
"Net property, plant and equipment(figures in $M)",DRI,6821.1,6645.6,6726.1,2552.6
Goodwill(figures in $M),DRI,1037.4,1037.4,1037.4,1183.7
Intangible assets(figures in $M),DRI,806.3,806.3,805.9,950.8
Other long-term assets(figures in $M),DRI,291.6,295.7,275.3,313.1
Total non-current assets(figures in $M),DRI,8956.4,8785.0,8844.7,5000.2
Total assets(figures in $M),DRI,10135.8,10656.1,9946.1,5892.8
Current debt(figures in $M),DRI,0.0,0.0,270.0,0.0
Accounts payable(figures in $M),DRI,366.9,304.5,249.4,332.6
Taxes payable(figures in $M),DRI,32.1,35.9,6.2,11.6
Accrued liabilities(figures in $M),DRI,181.5,177.4,150.0,175.3
Deferred revenues(figures in $M),DRI,498.0,474.2,467.9,428.5
Other current liabilities(figures in $M),DRI,704.5,795.8,605.9,471.9
Total current liabilities(figures in $M),DRI,1847.5,1848.3,1792.8,1474.1
Long-term debt(figures in $M),DRI,901.0,929.8,928.8,927.7
Deferred tax liabilities(figures in $M),DRI,201.1,221.6,56.1,156.9
Other long-term liabilities(figures in $M),DRI,1232.2,754.8,560.9,587.1
Total non-current liabilities(figures in $M),DRI,6090.1,5994.7,5822.1,2026.1
Total liabilities(figures in $M),DRI,7937.6,7843.0,7614.9,3500.2
Common stock(figures in $M),DRI,2226.0,2286.6,2205.3,1685.0
Retained earnings(figures in $M),DRI,-25.9,522.3,143.5,806.6
Accumulated other comprehensive income(figures in $M),DRI,-1.9,4.2,-17.6,-98.2
Total stockholders' equity(figures in $M),DRI,2198.2,2813.1,2331.2,2392.6
Total liabilities and stockholders' equity(figures in $M),DRI,10135.8,10656.1,9946.1,5892.8
