,2022,2021,2020,2019,2018,ticker
Current ratio,0.638,1.012,0.614,0.606,0.400,DRI
Quick ratio,0.267,0.694,0.454,0.370,0.167,DRI
Cash ratio,0.228,0.657,0.426,0.310,0.106,DRI
Days of sales outstanding,2.729,3.459,2.328,3.787,3.781,DRI
Days of inventory outstanding,12.936,12.212,11.803,11.359,11.829,DRI
Operating cycle,15.665,15.672,14.131,15.146,15.610,DRI
Days of payables outstanding,17.540,19.490,14.227,18.224,15.961,DRI
Cash conversion cycle,-1.875,-3.818,-0.096,-3.079,-0.350,DRI
Gross profit margin,0.207,0.208,0.180,0.217,0.216,DRI
Operating profit margin,0.121,0.090,0.106,0.098,0.095,DRI
Pretax profit margin,0.114,0.080,-0.021,0.092,0.075,DRI
Net profit margin,0.099,0.087,-0.006,0.084,0.074,DRI
Effective tax rate,0.127,-0.097,0.694,0.081,0.003,DRI
Return on assets,0.094,0.059,-0.005,0.121,0.109,DRI
Return on equity,0.433,0.224,-0.021,0.298,0.272,DRI
Return on capital employed,0.140,0.074,0.102,0.188,0.188,DRI
Net income per EBT,0.871,1.092,0.306,0.912,0.984,DRI
Ebt per ebit,0.941,0.889,-0.194,0.940,0.790,DRI
Ebit per revenue,0.121,0.090,0.106,0.098,0.095,DRI
Debt ratio,0.783,0.736,0.766,0.594,0.599,DRI
Debt equity ratio,2.211,1.849,2.349,0.388,0.422,DRI
Long term debt to capitalization,0.679,0.641,0.691,0.279,0.297,DRI
Total debt to capitalization,0.689,0.649,0.701,0.279,0.297,DRI
Interest coverage,16.462,9.949,13.317,15.417,4.736,DRI
Cash flow to debt ratio,0.258,0.230,0.130,1.358,1.081,DRI
Company equity multiplier,4.611,3.788,4.267,2.463,2.492,DRI
Receivables turnover,133.750,105.515,156.765,96.381,96.536,DRI
Payables turnover,20.809,18.728,25.656,20.028,22.869,DRI
Inventory turnover,28.215,29.888,30.926,32.134,30.856,DRI
Fixed asset turnover,1.412,1.083,1.161,3.334,3.325,DRI
Asset turnover,0.950,0.675,0.785,1.444,1.477,DRI
Operating cash flow per share,9.829,9.156,5.797,10.198,8.075,DRI
Free cash flow per share,6.706,7.093,1.771,6.345,4.698,DRI
Cash per share,3.291,9.315,6.221,3.703,1.185,DRI
Payout ratio,0.591,0.322,-6.551,0.520,0.526,DRI
Operating cash flow sales ratio,0.130,0.166,0.091,0.148,0.124,DRI
Free cash flow operating cash flow ratio,0.682,0.775,0.305,0.622,0.582,DRI
Cash flow coverage ratios,0.258,0.230,0.130,1.358,1.081,DRI
Short term coverage ratios,6.203,6.486,2.634,0,0,DRI
Capital expenditure coverage ratio,-3.147,-4.437,-1.440,-2.647,-2.391,DRI
Dividend paid and capex coverage ratio,7.664,-17.955,-4.143,-11.994,-9.509,DRI
Dividend payout ratio,0.591,0.322,-6.551,0.520,0.526,DRI
Price book value ratio,7.328,6.639,4.122,6.201,4.965,DRI
Price to book ratio,7.328,6.639,4.122,6.201,4.965,DRI
Price to sales ratio,1.673,2.595,1.231,1.743,1.349,DRI
Price earnings ratio,16.906,29.679,-195.297,20.796,18.284,DRI
Price to free cash flows ratio,18.796,20.194,44.218,18.933,18.708,DRI
Price to operating cash flows ratio,12.824,15.643,13.509,11.780,10.883,DRI
Price cash flow ratio,12.824,15.643,13.509,11.780,10.883,DRI
Price earnings to growth ratio,0.310,0.023,1.827,1.031,0.733,DRI
Price sales ratio,1.673,2.595,1.231,1.743,1.349,DRI
Dividend yield,0.035,0.011,0.034,0.025,0.029,DRI
Enterprise value multiple,13.326,22.197,12.093,12.679,10.883,DRI
Price fair value,7.328,6.639,4.122,6.201,4.965,DRI
