,2022,2021,2020,2019,2018,ticker
Current ratio,6.459,6.449,4.172,2.663,0,DV
Quick ratio,6.312,6.041,3.763,2.487,0,DV
Cash ratio,3.886,3.885,0.980,0.341,0,DV
Gross profit margin,0.828,0.837,0.853,0.864,0.822,DV
Operating profit margin,0.130,0.080,0.088,0.214,0.049,DV
Pretax profit margin,0.131,0.078,0.071,0.194,0.019,DV
Net profit margin,0.096,0.088,0.084,0.128,0.030,DV
Effective tax rate,0.271,-0.135,-0.182,0.341,-0.605,DV
Return on assets,0.042,0.033,0.040,0.050,0,DV
Return on equity,0.049,0.037,0.049,0.073,0,DV
Return on capital employed,0.061,0.032,0.045,0.090,0,DV
Net income per EBT,0.729,1.135,1.182,0.659,1.605,DV
Ebt per ebit,1.006,0.968,0.811,0.904,0.391,DV
Ebit per revenue,0.130,0.080,0.088,0.214,0.049,DV
Debt ratio,0.154,0.104,0.185,0.318,0,DV
Debt equity ratio,0.096,0.006,0.065,0.246,0,DV
Long term debt to capitalization,0.079,0.003,0.058,0.193,0,DV
Total debt to capitalization,0.087,0.006,0.061,0.197,0,DV
Interest coverage,65.220,22.768,4.331,7.517,1.656,DV
Cash flow to debt ratio,1.133,18.191,0.787,0.377,0,DV
Company equity multiplier,1.183,1.117,1.227,1.466,0,DV
Receivables turnover,2.707,2.707,2.576,2.660,0,DV
Payables turnover,11.665,14.114,10.229,21.739,0,DV
Inventory turnover,0,0,0,0,0,DV
Fixed asset turnover,4.049,18.933,13.471,13.593,0,DV
Asset turnover,0.436,0.373,0.477,0.392,0,DV
Operating cash flow per share,0.579,0.558,0.137,0.189,0.078,DV
Free cash flow per share,0.335,0.495,0.074,0.151,0.067,DV
Payout ratio,0,0,0,0,0,DV
Operating cash flow sales ratio,0.210,0.249,0.087,0.161,0.116,DV
Free cash flow operating cash flow ratio,0.579,0.886,0.540,0.798,0.864,DV
Cash flow coverage ratios,1.133,18.191,0.787,0.377,0,DV
Short term coverage ratios,10.674,42.005,14.004,16.031,0,DV
Capital expenditure coverage ratio,-2.373,-8.806,-2.176,-4.953,-7.352,DV
Dividend paid and capex coverage ratio,-2.373,-8.806,-2.176,-4.953,-7.352,DV
Dividend payout ratio,0,0,0,0,0,DV
Price book value ratio,4.104,6.177,13.420,17.583,0,DV
Price to book ratio,4.104,6.177,13.420,17.583,0,DV
Price to sales ratio,7.955,14.834,22.925,30.613,53.611,DV
Price earnings ratio,83.176,168.409,273.401,239.922,1.760 K,DV
Price to free cash flows ratio,65.575,67.288,487.733,238.053,536.750,DV
Price to operating cash flows ratio,37.938,59.647,263.568,189.986,463.747,DV
Price cash flow ratio,37.938,59.647,263.568,189.986,463.747,DV
Price earnings to growth ratio,2.773,3.128,-20.505,0.379,0,DV
Price sales ratio,7.955,14.834,22.925,30.613,53.611,DV
Dividend yield,0,0,0,0,0,DV
Price fair value,4.104,6.177,13.420,17.583,0,DV
