,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),DVA,244.086,461.9,324.958,1102.372
Other short-term investments(figures in $M),DVA,77.693,22.31,20.101,11.572
Total cash(figures in $M),DVA,321.779,484.21,345.059,1113.944
Net receivables(figures in $M),DVA,2132.07,1957.583,1824.282,1795.598
Inventory(figures in $M),DVA,109.122,107.428,111.625,97.949
Other current assets(figures in $M),DVA,78.839,0.0,0.0,0.0
Total current assets(figures in $M),DVA,3155.292,3167.723,3148.724,3690.17
"Gross property, plant and equipment(figures in $M)",DVA,11188.011,11067.894,6384.913,6303.431
Accumulated depreciation(figures in $M),DVA,-5265.372,-4763.135,-4480.429,-3969.566
"Net property, plant and equipment(figures in $M)",DVA,5922.639,6304.759,6384.913,6303.431
Equity and other investments(figures in $M),DVA,275.437,288.395,289.684,278.502
Goodwill(figures in $M),DVA,7076.61,7046.241,6919.109,6787.635
Intangible assets(figures in $M),DVA,182.687,177.693,166.585,135.684
Other long-term assets(figures in $M),DVA,315.587,136.677,79.501,115.972
Total non-current assets(figures in $M),DVA,13772.96,13953.765,13839.792,13621.224
Total assets(figures in $M),DVA,16928.252,17121.488,16988.516,17311.394
Current debt(figures in $M),DVA,231.404,179.03,168.541,130.708
Accounts payable(figures in $M),DVA,479.78,402.049,434.253,403.84
Taxes payable(figures in $M),DVA,18.039,53.792,7.768,42.412
Accrued liabilities(figures in $M),DVA,102.602,88.474,84.504,113.84
Other current liabilities(figures in $M),DVA,802.469,709.345,810.529,756.174
Total current liabilities(figures in $M),DVA,2619.747,2398.533,2476.143,2372.098
Long-term debt(figures in $M),DVA,8692.617,8729.15,7917.263,7977.526
Deferred tax liabilities(figures in $M),DVA,782.787,830.954,809.6,577.543
Other long-term liabilities(figures in $M),DVA,105.233,119.158,150.06,160.809
Total non-current liabilities(figures in $M),DVA,12083.705,12351.975,11615.593,11439.678
Total liabilities(figures in $M),DVA,14703.452,14750.508,14091.736,13811.776
Common stock(figures in $M),DVA,0.09,0.097,0.11,0.126
Retained earnings(figures in $M),DVA,174.487,354.337,852.537,1431.738
Accumulated other comprehensive income(figures in $M),DVA,-69.186,-139.247,-66.154,-47.498
Total stockholders' equity(figures in $M),DVA,712.326,755.508,1383.566,2133.409
Total liabilities and stockholders' equity(figures in $M),DVA,16928.252,17121.488,16988.516,17311.394
