,headline,final_score,datetime
0,"The Pennant Group, Inc. (PNTG) Misses Q1 Earnings Estimates",86,2023-05-04 16:25:11
1,DaVita Inc. stock underperforms Thursday when compared to competitors,90,2023-05-04 09:51:00
2,DaVita (DVA) to Report Q1 Earnings: What's in the Offing?,86,2023-05-04 09:40:04
3,"DaVita Celebrates Corporate Citizenship Achievements, Releases its 2022 Community Care Report",57,2023-05-04 03:02:00
5,DaVita Inc. stock outperforms market despite losses on the day,90,2023-05-03 09:51:00
6,DaVita Inc. to Participate in the BofA Securities Healthcare Conference 2023,90,2023-05-02 12:51:00
7,DaVita Inc. stock underperforms Tuesday when compared to competitors,90,2023-05-02 09:50:00
8,"DaVita Inc. stock rises Monday, outperforms market",90,2023-05-01 09:50:00
9,DaVita Inc. stock outperforms market on strong trading day,90,2023-04-28 09:50:00
10,DaVita Inc. stock outperforms competitors despite losses on the day,90,2023-04-26 09:50:00
13,DaVita Inc. stock outperforms competitors on strong trading day,90,2023-04-20 20:52:00
14,Bullish DaVita Inc. (NYSE:DVA) insiders filled their treasuries with US$1.9m worth of stock over last year,60,2023-04-20 05:08:09
15,"DaVita Inc. stock rises Wednesday, outperforms market",90,2023-04-19 09:50:00
16,DaVita Inc. Schedules 1st Quarter 2023 Investor Conference Call,90,2023-04-18 10:30:00
17,"DaVita Inc. stock falls Tuesday, underperforms market",90,2023-04-18 09:50:00
20,DaVita Inc. stock underperforms Wednesday when compared to competitors,90,2023-04-12 09:50:00
21,DaVita Reaches Analyst Target Price,86,2023-04-12 01:20:00
22,DaVita Inc. stock underperforms Monday when compared to competitors despite daily gains,60,2023-04-10 09:50:00
24,"DaVita Inc. stock falls Tuesday, still outperforms market",90,2023-04-04 09:50:00
27,DaVita (DVA) Shares Cross Above 200 DMA,86,2023-04-03 03:17:00
28,"Medtronic, DaVita announce launch Mozarc Medical",86,2023-04-02 00:09:00
29,"Medtronic, DaVita launch Mozarc Medical, aimed at introducing new solutions for patients with kidney failure",57,2023-04-01 09:00:00
30,3 Reasons to Retain DaVita (DVA) Stock in Your Portfolio,86,2023-03-31 08:58:03
32,DaVita (NYSE:DVA) investors are sitting on a loss of 33% if they invested a year ago,57,2023-03-29 06:51:46
34,DaVita Inc. stock underperforms Friday when compared to competitors despite daily gains,60,2023-03-24 09:50:00
35,"DaVita Inc. stock falls Thursday, underperforms market",90,2023-03-23 09:50:00
36,"DaVita Inc. stock rises Tuesday, still underperforms market",90,2023-03-21 09:51:00
37,DaVita Inc. stock underperforms Friday when compared to competitors,90,2023-03-17 09:50:00
38,May 19th Options Now Available For DaVita (DVA),86,2023-03-16 03:56:00
40,"DaVita Inc. stock falls Wednesday, underperforms market",90,2023-03-15 09:50:00
41,"DaVita Inc. stock rises Tuesday, outperforms market",90,2023-03-14 09:51:00
42,DaVita Inc. to Participate in the Barclays 2023 Global Healthcare Conference,90,2023-03-13 12:34:00
43,"DaVita Inc. stock falls Friday, still outperforms market",90,2023-03-10 08:50:00
44,Returns On Capital At DaVita (NYSE:DVA) Have Stalled,86,2023-03-10 03:46:37
45,AVDV: An International Solution To An Overpriced U.S. Market?,54,2023-03-08 08:23:51
46,DaVita re-initiated with a Market Perform at Bernstein,86,2023-03-06 19:36:00
47,DaVita Inc. stock underperforms Monday when compared to competitors,90,2023-03-06 08:50:00
