,ticker,sentiment
2023-04-04 17:18:19,DVN,0.2023
2023-04-05 03:34:00,DVN,0.5862
2023-04-05 06:10:09,DVN,0.2023
2023-04-05 16:33:37,DVN,0.5862
2023-04-05 22:40:00,DVN,0.2023
2023-04-06 04:15:01,DVN,0.6369
2023-04-06 15:39:40,DVN,0.2023
2023-04-07 00:05:00,DVN,0.2732
2023-04-07 06:15:00,DVN,0.2732
2023-04-07 07:00:14,DVN,0.5267
2023-04-08 04:45:00,DVN,0.5574
2023-04-09 02:52:00,DVN,0.0772
2023-04-10 01:21:00,DVN,-0.0258
2023-04-10 01:30:00,DVN,0.2732
2023-04-10 02:54:00,DVN,0.2023
2023-04-10 04:45:00,DVN,0.2732
2023-04-10 05:55:02,DVN,0.8074
2023-04-10 06:00:01,DVN,0.6369
2023-04-10 09:50:00,DVN,0.6597
2023-04-10 18:17:32,DVN,-0.0258
2023-04-10 21:00:59,DVN,0.5106
2023-04-10 23:16:00,DVN,0.2732
2023-04-11 04:29:33,DVN,0.6486
2023-04-11 05:00:36,DVN,0.4588
2023-04-11 07:30:00,DVN,0.2732
2023-04-11 09:50:00,DVN,0.2732
2023-04-11 14:42:50,DVN,0.2732
2023-04-11 23:12:00,DVN,0.1531
2023-04-12 05:15:51,DVN,0.7096
2023-04-12 09:50:00,DVN,0.2732
2023-04-12 14:15:51,DVN,0.2732
2023-04-12 23:17:00,DVN,0.2732
2023-04-13 01:00:00,DVN,0.2023
2023-04-13 09:50:00,DVN,0.2732
2023-04-14 02:06:00,DVN,0.6124
2023-04-14 06:09:00,DVN,0.2023
2023-04-17 14:45:09,DVN,0.5423
2023-04-17 20:35:00,DVN,0.6996
2023-04-17 23:16:00,DVN,0.2732
2023-04-17 23:57:00,DVN,0.2732
2023-04-18 00:00:00,DVN,0.4939
2023-04-18 04:25:00,DVN,0.4767
2023-04-18 15:35:07,DVN,0.2716
2023-04-18 16:49:22,DVN,0.4767
2023-04-18 23:14:00,DVN,0.2732
2023-04-19 01:02:00,DVN,0.2732
2023-04-19 05:35:00,DVN,0.2732
2023-04-19 09:51:00,DVN,0.2732
2023-04-19 10:39:27,DVN,0.2732
2023-04-19 10:39:28,DVN,0.2732
2023-04-19 18:26:14,DVN,-0.1027
2023-04-19 20:06:00,DVN,0.2263
2023-04-20 03:42:00,DVN,0.7269
2023-04-20 09:51:00,DVN,0.2732
2023-04-20 18:01:00,DVN,0.4215
2023-04-20 20:52:00,DVN,0.52
2023-04-20 22:33:00,DVN,0.2732
2023-04-21 01:46:00,DVN,0.4404
2023-04-21 06:00:01,DVN,0.2732
2023-04-21 08:43:16,DVN,0.6597
2023-04-21 10:43:11,DVN,0.2023
2023-04-23 02:50:00,DVN,0.0772
2023-04-23 20:52:00,DVN,0.6597
2023-04-24 14:45:09,DVN,0.5423
2023-04-24 17:54:18,DVN,0.3182
2023-04-25 05:58:19,DVN,0.6369
2023-04-26 10:30:00,DVN,0.5423
2023-04-26 15:05:10,DVN,-0.34
2023-04-27 01:30:00,DVN,-0.0258
2023-04-27 08:23:27,DVN,0.34
2023-04-27 20:52:00,DVN,0.0165
2023-04-28 03:30:38,DVN,0.8481
2023-04-29 07:04:00,DVN,0.2732
2023-04-30 02:21:00,DVN,0.2732
2023-04-30 20:52:00,DVN,0.2732
2023-05-01 07:01:02,DVN,0.2732
2023-05-01 14:45:09,DVN,0.2732
2023-05-01 19:55:00,DVN,-0.6597
2023-05-01 20:52:00,DVN,0.2732
2023-05-02 04:00:49,DVN,0.1779
2023-05-02 20:52:00,DVN,0.2732
2023-05-03 06:00:01,DVN,0.2732
2023-05-03 18:19:00,DVN,0.8402
2023-05-03 20:52:00,DVN,0.2732
2023-05-04 02:54:00,DVN,0.2732
2023-05-04 23:30:57,DVN,-0.4404
