,ttm,2022-03-31,2021-03-31,2020-03-31,ticker
Net income(figures in $M),1039.0,789.0,837.0,3039.0,EA
Depreciation & amortisation(figures in $M),504.0,486.0,181.0,150.0,EA
Stock-based compensation(figures in $M),531.0,528.0,435.0,347.0,EA
Change in working capital(figures in $M),-697.0,96.0,481.0,-1744.0,EA
Accounts payable(figures in $M),-19.0,-7.0,18.0,-36.0,EA
Other working capital(figures in $M),1164.0,1711.0,1810.0,1657.0,EA
Other non-cash items(figures in $M),0.0,0.0,0.0,5.0,EA
Net cash provided by operating activities(figures in $M),1377.0,1899.0,1934.0,1797.0,EA
"Investments in property, plant and equipment(figures in $M)",-213.0,-188.0,-124.0,-140.0,EA
"Acquisitions, net(figures in $M)",0.0,-3391.0,-1239.0,0.0,EA
Purchases of investments(figures in $M),-379.0,-554.0,-2828.0,-3359.0,EA
Sales/maturities of investments(figures in $M),379.0,1329.0,3686.0,2142.0,EA
Net cash used for investing activities(figures in $M),-213.0,-2804.0,-505.0,-1357.0,EA
Debt repayment(figures in $M),0.0,0.0,-600.0,0.0,EA
Common stock issued(figures in $M),80.0,77.0,86.0,62.0,EA
Common stock repurchased(figures in $M),-1295.0,-1300.0,-729.0,-1207.0,EA
Dividends paid(figures in $M),-206.0,-193.0,-98.0,0.0,EA
Other financing activities(figures in $M),-172.0,-204.0,-152.0,-213.0,EA
Net cash used provided by (used for) financing activities(figures in $M),-1593.0,-1620.0,-15.0,-1358.0,EA
Net change in cash(figures in $M),-468.0,-2528.0,1492.0,-940.0,EA
Cash at beginning of period(figures in $M),2670.0,5260.0,3768.0,4708.0,EA
Cash at end of period(figures in $M),2241.0,2732.0,5260.0,3768.0,EA
Operating cash flow(figures in $M),1377.0,1899.0,1934.0,1797.0,EA
Capital expenditure(figures in $M),-213.0,-188.0,-124.0,-140.0,EA
Free cash flow(figures in $M),1164.0,1711.0,1810.0,1657.0,EA
