,2022,2021,2020,2019,2018,ticker
Current ratio,1.182,2.434,2.446,2.817,2.410,EA
Quick ratio,1.057,2.324,2.326,2.679,2.295,EA
Cash ratio,0.778,1.775,1.414,2.079,1.709,EA
Days of sales outstanding,33.936,33.783,30.389,45.938,27.286,EA
Days of inventory outstanding,0,0,0,0,0,EA
Operating cycle,33.936,33.783,30.389,45.938,27.286,EA
Days of payables outstanding,19.831,23.454,18.130,31.199,13.720,EA
Cash conversion cycle,14.106,10.329,12.259,14.739,13.567,EA
Gross profit margin,0.734,0.735,0.753,0.733,0.752,EA
Operating profit margin,0.161,0.186,0.261,0.201,0.278,EA
Pretax profit margin,0.155,0.181,0.272,0.218,0.281,EA
Net profit margin,0.113,0.149,0.549,0.206,0.203,EA
Effective tax rate,0.270,0.177,-1.015,0.056,0.280,EA
Return on assets,0.057,0.063,0.273,0.114,0.122,EA
Return on equity,0.103,0.107,0.407,0.191,0.227,EA
Return on capital employed,0.110,0.101,0.171,0.149,0.235,EA
Net income per EBT,0.730,0.823,2.015,0.944,0.720,EA
Ebt per ebit,0.957,0.972,1.044,1.083,1.010,EA
Ebit per revenue,0.161,0.186,0.261,0.201,0.278,EA
Debt ratio,0.447,0.410,0.329,0.405,0.465,EA
Debt equity ratio,0.257,0.249,0.133,0.186,0.216,EA
Long term debt to capitalization,0.198,0.193,0.051,0.157,0.178,EA
Total debt to capitalization,0.204,0.199,0.118,0.157,0.178,EA
Interest coverage,19.466,24.326,34.405,23.163,34.143,EA
Cash flow to debt ratio,0.969,0.991,1.804,1.556,1.706,EA
Company equity multiplier,1.810,1.695,1.489,1.680,1.868,EA
Receivables turnover,10.755,10.804,12.011,7.945,13.377,EA
Payables turnover,18.406,15.562,20.132,11.699,26.604,EA
Inventory turnover,0,0,0,0,0,EA
Fixed asset turnover,12.711,11.464,12.332,11.049,11.369,EA
Asset turnover,0.507,0.424,0.498,0.553,0.600,EA
Operating cash flow per share,6.687,6.692,6.133,5.106,5.494,EA
Free cash flow per share,6.025,6.263,5.655,4.713,5.146,EA
Cash per share,10.782,22.028,19.573,17.970,17.308,EA
Payout ratio,0.245,0.117,0,0,0,EA
Operating cash flow sales ratio,0.272,0.344,0.325,0.313,0.329,EA
Free cash flow operating cash flow ratio,0.901,0.936,0.922,0.923,0.937,EA
Cash flow coverage ratios,0.969,0.991,1.804,1.556,1.706,EA
Short term coverage ratios,23.444,25.447,3,0,0,EA
Capital expenditure coverage ratio,-10.101,-15.597,-12.836,-13,-15.813,EA
Dividend paid and capex coverage ratio,379.800,-74.385,-12.836,-13,-15.813,EA
Dividend payout ratio,0.245,0.117,0,0,0,EA
Price book value ratio,4.712,4.990,3.934,5.835,8.127,EA
Price to book ratio,4.712,4.990,3.934,5.835,8.127,EA
Price to sales ratio,5.139,6.950,5.301,6.285,7.251,EA
Price earnings ratio,45.537,46.741,9.658,30.529,35.802,EA
Price to free cash flows ratio,20.999,21.614,17.713,21.785,23.560,EA
Price to operating cash flows ratio,18.920,20.229,16.333,20.109,22.070,EA
Price cash flow ratio,18.920,20.229,16.333,20.109,22.070,EA
Price earnings to growth ratio,-11.005,-0.649,0.046,-34.498,5.710,EA
Price sales ratio,5.139,6.950,5.301,6.285,7.251,EA
Dividend yield,0.005,0.003,0,0,0,EA
Enterprise value multiple,21.718,29.126,16.559,22.204,21.604,EA
Price fair value,4.712,4.990,3.934,5.835,8.127,EA
