,ticker,sentiment
2023-04-05 06:00:00,EBAY,0.7579
2023-04-06 02:24:00,EBAY,0.2144
2023-04-06 02:47:00,EBAY,0.2023
2023-04-06 03:22:37,EBAY,0.2144
2023-04-06 03:59:17,EBAY,0.6124
2023-04-06 19:00:00,EBAY,-0.2263
2023-04-07 03:31:00,EBAY,0.25
2023-04-07 19:36:00,EBAY,-0.2263
2023-04-12 06:00:02,EBAY,0.2263
2023-04-14 05:09:00,EBAY,0.5106
2023-04-14 05:46:18,EBAY,0.2023
2023-04-14 06:03:30,EBAY,0.5106
2023-04-14 09:51:00,EBAY,0.3089
2023-04-17 05:11:00,EBAY,-0.3182
2023-04-17 09:51:00,EBAY,0.5106
2023-04-18 04:27:00,EBAY,0.1027
2023-04-18 21:27:00,EBAY,0.6808
2023-04-18 22:25:15,EBAY,0.6808
2023-04-19 10:15:16,EBAY,0.2263
2023-04-20 03:27:00,EBAY,-0.25
2023-04-20 07:02:02,EBAY,0.1779
2023-04-21 02:30:53,EBAY,0.2263
2023-04-21 03:30:00,EBAY,0.7096
2023-04-21 05:32:00,EBAY,0.1779
2023-04-25 06:53:01,EBAY,0.2732
2023-04-25 08:59:00,EBAY,-0.3182
2023-04-25 11:30:35,EBAY,0.3818
2023-04-25 18:49:00,EBAY,0.296
2023-04-25 23:31:00,EBAY,0.1655
2023-04-26 03:00:00,EBAY,-0.4404
2023-04-26 04:51:00,EBAY,0.4215
2023-04-26 06:00:39,EBAY,-0.7269
2023-04-26 09:27:00,EBAY,0.4404
2023-04-26 09:30:00,EBAY,0.2023
2023-04-26 13:05:00,EBAY,0.4404
2023-04-26 13:34:31,EBAY,0.5106
2023-04-26 16:41:32,EBAY,0.3818
2023-04-26 17:30:00,EBAY,-0.1027
2023-04-26 18:29:00,EBAY,-0.128
2023-04-26 18:43:00,EBAY,0.4767
2023-04-26 23:53:00,EBAY,-0.5267
2023-04-27 00:33:00,EBAY,0.2023
2023-04-27 01:00:00,EBAY,0.296
2023-04-27 02:08:00,EBAY,-0.296
2023-04-27 04:00:34,EBAY,0.3182
2023-04-27 04:04:00,EBAY,-0.296
2023-04-27 05:36:00,EBAY,0.296
2023-04-27 06:00:00,EBAY,0.1027
2023-04-27 07:00:00,EBAY,0.872
2023-04-27 09:24:00,EBAY,0.4215
2023-04-27 20:09:00,EBAY,-0.6124
2023-04-28 04:57:21,EBAY,0.4404
2023-04-28 09:51:00,EBAY,0.5106
2023-04-30 10:18:00,EBAY,-0.2023
2023-05-01 08:31:56,EBAY,0.2023
2023-05-01 09:51:00,EBAY,0.3089
2023-05-01 23:00:02,EBAY,-0.7506
2023-05-02 02:00:00,EBAY,0.5859
2023-05-02 17:20:04,EBAY,0.2263
2023-05-02 21:16:52,EBAY,0.6249
2023-05-04 02:08:00,EBAY,0.3182
2023-05-04 03:41:00,EBAY,0.4019
2023-05-04 07:04:00,EBAY,0.6705
