,ticker,sentiment
2023-04-06 04:15:34,ECL,0.34
2023-04-06 04:57:00,ECL,0.6486
2023-04-06 17:56:14,ECL,0.6486
2023-04-08 20:20:02,ECL,0.7096
2023-04-13 14:34:41,ECL,0.2263
2023-04-17 10:40:35,ECL,0.5106
2023-04-17 14:53:29,ECL,0.296
2023-04-25 07:01:02,ECL,0.3818
2023-04-26 05:45:19,ECL,0.6369
2023-04-26 09:51:00,ECL,0.3089
2023-04-27 11:19:36,ECL,0.8176
2023-04-28 14:01:21,ECL,0.6369
2023-05-01 09:51:00,ECL,0.5106
2023-05-02 00:08:00,ECL,0.2023
2023-05-02 00:19:00,ECL,0.296
2023-05-02 01:20:00,ECL,-0.128
2023-05-02 01:39:00,ECL,0.3818
2023-05-02 05:00:00,ECL,0.7645
2023-05-02 06:15:01,ECL,0.5106
2023-05-02 09:51:00,ECL,0.5106
2023-05-03 01:26:00,ECL,0.25
2023-05-03 02:13:00,ECL,-0.5994
2023-05-03 09:51:00,ECL,0.3089
