,ticker,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Cash and cash equivalents(figures in $M),EL,3957.0,4958.0,5022.0,2987.0
Other short-term investments(figures in $M),EL,0.0,0.0,0.0,0.0
Total cash(figures in $M),EL,3957.0,4958.0,5022.0,2987.0
Net receivables(figures in $M),EL,1629.0,1702.0,1194.0,1831.0
Inventory(figures in $M),EL,2920.0,2505.0,2062.0,2006.0
Total current assets(figures in $M),EL,9298.0,9768.0,8892.0,7212.0
"Gross property, plant and equipment(figures in $M)",EL,4599.0,4470.0,4337.0,2068.0
Accumulated depreciation(figures in $M),EL,-3490.0,-3338.0,-3079.0,-2763.0
"Net property, plant and equipment(figures in $M)",EL,4599.0,4470.0,4337.0,2068.0
Equity and other investments(figures in $M),EL,0.0,0.0,0.0,177.0
Goodwill(figures in $M),EL,2521.0,2616.0,1401.0,1868.0
Intangible assets(figures in $M),EL,3428.0,4095.0,2338.0,1203.0
Other long-term assets(figures in $M),EL,7013.0,7733.0,4552.0,3876.0
Total non-current assets(figures in $M),EL,11612.0,12203.0,8889.0,5944.0
Total assets(figures in $M),EL,20910.0,21971.0,17781.0,13156.0
Current debt(figures in $M),EL,268.0,32.0,1222.0,516.0
Accounts payable(figures in $M),EL,1822.0,1692.0,1177.0,1490.0
Accrued liabilities(figures in $M),EL,3360.0,3195.0,2405.0,2599.0
Deferred revenues(figures in $M),EL,312.0,322.0,222.0,314.0
Total current liabilities(figures in $M),EL,5815.0,5298.0,5179.0,4605.0
Long-term debt(figures in $M),EL,5144.0,5537.0,4914.0,2896.0
Other long-term liabilities(figures in $M),EL,1651.0,2037.0,1448.0,1244.0
Total non-current liabilities(figures in $M),EL,8663.0,9725.0,8640.0,4140.0
Total liabilities(figures in $M),EL,14478.0,15023.0,13819.0,8745.0
Common stock(figures in $M),EL,6.0,6.0,6.0,6.0
Retained earnings(figures in $M),EL,13912.0,12244.0,10134.0,9984.0
Accumulated other comprehensive income(figures in $M),EL,-762.0,-470.0,-665.0,-563.0
Total stockholders' equity(figures in $M),EL,5590.0,6091.0,3962.0,4411.0
Total liabilities and stockholders' equity(figures in $M),EL,20910.0,21971.0,17781.0,13156.0
