,ticker,2023,2024,2025,2026
Revenue(In $M),EMR,"15,020","15,793","16,540","17,104"
Dividend,EMR,2.13,2.22,2.32,-
Dividend Yield (in %),EMR,2.54 %,2.63 %,2.63 %,-
EPS,EMR,4.08,4.49,4.89,5.05
P/E Ratio,EMR,20.58,18.69,17.16,16.62
EBIT(In $M),EMR,"3,090","3,365","3,661","4,162"
EBITDA(In $M),EMR,"3,828","4,128","4,380","5,162"
Net Profit(In $M),EMR,"2,386","2,611","2,798",-
Net Profit Adjusted(In $M),EMR,"2,386","2,611","2,798",-
Pre-Tax Profit(In $M),EMR,"2,582","3,046","3,177","3,294"
Net Profit (Adjusted)(In $M),EMR,"2,624","3,059","3,124","3,294"
EPS (Non-GAAP) ex. SOE(In $),EMR,4.08,4.49,4.89,5.05
EPS (GAAP)(In $),EMR,3.49,3.93,4.15,4.44
Gross Income(In $M),EMR,"6,897","7,278","7,339","7,320"
Cash Flow from Investing(In $M),EMR,"6,241",474,"1,577",-352
Cash Flow from Operations(In $M),EMR,"2,512","3,126","3,128","3,079"
Cash Flow from Financing(In $M),EMR,"-4,962","-1,777","-1,768","-1,224"
Cash Flow per Share(In $),EMR,4.28,5.33,5.50,-
Free Cash Flow(In $M),EMR,"2,024","2,459","2,927","2,728"
Free Cash Flow per Share(In $),EMR,3.81,4.37,5.55,6.17
Book Value per Share(In $),EMR,30.34,31.26,35.29,-
Net Debt(In $M),EMR,349,-237,"-1,499","-4,079"
Research & Development Exp.(In $M),EMR,-,-,-,-
Capital Expenditure(In $M),EMR,382,447,361,352
"Selling, General & Admin. Exp.(In $M)",EMR,"3,857","3,912","4,160","3,826"
Shareholder’s Equity(In $M),EMR,"23,908","24,417","34,146","49,141"
Total Assets(In $M),EMR,"40,469","40,689","47,076","47,932"
