,2022,2021,2020,2019,2018,ticker
Current ratio,1.900,2.124,1.694,1.175,1.356,EOG
Quick ratio,1.604,1.866,1.409,0.932,1.046,EOG
Cash ratio,1.083,1.289,0.962,0.452,0.417,EOG
Days of sales outstanding,35.532,43.331,57.127,46.392,49.790,EOG
Days of inventory outstanding,70.289,39.880,46.666,50.049,60.846,EOG
Operating cycle,105.822,83.211,103.793,96.441,110.637,EOG
Days of payables outstanding,168.216,153.102,124.648,158.446,158.591,EOG
Cash conversion cycle,-62.395,-69.891,-20.855,-62.005,-47.954,EOG
Gross profit margin,0.814,0.728,0.501,0.670,0.700,EOG
Operating profit margin,0.487,0.310,0.047,0.218,0.260,EOG
Pretax profit margin,0.336,0.302,-0.075,0.209,0.247,EOG
Net profit margin,0.263,0.237,-0.061,0.161,0.199,EOG
Effective tax rate,0.216,0.214,0.182,0.229,0.194,EOG
Return on assets,0.188,0.122,-0.017,0.074,0.101,EOG
Return on equity,0.313,0.210,-0.030,0.126,0.177,EOG
Return on capital employed,0.401,0.178,0.014,0.113,0.148,EOG
Net income per EBT,0.784,0.786,0.818,0.771,0.806,EOG
Ebt per ebit,0.689,0.972,-1.579,0.958,0.949,EOG
Ebit per revenue,0.487,0.310,0.047,0.218,0.260,EOG
Debt ratio,0.401,0.420,0.433,0.417,0.429,EOG
Debt equity ratio,0.217,0.241,0.301,0.256,0.314,EOG
Long term debt to capitalization,0.133,0.186,0.199,0.161,0.211,EOG
Total debt to capitalization,0.178,0.194,0.231,0.204,0.239,EOG
Interest coverage,80.279,34.281,2.281,19.981,18.238,EOG
Cash flow to debt ratio,0.589,1.643,0.819,1.472,1.277,EOG
Company equity multiplier,1.670,1.724,1.764,1.715,1.752,EOG
Receivables turnover,10.272,8.424,6.389,7.868,7.331,EOG
Payables turnover,2.170,2.384,2.928,2.304,2.302,EOG
Inventory turnover,5.193,9.152,7.822,7.293,5.999,EOG
Fixed asset turnover,1.002,0.692,0.345,0.558,0.612,EOG
Asset turnover,0.713,0.514,0.276,0.456,0.506,EOG
Operating cash flow per share,5.449,15.131,8.649,14.123,13.473,EOG
Free cash flow per share,3.704,8.504,2.665,3.012,2.935,EOG
Cash per share,10.279,8.966,5.749,3.509,2.698,EOG
Payout ratio,0.181,0.575,-1.358,0.215,0.128,EOG
Operating cash flow sales ratio,0.107,0.447,0.507,0.482,0.452,EOG
Free cash flow operating cash flow ratio,0.680,0.562,0.308,0.213,0.218,EOG
Cash flow coverage ratios,0.589,1.643,0.819,1.472,1.277,EOG
Short term coverage ratios,2.005,31.736,4.653,5.899,8.508,EOG
Capital expenditure coverage ratio,-3.122,-2.283,-1.445,-1.271,-1.278,EOG
Dividend paid and capex coverage ratio,8.077,-7.539,-1.894,-1.399,-1.378,EOG
Dividend payout ratio,0.181,0.575,-1.358,0.215,0.128,EOG
Price book value ratio,3.037,2.327,1.422,2.237,2.597,EOG
Price to book ratio,3.037,2.327,1.422,2.237,2.597,EOG
Price to sales ratio,2.552,2.624,2.925,2.858,2.928,EOG
Price earnings ratio,9.699,11.066,-47.761,17.702,14.707,EOG
Price to free cash flows ratio,34.968,10.445,18.712,27.813,29.717,EOG
Price to operating cash flows ratio,23.769,5.871,5.766,5.931,6.473,EOG
Price cash flow ratio,23.769,5.871,5.766,5.931,6.473,EOG
Price earnings to growth ratio,0.146,0.013,0.392,-0.875,0.459,EOG
Price sales ratio,2.552,2.624,2.925,2.858,2.928,EOG
Dividend yield,0.019,0.052,0.028,0.012,0.009,EOG
Enterprise value multiple,4.886,4.591,8.183,6.749,12.219,EOG
Price fair value,3.037,2.327,1.422,2.237,2.597,EOG
