,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),EQR,53.869,123.832,42.591,45.753
Total cash(figures in $M),EQR,53.869,123.832,42.591,45.753
Total current assets(figures in $M),EQR,137.172,360.236,99.728,116.999
"Gross property, plant and equipment(figures in $M)",EQR,462.956,474.713,499.287,512.774
"Net property, plant and equipment(figures in $M)",EQR,462.956,474.713,499.287,512.774
Equity and other investments(figures in $M),EQR,279.024,127.448,52.782,52.238
Other long-term assets(figures in $M),EQR,278.206,288.22,291.426,233.937
Total non-current assets(figures in $M),EQR,20081.09,20809.005,20187.163,21055.77
Total assets(figures in $M),EQR,20218.262,21169.241,20286.891,21172.769
Current debt(figures in $M),EQR,129.955,315.03,414.83,1017.833
Accounts payable(figures in $M),EQR,96.028,107.013,107.366,94.35
Accrued liabilities(figures in $M),EQR,66.31,69.51,65.896,66.852
Total current liabilities(figures in $M),EQR,536.914,725.055,820.354,1397.361
Long-term debt(figures in $M),EQR,7295.767,8026.423,7629.426,8019.123
Other long-term liabilities(figures in $M),EQR,375.881,419.243,405.544,417.025
Total non-current liabilities(figures in $M),EQR,7980.396,8758.001,8364.1,8767.482
Total liabilities(figures in $M),EQR,8517.31,9483.056,9184.454,10164.843
Common stock(figures in $M),EQR,41.064,41.035,41.003,40.997
Retained earnings(figures in $M),EQR,1658.837,1827.063,1399.715,1386.495
Accumulated other comprehensive income(figures in $M),EQR,-2.547,-34.272,-43.666,-77.563
Total stockholders' equity(figures in $M),EQR,11173.439,10954.948,10525.651,10315.506
Total liabilities and stockholders' equity(figures in $M),EQR,20218.262,21169.241,20286.891,21172.769
