,2022,2021,2020,2019,2018,ticker
Current ratio,1.076,0.450,0.690,1.304,0.836,EQT
Quick ratio,0.822,0.306,0.332,0.679,0.585,EQT
Cash ratio,0.391,0.022,0.010,0.003,0.001,EQT
Days of sales outstanding,48.346,76.740,77.781,87.310,105.838,EQT
Days of inventory outstanding,0,0,0,0,0,EQT
Operating cycle,48.346,76.740,77.781,87.310,105.838,EQT
Days of payables outstanding,140.731,127.161,78.370,83.506,110.429,EQT
Cash conversion cycle,-92.384,-50.421,-0.589,3.804,-4.591,EQT
Gross profit margin,0.664,0.438,-0.236,0.084,0.260,EQT
Operating profit margin,0.498,0.141,-0.330,0.006,-0.588,EQT
Pretax profit margin,0.192,-0.232,-0.476,-0.420,-0.650,EQT
Net profit margin,0.146,-0.169,-0.364,-0.322,-0.474,EQT
Effective tax rate,0.237,0.273,0.236,0.235,0.226,EQT
Return on assets,0.078,-0.053,-0.053,-0.065,-0.108,EQT
Return on equity,0.159,-0.115,-0.105,-0.125,-0.205,EQT
Return on capital employed,0.319,0.058,-0.054,0.001,-0.152,EQT
Net income per EBT,0.759,0.727,0.764,0.765,0.729,EQT
Ebt per ebit,0.386,-1.652,1.443,-70.977,1.106,EQT
Ebit per revenue,0.498,0.141,-0.330,0.006,-0.588,EQT
Debt ratio,0.505,0.535,0.489,0.479,0.471,EQT
Debt equity ratio,0.511,0.550,0.535,0.543,0.502,EQT
Long term debt to capitalization,0.320,0.311,0.340,0.350,0.304,EQT
Total debt to capitalization,0.338,0.355,0.348,0.352,0.334,EQT
Interest coverage,24.212,3.114,-3.236,0.113,-12.156,EQT
Cash flow to debt ratio,0.606,0.302,0.311,0.348,0.541,EQT
Company equity multiplier,2.029,2.154,1.957,1.919,1.891,EQT
Receivables turnover,7.550,4.756,4.693,4.181,3.449,EQT
Payables turnover,2.594,2.870,4.657,4.371,3.305,EQT
Inventory turnover,0,0,0,0,0,EQT
Fixed asset turnover,0.668,0.371,0.166,0.235,0.272,EQT
Asset turnover,0.536,0.317,0.147,0.202,0.229,EQT
Operating cash flow per share,9.365,5.144,5.900,7.258,11.406,EQT
Free cash flow per share,5.508,1.879,1.901,0.977,-2.895,EQT
Cash per share,3.942,0.353,0.070,0.018,0.013,EQT
Payout ratio,0.115,0,-0.008,-0.025,-0.014,EQT
Operating cash flow sales ratio,0.285,0.243,0.578,0.487,0.628,EQT
Free cash flow operating cash flow ratio,0.588,0.365,0.322,0.135,-0.254,EQT
Cash flow coverage ratios,0.606,0.302,0.311,0.348,0.541,EQT
Short term coverage ratios,7.565,1.691,8.583,40.931,4.225,EQT
Capital expenditure coverage ratio,-2.428,-1.576,-1.475,-1.156,-0.798,EQT
Dividend paid and capex coverage ratio,-2.832,-1.576,-1.486,-1.178,-0.804,EQT
Dividend payout ratio,0.115,0,-0.008,-0.025,-0.014,EQT
Price book value ratio,1.120,0.703,0.358,0.284,0.450,EQT
Price to book ratio,1.120,0.703,0.358,0.284,0.450,EQT
Price to sales ratio,1.031,1.031,1.246,0.732,1.041,EQT
Price earnings ratio,7.069,-6.106,-3.425,-2.276,-2.196,EQT
Price to free cash flows ratio,6.142,11.607,6.685,11.158,-6.524,EQT
Price to operating cash flows ratio,3.612,4.240,2.154,1.502,1.656,EQT
Price cash flow ratio,3.612,4.240,2.154,1.502,1.656,EQT
Price earnings to growth ratio,0.030,-1.618,-0.152,-0.051,0.011,EQT
Price sales ratio,1.031,1.031,1.246,0.732,1.041,EQT
Dividend yield,0.016,0,0.002,0.011,0.006,EQT
Enterprise value multiple,2.166,4.602,-9.865,138.618,-11.517,EQT
Price fair value,1.120,0.703,0.358,0.284,0.450,EQT
