,headline,final_score,datetime
2,Pathway To Premier: Entergy's Business & Sustainability Strategy Campaign,86,2023-05-04 13:30:00
5,"PG&E Corp. (PCG) Meets Q1 Earnings, Reaffirms 2023 View",86,2023-05-04 07:44:02
6,Estimating The Intrinsic Value Of Entergy Corporation (NYSE:ETR),86,2023-05-03 10:09:51
9,Entergy Corp. stock outperforms competitors despite losses on the day,86,2023-05-01 20:54:00
10,Arbor Day Foundation Recognizes Entergy As 2023 Tree Line USA Utility,86,2023-05-01 05:20:00
11,"Ex-Dividend Reminder: Entergy, Northwest Bancshares and Independent Bank Group",86,2023-05-01 02:03:00
12,Entergy Corp. stock underperforms Monday when compared to competitors,86,2023-04-30 20:54:00
14,"Entergy Corp. stock rises Friday, still underperforms market",86,2023-04-28 09:53:00
15,"Entergy Employees and Retirees Contributed Over 110,000 Service Hours in 2022",86,2023-04-28 05:10:00
16,Pathway to Premier: Entergy’s Environmental Stewardship,86,2023-04-27 12:55:00
17,DTE Energy (DTE) Posts Lower-Than-Expected Q1 Earnings,56,2023-04-27 09:02:04
18,"CenterPoint Energy (CNP) Q1 Earnings Beat, Revenues Up Y/Y",62,2023-04-27 08:07:03
19,"CMS Energy (CMS) Q1 Earnings Beat Estimates, Revenues Fall Y/Y",56,2023-04-27 06:28:01
20,CenterPoint Energy beats profit estimates on lower operating costs,51,2023-04-27 04:00:59
21,BMO Capital Keeps Their Buy Rating on Entergy (ETR),86,2023-04-26 23:06:00
22,Q1 2023 Entergy Corp Earnings Call,86,2023-04-26 22:49:13
23,Pathway to Premier: Entergy`s Environmental Stewardship,86,2023-04-26 19:56:00
25,"Entergy Corp. stock falls Wednesday, underperforms market",86,2023-04-26 09:53:00
26,Entergy Corp (ETR) Q1 2023 Earnings Call Transcript,86,2023-04-26 08:48:02
27,"Entergy's (ETR) Q1 Earnings Miss Estimates, Revenues Rise Y/Y",86,2023-04-26 08:41:03
28,Entergy Corporation 2023 Q1 - Results - Earnings Call Presentation,86,2023-04-26 06:13:53
29,Entergy (ETR) Q1 Earnings Lag Estimates,86,2023-04-26 04:55:11
30,Entergy Corp misses profit estimates as retail electricity sales slump,86,2023-04-26 04:30:06
31,Entergy reports first quarter earnings,86,2023-04-26 03:30:00
32,Entergy: Q1 Earnings Snapshot,86,2023-04-25 23:46:00
33,Entergy 1Q Earnings Rise,86,2023-04-25 23:45:00
34,"Entergy backs FY23 adjusted EPS view $6.55-$6.85, consensus $6.71",86,2023-04-25 22:45:00
35,"Entergy reports Q1 EPS $1.14, consensus $1.43",86,2023-04-25 22:44:00
36,Entergy Non-GAAP EPS of $1.14 misses by $0.24,86,2023-04-25 22:36:00
37,Entergy: This Renewable-Focused Utility Could Be Worthy Of Purchase Today,86,2023-04-25 10:27:32
38,Entergy Corp. stock outperforms market despite losses on the day,86,2023-04-25 09:53:00
39,Entergy Q1 2023 Earnings Preview,86,2023-04-25 04:44:00
41,"Entergy Arkansas Donates $50,000 to Red Cross for Tornado Relief",86,2023-04-24 14:50:00
42,Guggenheim Maintains Entergy (ETR) Buy Recommendation,86,2023-04-24 10:22:43
43,Entergy Corp. stock outperforms market on strong trading day,86,2023-04-24 09:53:00
44,Entergy price target lowered to $124 from $128 at Guggenheim,86,2023-04-24 01:46:00
45,Morgan Stanley Maintains Entergy (ETR) Underweight Recommendation,86,2023-04-20 14:13:53
46,Entergy Corp. stock underperforms Thursday when compared to competitors,86,2023-04-20 09:53:00
47,Entergy Grants Now Available to Support Environmentally Beneficial Projects,86,2023-04-20 08:15:00
48,FirstEnergy (FE) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,56,2023-04-20 07:03:02
49,Entergy (ETR) to Report Q1 Earnings: What's in the Offing?,86,2023-04-20 06:24:01
50,Entergy to report first-quarter 2023 financial results on April 26,86,2023-04-19 10:16:00
51,Entergy (ETR) Reports Next Week: Wall Street Expects Earnings Growth,86,2023-04-19 07:01:02
52,Entergy Advocates for Early Child Care and Education at the Louisiana State Capitol,86,2023-04-18 17:05:00
53,JP Morgan Maintains Entergy (ETR) Overweight Recommendation,86,2023-04-18 16:37:48
54,Entergy Corp. stock underperforms Tuesday when compared to competitors,86,2023-04-18 09:53:00
56,Entergy Corp. stock outperforms competitors on strong trading day,86,2023-04-17 09:53:00
59,"Entergy Corp. stock falls Friday, underperforms market",86,2023-04-14 09:53:00
60,Duke Energy (DUK) Arm Adds 150 MW of Solar Capacity in Florida,57,2023-04-14 07:10:02
