,2022,2021,2020,2019,2018,ticker
Current ratio,0.691,0.866,0.984,0.849,1.172,EXC
Quick ratio,0.374,0.220,0.417,0.480,0.658,EXC
Cash ratio,0.038,0.042,0.052,0.041,0.140,EXC
Days of sales outstanding,68.129,58.297,51.559,65.945,59.956,EXC
Days of inventory outstanding,24.948,19.399,26.732,26.763,23.648,EXC
Operating cycle,93.077,77.695,78.291,92.709,83.604,EXC
Days of payables outstanding,111.754,79.431,55.296,53.890,53.332,EXC
Cash conversion cycle,-18.677,-1.735,22.995,38.819,30.273,EXC
Gross profit margin,0.421,0.391,0.288,0.300,0.277,EXC
Operating profit margin,0.174,0.150,0.119,0.127,0.108,EXC
Pretax profit margin,0.126,0.092,0.071,0.116,0.062,EXC
Net profit margin,0.114,0.095,0.059,0.085,0.056,EXC
Effective tax rate,0.145,0.023,0.160,0.194,0.054,EXC
Return on assets,0.023,0.013,0.015,0.023,0.017,EXC
Return on equity,0.088,0.050,0.060,0.091,0.065,EXC
Return on capital employed,0.039,0.023,0.034,0.039,0.036,EXC
Net income per EBT,0.903,1.031,0.841,0.737,0.901,EXC
Ebt per ebit,0.725,0.617,0.592,0.911,0.573,EXC
Ebit per revenue,0.174,0.150,0.119,0.127,0.108,EXC
Debt ratio,0.740,0.738,0.730,0.723,0.724,EXC
Debt equity ratio,1.619,1.004,1.207,1.173,1.187,EXC
Long term debt to capitalization,0.590,0.475,0.521,0.496,0.528,EXC
Total debt to capitalization,0.618,0.501,0.547,0.540,0.543,EXC
Interest coverage,2.291,2.081,2.412,2.707,2.508,EXC
Cash flow to debt ratio,0.122,0.087,0.108,0.176,0.237,EXC
Company equity multiplier,3.853,3.867,3.969,3.878,3.890,EXC
Receivables turnover,5.357,6.261,7.079,5.535,6.088,EXC
Payables turnover,3.266,4.595,6.601,6.773,6.844,EXC
Inventory turnover,14.630,18.816,13.654,13.638,15.434,EXC
Fixed asset turnover,0.276,0.278,0.400,0.429,0.469,EXC
Asset turnover,0.200,0.135,0.255,0.276,0.301,EXC
Operating cash flow per share,4.939,3.077,4.339,6.844,8.939,EXC
Free cash flow per share,-2.309,-5.076,-3.907,-0.605,1.086,EXC
Cash per share,0.413,0.686,0.679,0.603,1.650,EXC
Payout ratio,0.615,0.877,0.760,0.480,0.663,EXC
Operating cash flow sales ratio,0.255,0.168,0.128,0.193,0.240,EXC
Free cash flow operating cash flow ratio,-0.468,-1.650,-0.900,-0.088,0.121,EXC
Cash flow coverage ratios,0.122,0.087,0.108,0.176,0.237,EXC
Short term coverage ratios,1.110,0.886,1.100,1.095,4.190,EXC
Capital expenditure coverage ratio,-0.681,-0.377,-0.526,-0.919,-1.138,EXC
Dividend paid and capex coverage ratio,-0.838,-0.465,-0.646,-1.140,-1.380,EXC
Dividend payout ratio,0.615,0.877,0.760,0.480,0.663,EXC
Price book value ratio,1.723,1.173,0.902,0.982,1.011,EXC
Price to book ratio,1.723,1.173,0.902,0.982,1.011,EXC
Price to sales ratio,2.234,2.248,0.890,0.919,0.864,EXC
Price earnings ratio,19.643,23.642,14.973,10.777,15.476,EXC
Price to free cash flows ratio,-18.720,-8.117,-7.708,-53.718,29.625,EXC
Price to operating cash flows ratio,8.753,13.391,6.940,4.751,3.599,EXC
Price cash flow ratio,8.753,13.391,6.940,4.751,3.599,EXC
Price earnings to growth ratio,0.743,-1.760,-0.448,0.238,-0.324,EXC
Price sales ratio,2.234,2.248,0.890,0.919,0.864,EXC
Dividend yield,0.031,0.037,0.051,0.045,0.043,EXC
Enterprise value multiple,11.140,7.913,6.500,6.067,8.217,EXC
Price fair value,1.723,1.173,0.902,0.982,1.011,EXC
