,headline,final_score,datetime
0,"Analysts Are Neutral on Top Industrial Goods Stocks: Cummins (CMI), Expeditors International (EXPD)",86,2023-05-04 23:21:00
1,Expeditors International of Washington Inc. stock outperforms market despite losses on the day,90,2023-05-04 09:30:00
2,Expeditors International Of Washington (EXPD) Declares $0.69 Dividend,86,2023-05-03 21:20:45
3,Expeditors International of Washington Inc. stock outperforms competitors on strong trading day,90,2023-05-03 09:30:00
4,Barclays Maintains Expeditors International Of Washington (EXPD) Underweight Recommendation,86,2023-05-03 08:07:01
5,Expeditors International of Washington (NASDAQ:EXPD) Could Become A Multi-Bagger,86,2023-05-03 03:15:58
6,"Analysts Are Bearish on Top Industrial Goods Stocks: Expeditors International (EXPD), Illinois Tool Works (ITW)",86,2023-05-02 22:01:00
8,Expeditors Announces Semi-Annual Cash Dividend Of $0.69,53,2023-05-02 13:10:00
9,CORRECTING and REPLACING Expeditors Reports First Quarter 2023 EPS of $1.45,86,2023-05-02 10:44:00
10,Expeditors International of Washington Inc. stock underperforms Tuesday when compared to competitors,90,2023-05-02 09:30:00
11,"Compared to Estimates, Expeditors International (EXPD) Q1 Earnings: A Look at Key Metrics",86,2023-05-02 07:30:02
12,Expeditors International (EXPD) Q1 Earnings Top Estimates,69,2023-05-02 06:45:01
13,Expeditors tops profit expectations but revenue falls well short amid continued soft logistics demand,86,2023-05-02 03:18:00
14,Expeditors International: Q1 Earnings Snapshot,73,2023-05-02 01:36:00
18,Goldman Sachs Remains a Sell on Expeditors International (EXPD),69,2023-05-01 23:35:00
20,Expeditors International (EXPD) Receives a Rating Update from a Top Analyst,86,2023-05-01 20:15:00
21,"Expeditors International of Washington Inc. stock rises Monday, outperforms market",90,2023-05-01 09:30:00
23,Union Pacific Among 12 Companies To Announce Dividend Increases In First Half Of May,86,2023-05-01 05:03:00
25,Expeditors International of Washington Inc. stock underperforms Friday when compared to competitors despite daily gains,90,2023-04-28 09:30:00
27,First Week of June 16th Options Trading For Expeditors International of Washington (EXPD),86,2023-04-27 02:43:00
28,Expeditors International of Washington Inc. stock outperforms competitors despite losses on the day,90,2023-04-26 09:30:00
30,Earnings Preview: Expeditors International (EXPD) Q1 Earnings Expected to Decline,86,2023-04-25 07:01:02
31,What's in the Cards for Expeditors (EXPD) in Q1 Earnings?,57,2023-04-24 07:56:02
33,Expeditors International of Washington Inc. stock underperforms Thursday when compared to competitors,90,2023-04-19 20:32:00
34,"Expeditors International of Washington Inc. stock rises Wednesday, outperforms market",90,2023-04-18 20:33:00
35,"Expeditors International of Washington Inc. stock rises Tuesday, outperforms market",90,2023-04-17 20:32:00
36,"Expeditors International of Washington Inc. stock falls Monday, underperforms market",90,2023-04-17 09:30:00
37,"Expeditors International of Washington Inc. stock rises Thursday, still underperforms market",90,2023-04-13 09:30:00
38,Stifel Nicolaus Reaffirms Their Hold Rating on Expeditors International (EXPD),86,2023-04-13 02:06:00
39,Cowen & Co. Reaffirms Their Hold Rating on Expeditors International (EXPD),86,2023-04-11 20:15:00
41,"Zacks Industry Outlook Highlights Expeditors International of Washington, C.H. Robinson Worldwide and Schneider National",86,2023-04-10 05:24:12
43,"Expeditors International of Washington Inc. stock falls Thursday, underperforms market",90,2023-04-06 09:30:00
44,Expeditors International of Washington Inc. stock underperforms Wednesday when compared to competitors,90,2023-04-05 09:30:00
45,Morgan Stanley Maintains Expeditors International of Wshngtn (EXPD) Underweight Recommendation,86,2023-04-04 14:23:28
46,Expeditors price target lowered to $86 from $87 at Morgan Stanley,86,2023-04-03 23:30:00
47,Expeditors International of Washington Inc. stock underperforms Monday when compared to competitors,90,2023-04-03 09:30:00
48,Expeditors International of Washington Inc. stock outperforms market on strong trading day,90,2023-03-31 09:30:00
49,"Expeditors International: Strong Track Record Fuels High Share Price, Overvalued",86,2023-03-30 14:57:04
50,"Expeditors International of Washington Inc. stock rises Thursday, outperforms market",90,2023-03-30 09:30:00
51,"Expeditors International of Washington Inc. stock rises Wednesday, still underperforms market",90,2023-03-29 09:30:00
52,Here's Why You Should Retain Expeditors (EXPD) Stock Now,57,2023-03-29 06:51:01
53,"Expeditors International of Washington Inc. stock falls Tuesday, underperforms market",90,2023-03-28 09:30:00
56,Expeditors International of Washington Inc. stock underperforms Friday when compared to competitors,90,2023-03-23 20:32:00
57,Why Is Expeditors International (EXPD) Down 0.5% Since Last Earnings Report?,86,2023-03-23 08:30:03
59,"Expeditors International of Washington Inc. stock falls Wednesday, still outperforms market",90,2023-03-22 09:30:00
60,"Expeditors International of Washington Inc. stock rises Tuesday, still underperforms market",90,2023-03-21 09:30:00
61,"Expeditors International of Washington Inc. stock falls Friday, still outperforms market",90,2023-03-17 09:30:00
63,"Expeditors International of Washington Inc. stock falls Friday, underperforms market",90,2023-03-10 08:30:00
65,Expeditors International of Washington Inc. stock underperforms Wednesday when compared to competitors despite daily gains,90,2023-03-08 08:30:00
66,"Expeditors International of Washington Inc. stock falls Tuesday, still outperforms market",90,2023-03-07 08:30:00
