,headline,final_score,datetime
0,Barclays Maintains Expedia Group (EXPE) Overweight Recommendation,86,2023-05-05 07:18:50
1,Mizuho Maintains Expedia Group (EXPE) Neutral Recommendation,86,2023-05-05 07:18:48
2,DA Davidson Maintains Expedia Group (EXPE) Neutral Recommendation,86,2023-05-05 07:18:46
3,Credit Suisse Maintains Expedia Group (EXPE) Outperform Recommendation,86,2023-05-05 07:18:46
4,Strong Demand and AI Power Expedia`s (NASDAQ:EXPE) Q1,86,2023-05-05 05:58:00
5,"Analysts Offer Insights on Services Companies: Expedia (EXPE), Red Rock Resorts (RRR) and Peloton Interactive (PTON)",86,2023-05-05 05:50:00
8,Bernstein Remains a Hold on Expedia (EXPE),86,2023-05-05 01:06:00
10,Expedia price target lowered to $109 from $121 at DA Davidson,86,2023-05-05 00:56:00
11,"Analysts Conflicted on These Services Names: R1 RCM (RCM), Expedia (EXPE) and Lee Enterprises (LEE)",86,2023-05-05 00:40:00
12,Expedia price target lowered to $172 from $174 at Credit Suisse,86,2023-05-05 00:12:00
13,Expedia price target lowered to $108 from $115 at TD Cowen,86,2023-05-04 23:55:00
14,Expedia price target lowered to $125 from $135 at Piper Sandler,86,2023-05-04 23:38:00
15,Piper Sandler Remains a Buy on Expedia (EXPE),86,2023-05-04 23:18:00
16,Expedia price target lowered to $110 from $120 at Mizuho,86,2023-05-04 22:45:00
17,BTIG Sticks to Their Buy Rating for Expedia (EXPE),86,2023-05-04 22:15:00
18,"Analysts Offer Insights on Services Companies: Expedia (EXPE), Live Nation Entertainment (LYV) and DraftKings (DKNG)",86,2023-05-04 22:10:00
19,Expedia (EXPE) Receives a Rating Update from a Top Analyst,86,2023-05-04 22:06:00
20,Barclays Sticks to Their Buy Rating for Expedia (EXPE),86,2023-05-04 21:55:00
21,Expedia price target lowered to $113 from $117 at Barclays,86,2023-05-04 21:49:00
23,Expedia Group (EXPE) Q1 2023 Earnings Call Transcript,86,2023-05-04 17:30:36
24,"Expedia Group, Inc. (EXPE) Q1 2023 Earnings Call Transcript",90,2023-05-04 16:27:09
25,Expedia Looks to Loyalty Rollout and Vrbo Tech Migration as Next Hills to Climb,86,2023-05-04 15:45:00
26,"Markets Down 4 Straight Sessions: Earnings from AAPL, EXPE, SQ & More",60,2023-05-04 15:14:10
27,Expedia Group beats Street estimates on record lodging bookings,86,2023-05-04 13:17:30
28,Expedia Group beats first-quarter Wall Street estimates,86,2023-05-04 13:10:45
29,Expedia Group Reports First Quarter 2023 Results,86,2023-05-04 13:01:00
31,Expedia: Q1 Earnings Snapshot,90,2023-05-04 10:11:00
32,Expedia Group Inc. stock outperforms competitors despite losses on the day,86,2023-05-04 09:54:00
33,Expedia Group 1Q Revenue Up 19% as Travel Demand Remains Strong,86,2023-05-04 09:26:00
34,Expedia is benefiting as gross travel bookings are up online,86,2023-05-04 09:13:00
36,"Analysts Offer Insights on Services Companies: Expedia (EXPE), Upwork (UPWK) and Rush Street Interactive (RSI)",86,2023-05-04 05:50:00
37,Expedia (EXPE) Gets a Buy from Goldman Sachs,86,2023-05-04 04:15:00
40,Expedia backs FY23 margin expansion growth of double digits,86,2023-05-03 20:50:00
41,Expedia says broad travel demand remains strong,86,2023-05-03 20:42:00
