,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),FAST,6980.6,6980.6,6010.9,5647.3,5333.7
Cost of revenue(figures in $M),FAST,3764.8,3764.8,3233.7,3079.5,2818.3
Gross profit(figures in $M),FAST,3215.8,3215.8,2777.2,2567.8,2515.4
Selling general and administrative(figures in $M),FAST,1762.2,1762.2,1559.8,1427.4,1459.4
Total operating expenses(figures in $M),FAST,1762.2,1762.2,1559.8,1427.4,1459.4
Operating income or loss(figures in $M),FAST,1453.6,1453.6,1217.4,1140.4,1056.0
Interest expense(figures in $M),FAST,14.3,14.3,9.7,9.7,13.9
Total other income/expenses net(figures in $M),FAST,,,,1.4,1.2
Income before tax(figures in $M),FAST,1440.0,1440.0,1207.8,1132.7,1043.7
Income tax expense(figures in $M),FAST,353.1,353.1,282.8,273.6,252.8
Income from continuing operations(figures in $M),FAST,1086.9,1086.9,925.0,859.1,790.9
Net income(figures in $M),FAST,1086.9,1086.9,925.0,859.1,790.9
Net income available to common shareholders(figures in $M),FAST,1086.9,1086.9,925.0,859.1,790.9
Basic EPS(figures in $M),FAST,,,1.61e-06,1.5e-06,1.38e-06
Diluted EPS(figures in $M),FAST,,,1.6000000000000001e-06,1.49e-06,1.38e-06
Basic average shares(figures in $M),FAST,,,574.808,573.779,573.2
Diluted average shares(figures in $M),FAST,,,577.117,575.672,574.4
EBITDA(figures in $M),FAST,,1630.9,1388.2,1304.8,1206.3
