,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),FCX,8146.0,8068.0,3657.0,2020.0
Total cash(figures in $M),FCX,8146.0,8068.0,3657.0,2020.0
Net receivables(figures in $M),FCX,1336.0,1168.0,892.0,741.0
Inventory(figures in $M),FCX,5180.0,4497.0,3893.0,3958.0
Other current assets(figures in $M),FCX,492.0,523.0,341.0,655.0
Total current assets(figures in $M),FCX,15613.0,14830.0,9303.0,7800.0
"Gross property, plant and equipment(figures in $M)",FCX,80900.0,77018.0,74883.0,73357.0
Accumulated depreciation(figures in $M),FCX,-48273.0,-46673.0,-45065.0,-43773.0
"Net property, plant and equipment(figures in $M)",FCX,32627.0,30345.0,29818.0,29584.0
Equity and other investments(figures in $M),FCX,262.0,232.0,295.0,303.0
Intangible assets(figures in $M),FCX,416.0,412.0,401.0,402.0
Other long-term assets(figures in $M),FCX,2853.0,2847.0,3023.0,3425.0
Total non-current assets(figures in $M),FCX,35480.0,33192.0,32841.0,33009.0
Total assets(figures in $M),FCX,51093.0,48022.0,42144.0,40809.0
Current debt(figures in $M),FCX,1037.0,372.0,34.0,5.0
Accounts payable(figures in $M),FCX,4027.0,3495.0,2708.0,2576.0
Taxes payable(figures in $M),FCX,744.0,1541.0,324.0,119.0
Accrued liabilities(figures in $M),FCX,866.0,824.0,837.0,630.0
Deferred revenues(figures in $M),FCX,76.0,191.0,65.0,0.0
Total current liabilities(figures in $M),FCX,6345.0,5892.0,3417.0,3209.0
Long-term debt(figures in $M),FCX,9583.0,9078.0,9677.0,9821.0
Deferred tax liabilities(figures in $M),FCX,4269.0,4234.0,4408.0,4210.0
Other long-term liabilities(figures in $M),FCX,1562.0,1683.0,2269.0,2491.0
Total non-current liabilities(figures in $M),FCX,19877.0,19111.0,20059.0,20152.0
Total liabilities(figures in $M),FCX,26222.0,25003.0,23476.0,23361.0
Common stock(figures in $M),FCX,161.0,160.0,159.0,158.0
Retained earnings(figures in $M),FCX,-3907.0,-7375.0,-11680.0,-12280.0
Accumulated other comprehensive income(figures in $M),FCX,-320.0,-388.0,-583.0,-676.0
Total stockholders' equity(figures in $M),FCX,15555.0,13980.0,10174.0,9298.0
Total liabilities and stockholders' equity(figures in $M),FCX,51093.0,48022.0,42144.0,40809.0
