,ticker,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Cash and cash equivalents(figures in $M),FFIV,758.012,580.977,849.556,599.219
Other short-term investments(figures in $M),FFIV,126.554,329.63,360.333,373.063
Total cash(figures in $M),FFIV,884.566,910.607,1209.889,972.282
Net receivables(figures in $M),FFIV,469.979,340.536,296.183,322.029
Inventory(figures in $M),FFIV,68.365,22.055,27.898,34.401
Other current assets(figures in $M),FFIV,489.314,337.902,259.506,182.874
Total current assets(figures in $M),FFIV,1912.224,1611.1,1793.476,1511.586
"Gross property, plant and equipment(figures in $M)",FFIV,395.657,436.098,529.919,418.185
Accumulated depreciation(figures in $M),FFIV,-301.366,-289.559,-240.178,-194.759
"Net property, plant and equipment(figures in $M)",FFIV,395.657,436.098,529.919,223.426
Equity and other investments(figures in $M),FFIV,9.544,132.778,102.939,358.402
Goodwill(figures in $M),FFIV,2259.282,2216.553,1858.966,1065.379
Intangible assets(figures in $M),FFIV,200.288,237.178,225.9,108.903
Other long-term assets(figures in $M),FFIV,516.122,472.558,347.447,203.781
Total non-current assets(figures in $M),FFIV,3363.97,3386.18,2884.444,1878.689
Total assets(figures in $M),FFIV,5276.194,4997.28,4677.92,3390.275
Current debt(figures in $M),FFIV,349.772,19.275,19.275,0.0
Accounts payable(figures in $M),FFIV,113.178,62.096,64.472,62.627
Taxes payable(figures in $M),FFIV,0.0,0.0,33.048,31.801
Accrued liabilities(figures in $M),FFIV,309.819,341.487,321.398,235.869
Deferred revenues(figures in $M),FFIV,1067.182,968.669,883.134,807.03
Total current liabilities(figures in $M),FFIV,1839.951,1391.527,1288.279,1105.526
Long-term debt(figures in $M),FFIV,0.0,349.772,369.047,0.0
Deferred tax liabilities(figures in $M),FFIV,2.781,2.414,0.602,0.313
Deferred revenues(figures in $M),FFIV,624.398,521.173,389.498,391.086
Other long-term liabilities(figures in $M),FFIV,67.71,75.236,59.511,131.853
Total non-current liabilities(figures in $M),FFIV,967.265,1245.54,1157.373,523.252
Total liabilities(figures in $M),FFIV,2807.216,2637.067,2445.652,1628.778
Common stock(figures in $M),FFIV,91.048,192.458,305.453,142.597
Retained earnings(figures in $M),FFIV,2404.106,2187.828,1945.531,1638.09
Accumulated other comprehensive income(figures in $M),FFIV,-26.176,-20.073,-18.716,-19.19
Total stockholders' equity(figures in $M),FFIV,2468.978,2360.213,2232.268,1761.497
Total liabilities and stockholders' equity(figures in $M),FFIV,5276.194,4997.28,4677.92,3390.275
