,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),FHN,3120.0,3209.0,3071.0,3154.0,1818.203
Interest expense(figures in $M),FHN,291.0,304.0,176.0,236.0,414.153
Income before tax(figures in $M),FHN,1159.0,1159.0,1285.0,933.0,585.664
Income tax expense(figures in $M),FHN,247.0,247.0,274.0,76.0,133.291
Income from continuing operations(figures in $M),FHN,912.0,912.0,1010.0,857.0,452.373
Net income(figures in $M),FHN,900.0,900.0,999.0,845.0,440.908
Net income available to common shareholders(figures in $M),FHN,868.0,868.0,962.0,822.0,434.708
Basic EPS(figures in $M),FHN,,1.6200000000000002e-06,1.76e-06,1.8999999999999998e-06,1.3899999999999998e-06
Diluted EPS(figures in $M),FHN,,1.53e-06,1.74e-06,1.89e-06,1.38e-06
Basic average shares(figures in $M),FHN,,535.0,546.0,432.0,313.637
Diluted average shares(figures in $M),FHN,,566.0,551.0,434.0,315.657
