,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),FIS,2188.0,2010.0,1959.0,1152.0
Total cash(figures in $M),FIS,2188.0,2010.0,1959.0,1152.0
Net receivables(figures in $M),FIS,3699.0,3772.0,3314.0,3242.0
Other current assets(figures in $M),FIS,6438.0,4020.0,0.0,0.0
Total current assets(figures in $M),FIS,12818.0,10708.0,9898.0,8692.0
"Gross property, plant and equipment(figures in $M)",FIS,2694.0,2982.0,887.0,900.0
Accumulated depreciation(figures in $M),FIS,-1519.0,-1571.0,-1405.0,-1277.0
"Net property, plant and equipment(figures in $M)",FIS,862.0,949.0,887.0,900.0
Equity and other investments(figures in $M),FIS,393.0,358.0,0.0,0.0
Goodwill(figures in $M),FIS,34276.0,53330.0,53268.0,52242.0
Intangible assets(figures in $M),FIS,12194.0,14838.0,17298.0,19002.0
Other long-term assets(figures in $M),FIS,2048.0,2137.0,1574.0,2303.0
Total non-current assets(figures in $M),FIS,50460.0,72223.0,73944.0,75114.0
Total assets(figures in $M),FIS,63278.0,82931.0,83842.0,83806.0
Current debt(figures in $M),FIS,5930.0,5528.0,4064.0,2963.0
Accounts payable(figures in $M),FIS,2754.0,2864.0,2482.0,2374.0
Accrued liabilities(figures in $M),FIS,113.0,53.0,102.0,109.0
Deferred revenues(figures in $M),FIS,788.0,779.0,881.0,817.0
Total current liabilities(figures in $M),FIS,16224.0,14466.0,12361.0,10382.0
Long-term debt(figures in $M),FIS,14207.0,14825.0,15951.0,17229.0
Deferred tax liabilities(figures in $M),FIS,3550.0,4193.0,4017.0,4281.0
Deferred revenues(figures in $M),FIS,165.0,175.0,59.0,52.0
Other long-term liabilities(figures in $M),FIS,1891.0,1915.0,1967.0,2406.0
Total non-current liabilities(figures in $M),FIS,19648.0,20933.0,21994.0,23968.0
Total liabilities(figures in $M),FIS,35872.0,35399.0,34355.0,34350.0
Common stock(figures in $M),FIS,6.0,6.0,6.0,6.0
Retained earnings(figures in $M),FIS,-14971.0,2889.0,3440.0,4161.0
Accumulated other comprehensive income(figures in $M),FIS,-360.0,252.0,57.0,-33.0
Total stockholders' equity(figures in $M),FIS,27218.0,47347.0,49300.0,49440.0
Total liabilities and stockholders' equity(figures in $M),FIS,63278.0,82931.0,83842.0,83806.0
