,ticker,2023,2024,2025
Revenue(In $M),FIS,"14,525","15,034","15,714"
Dividend,FIS,2.04,2.29,2.37
Dividend Yield (in %),FIS,3.84 %,4.39 %,4.57 %
EPS,FIS,5.95,6.51,7.10
P/E Ratio,FIS,8.89,8.14,7.46
EBIT(In $M),FIS,"1,998","2,361","2,703"
EBITDA(In $M),FIS,"6,097","6,471","6,808"
Net Profit(In $M),FIS,"3,538","3,808","4,110"
Net Profit Adjusted(In $M),FIS,"3,538","3,808","4,110"
Pre-Tax Profit(In $M),FIS,"4,129","4,455","4,828"
Net Profit (Adjusted)(In $M),FIS,"1,208","1,715","1,907"
EPS (Non-GAAP) ex. SOE(In $),FIS,5.95,6.51,7.10
EPS (GAAP)(In $),FIS,1.73,2.37,3.11
Gross Income(In $M),FIS,"5,722","6,012","6,652"
Cash Flow from Investing(In $M),FIS,"-1,190","-1,185","-1,261"
Cash Flow from Operations(In $M),FIS,"4,073","5,394","5,378"
Cash Flow from Financing(In $M),FIS,"-2,571","-3,314","-3,106"
Cash Flow per Share(In $),FIS,8.22,8.56,9.65
Free Cash Flow(In $M),FIS,"3,092","3,570","4,003"
Free Cash Flow per Share(In $),FIS,5.75,5.81,-
Book Value per Share(In $),FIS,47.51,46.41,46.72
Net Debt(In $M),FIS,"14,928","13,938","11,516"
Research & Development Exp.(In $M),FIS,-,-,-
Capital Expenditure(In $M),FIS,"1,238","1,511","1,677"
"Selling, General & Admin. Exp.(In $M)",FIS,"3,719","3,625","4,134"
Shareholder’s Equity(In $M),FIS,"28,076","27,950","26,258"
Total Assets(In $M),FIS,"60,782","59,271","56,770"
