,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),FIS,14528.0,14528.0,13877.0,12552.0,10333.0
Cost of revenue(figures in $M),FIS,8820.0,8820.0,8682.0,8348.0,6610.0
Gross profit(figures in $M),FIS,5708.0,5708.0,5195.0,4204.0,3723.0
Selling general and administrative(figures in $M),FIS,4118.0,4118.0,3938.0,3516.0,2667.0
Total operating expenses(figures in $M),FIS,4118.0,4118.0,3938.0,3516.0,2667.0
Operating income or loss(figures in $M),FIS,1590.0,1590.0,1257.0,688.0,1056.0
Interest expense(figures in $M),FIS,300.0,275.0,214.0,334.0,337.0
Total other income/expenses net(figures in $M),FIS,-17646.0,-17646.0,-254.0,-88.0,-306.0
Income before tax(figures in $M),FIS,-16331.0,-16331.0,789.0,266.0,413.0
Income tax expense(figures in $M),FIS,377.0,377.0,371.0,96.0,100.0
Income from continuing operations(figures in $M),FIS,-16708.0,-16708.0,424.0,164.0,303.0
Net income(figures in $M),FIS,-16720.0,-16720.0,417.0,158.0,298.0
Net income available to common shareholders(figures in $M),FIS,-16720.0,-16720.0,417.0,158.0,298.0
Basic EPS(figures in $M),FIS,,-2.768e-05,6.800000000000001e-07,2.6e-07,6.7e-07
Diluted EPS(figures in $M),FIS,,-2.768e-05,6.7e-07,2.5e-07,6.6e-07
Basic average shares(figures in $M),FIS,,604.0,616.0,619.0,445.0
Diluted average shares(figures in $M),FIS,,604.0,621.0,627.0,451.0
EBITDA(figures in $M),FIS,,-12210.0,5018.0,4314.0,3194.0
