,ticker,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Total revenue(figures in $M),FITB,8178.0,8295.0,7799.0,7491.0,8203.0
Interest expense(figures in $M),FITB,978.0,978.0,441.0,790.0,1457.0
Income before tax(figures in $M),FITB,3093.0,3093.0,3517.0,1797.0,3202.0
Income tax expense(figures in $M),FITB,647.0,647.0,747.0,370.0,690.0
Income from continuing operations(figures in $M),FITB,2446.0,2446.0,2770.0,1427.0,2512.0
Net income(figures in $M),FITB,2446.0,2446.0,2770.0,1427.0,2512.0
Net income available to common shareholders(figures in $M),FITB,2328.0,2328.0,2659.0,1323.0,2419.0
Basic EPS(figures in $M),FITB,,3.38e-06,3.78e-06,1.8400000000000002e-06,3.38e-06
Diluted EPS(figures in $M),FITB,,3.35e-06,3.73e-06,1.83e-06,3.33e-06
Basic average shares(figures in $M),FITB,,688.634,702.189,714.73,710.434
Diluted average shares(figures in $M),FITB,,694.952,711.198,719.735,720.065
