,2022,2021,2020,2019,2018,ticker
Current ratio,15.875,83.442,64.576,44.134,0,FITB
Quick ratio,15.262,80.335,64.576,44.134,0,FITB
Cash ratio,0.801,3.055,2.640,3.242,0,FITB
Days of sales outstanding,8.436 K,9.057 K,142.034,149.640,358.296,FITB
Days of inventory outstanding,0,0,0,0,0,FITB
Days of payables outstanding,0,0,0,0,0,FITB
Gross profit margin,1,1,1,1,1,FITB
Operating profit margin,34.795,32.179,0.345,0.568,0.619,FITB
Pretax profit margin,26.436,28.593,0.240,0.390,0.449,FITB
Net profit margin,20.906,22.520,0.190,0.306,0.356,FITB
Effective tax rate,0.209,0.212,0.206,0.215,0.207,FITB
Return on assets,0.012,0.013,0.007,0.015,0.015,FITB
Return on equity,0.141,0.125,0.062,0.118,0.135,FITB
Return on capital employed,0.020,0.019,0.013,0.028,0.026,FITB
Net income per EBT,0.791,0.788,0.794,0.785,0.793,FITB
Ebt per ebit,0.760,0.889,0.695,0.687,0.726,FITB
Ebit per revenue,34.795,32.179,0.345,0.568,0.619,FITB
Debt ratio,0.916,0.895,0.887,0.875,0.889,FITB
Debt equity ratio,1.071,0.576,0.699,0.754,0.888,FITB
Long term debt to capitalization,0.442,0.347,0.393,0.414,0.470,FITB
Total debt to capitalization,0.517,0.366,0.412,0.430,0.470,FITB
Interest coverage,4.163,8.975,3.275,3.198,3.651,FITB
Cash flow to debt ratio,0.346,0.211,0.023,0.114,0.198,FITB
Company equity multiplier,11.973,9.505,8.856,7.988,8.989,FITB
Receivables turnover,0.043,0.040,2.570,2.439,1.019,FITB
Payables turnover,0,0,0,0,0,FITB
Inventory turnover,0,0,0,0,0,FITB
Fixed asset turnover,0.042,0.045,2.615,2.885,2.586,FITB
Asset turnover,0.001,0.001,0.037,0.048,0.042,FITB
Operating cash flow per share,9.334,3.851,0.519,2.567,4.242,FITB
Free cash flow per share,8.649,3.411,0.018,2.140,4.042,FITB
Cash per share,91.950,107.772,103.618,58.072,54.629,FITB
Payout ratio,0.379,0.324,0.601,0.300,0.258,FITB
Operating cash flow sales ratio,54.940,21.984,0.050,0.222,0.464,FITB
Free cash flow operating cash flow ratio,0.927,0.886,0.035,0.833,0.953,FITB
Cash flow coverage ratios,0.346,0.211,0.023,0.114,0.198,FITB
Short term coverage ratios,1.329,2.759,0.311,1.804,0,FITB
Capital expenditure coverage ratio,-13.619,-8.751,-1.036,-6,-21.313,FITB
Dividend paid and capex coverage ratio,14.127,4.599,0.742,4.062,6.626,FITB
Dividend payout ratio,0.379,0.324,0.601,0.300,0.258,FITB
Price book value ratio,1.304,1.377,0.853,1.030,0.975,FITB
Price to book ratio,1.304,1.377,0.853,1.030,0.975,FITB
Price to sales ratio,193.112,248.621,2.631,2.662,2.575,FITB
Price earnings ratio,9.237,11.040,13.809,8.694,7.225,FITB
Price to free cash flows ratio,3.793,12.768,1.516 K,14.368,5.821,FITB
Price to operating cash flows ratio,3.515,11.309,53.113,11.973,5.548,FITB
Price cash flow ratio,3.515,11.309,53.113,11.973,5.548,FITB
Price earnings to growth ratio,-0.873,0.105,-0.303,1.001,0.905,FITB
Price sales ratio,193.112,248.621,2.631,2.662,2.575,FITB
Dividend yield,0.041,0.029,0.044,0.034,0.036,FITB
Enterprise value multiple,8.360,9.377,10.628,6.732,6.619,FITB
Price fair value,1.304,1.377,0.853,1.030,0.975,FITB
