,headline,final_score,datetime
0,Fifth Third Bank Surprises Louisville and Charlotte Families on Fifth Third Day with Gift of College Savings,86,2023-05-04 10:32:00
1,Fifth Third Bancorp stock underperforms Thursday when compared to competitors,90,2023-05-04 09:55:00
2,Fifth Third Bank to Increase Prime Lending Rate to 8.25%,86,2023-05-03 11:43:00
3,Fifth Third Bancorp stock underperforms Wednesday when compared to competitors,90,2023-05-03 09:55:00
4,Fifth Third Day to Provide 10 Million Meals to Fight Food Insecurity,86,2023-05-03 06:31:00
5,"Fifth Third Bancorp stock falls Tuesday, underperforms market",90,2023-05-02 09:55:00
6,Insiders might want to re-evaluate their US$1.6m stock purchase as Fifth Third Bancorp (NASDAQ:FITB) drops to US$18b,90,2023-05-02 06:13:45
8,Fifth Third Bancorp bid for First Republic before sale to JPMorgan -sources,90,2023-05-01 10:39:11
9,Fifth Third Bancorp stock underperforms Monday when compared to competitors,90,2023-05-01 09:54:00
11,Fifth Third Bancorp stock outperforms competitors on strong trading day,90,2023-04-28 09:54:00
12,Fifth Third Bancorp (NASDAQ:FITB) Q1 2023 Earnings Call Transcript,90,2023-04-27 11:49:05
13,Fifth Third management to meet with Jefferies,86,2023-04-27 03:15:00
14,Fifth Third Bancorp Named Top Dividend Stock With Insider Buying and 5.16% Yield (FITB),90,2023-04-27 03:01:00
15,Fifth Third Bancorp stock outperforms competitors despite losses on the day,90,2023-04-26 09:54:00
16,First Week of June 16th Options Trading For Fifth Third Bancorp (FITB),90,2023-04-26 05:35:00
18,Fifth Third Bancorp stock underperforms Tuesday when compared to competitors,90,2023-04-25 09:55:00
20,DA Davidson Maintains Fifth Third Bancorp (FITB) Neutral Recommendation,90,2023-04-24 10:23:52
21,"Fifth Third Bancorp stock falls Monday, underperforms market",90,2023-04-24 09:55:00
22,Citigroup Maintains Fifth Third Bancorp (FITB) Neutral Recommendation,90,2023-04-24 04:58:45
24,Fifth Third price target lowered to $30 from $31 at DA Davidson,86,2023-04-24 00:17:00
25,"Analysts` Opinions Are Mixed on These Financial Stocks: Central Valley Community Bancorp (CVCY), Fifth Third Bancorp (FITB) and National Bank Holdings (NBHC)",60,2023-04-23 23:51:00
26,"Analysts Offer Insights on Financial Companies: Fifth Third Bancorp (FITB), Deutsche Bank AG (DB) and Travelers Companies (TRV)",90,2023-04-23 22:32:00
27,Fifth Third price target lowered to $30 from $40 at Citi,86,2023-04-23 22:26:00
29,Fifth Third price target raised to $31 from $29 at UBS,86,2023-04-22 22:20:00
30,RBC Capital Reiterates Fifth Third Bancorp (FITB) Outperform Recommendation,90,2023-04-21 18:46:43
31,Fifth Third Bancorp stock underperforms Friday when compared to competitors,90,2023-04-21 09:55:00
32,Fifth Third call volume above normal and directionally bullish,86,2023-04-21 05:45:00
33,"Analysts Offer Insights on Financial Companies: Fifth Third Bancorp (FITB), First Financial Bancorp (FFBC) and Hilltop Holdings (HTH)",90,2023-04-21 04:40:00
34,Fifth Third Bancorp names Nicholas Akins non-executive board chair,90,2023-04-21 00:46:00
35,Q1 2023 Fifth Third Bancorp Earnings Call,90,2023-04-20 21:04:59
36,Barclays Reaffirms Their Buy Rating on Fifth Third Bancorp (FITB),90,2023-04-20 20:26:00
38,Fifth Third Bancorp (FITB) Q1 2023 Earnings Call Transcript,90,2023-04-20 07:27:01
39,"Fifth Third (FITB) Q1 Earnings Miss, Revenues Rise on NII Hike",86,2023-04-20 06:27:01
40,Fifth Third Bancorp (FITB) Misses Q1 Earnings and Revenue Estimates,90,2023-04-20 04:45:11
42,Fifth Third Bancorp profit rises 13% as higher rates bolster interest income,90,2023-04-20 04:27:43
43,Fifth Third Reports First Quarter 2023 Diluted Earnings Per Share of $0.78,86,2023-04-20 03:30:00
45,"Fifth Third Q1 earnings fall as NII slips, noninterest expense rises",86,2023-04-20 02:35:00
46,Fifth Third Bancorp 2023 Q1 - Results - Earnings Call Presentation,90,2023-04-20 01:30:34
49,"Fifth Third sees Q2 revenue `stable` vs. Q1, consensus $2.26B",86,2023-04-19 22:52:00
50,Fifth Third sees FY23 total revenue up 6%-8% vs. prior view of up 9%-10%,86,2023-04-19 22:51:00
51,"Fifth Third Bancorp Non-GAAP EPS of $0.83 beats by $0.04, revenue of $2.22B misses by $10M",90,2023-04-19 22:37:00
52,"Fifth Third reports Q1 EPS 78c, consensus 79c",86,2023-04-19 22:37:00
53,Fifth Third Bancorp (FITB) Receives a Buy from Wedbush,90,2023-04-19 18:35:00
54,"Fifth Third Bancorp stock rises Wednesday, outperforms market",90,2023-04-19 09:54:00
56,Fifth Third Bancorp Q1 2023 Earnings Preview,90,2023-04-19 05:15:00
58,Fifth Third Bancorp Announces Preliminary Results of Annual Shareholders Meeting,90,2023-04-18 15:38:00
59,Fifth Third (FITB) to Report Q3 Earnings: Will it Disappoint?,86,2023-04-18 09:41:04
62,"Fifth Third Bancorp stock rises Monday, outperforms market",90,2023-04-17 09:54:00
69,"Fifth Third Bancorp stock rises Thursday, still underperforms market",90,2023-04-13 09:54:00
70,Fifth Third Bancorp (FITB) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,90,2023-04-13 07:01:02
71,June 2nd Options Now Available For Fifth Third Bancorp (FITB),90,2023-04-13 04:51:00
73,Barclays Maintains Fifth Third Bancorp (FITB) Overweight Recommendation,90,2023-04-12 18:05:15
75,Fifth Third Bancorp (FITB) Gets a Buy from Barclays,90,2023-04-11 22:25:00
76,Fifth Third price target lowered to $36 from $47 at Barclays,86,2023-04-11 22:04:00
77,Citizens Financial names Fifth Third exec Richard Stein chief risk officer,86,2023-04-11 20:16:00
78,FITB Dividend Yield Pushes Past 5%,60,2023-04-11 19:13:00
80,Fifth Third Bank Launches Rate Drop Protector for Mortgages,86,2023-04-11 06:00:00
82,Fifth Third Bancorp stock outperforms market on strong trading day,90,2023-04-10 20:55:00
83,JP Morgan Maintains Fifth Third Bancorp (FITB) Neutral Recommendation,90,2023-04-10 17:53:51
86,Fifth Third price target lowered to $32.50 from $37.50 at JPMorgan,86,2023-04-09 23:21:00
88,"Keefe, Bruyette & Woods Upgrades Fifth Third Bancorp (FITB)",90,2023-04-06 14:11:57
89,"Fifth Third Bancorp stock rises Thursday, outperforms market",90,2023-04-06 09:54:00
91,"KBW rejigs regional bank ratings; upgrades Fifth Third, Popular to Outperform",86,2023-04-06 02:59:00
95,KBW upgrades Fifth Third Bancorp to outperform and cuts PNC Financial to underperform in bank ratings shuffle,90,2023-04-06 01:27:00
96,Morgan Stanley Maintains Fifth Third Bancorp (FITB) Equal-Weight Recommendation,90,2023-04-05 16:39:53
98,Fifth Third Bancorp (NASDAQ:FITB) is favoured by institutional owners who hold 82% of the company,90,2023-04-05 05:01:57
99,Fifth Third price target lowered to $29 from $37 at Morgan Stanley,86,2023-04-05 00:27:00
100,Morgan Stanley Sticks to Their Hold Rating for Fifth Third Bancorp (FITB),90,2023-04-04 23:56:00
101,Fifth Third upgraded to Outperform from Market Perform at Keefe Bruyette,86,2023-04-04 23:25:00
104,"Fifth Third Bancorp stock rises Friday, still underperforms market",90,2023-03-31 09:56:00
105,Fifth Third Bancorp (FITB) Could Be a Great Choice,90,2023-03-31 08:45:03
109,Fifth Third Bank Awarded on the Fortune’s America’s Most Innovative Companies 2023 List,86,2023-03-29 05:58:00
111,Fifth Third Bank Offers Tips on How to Talk to Your Kids About Money and Banking,86,2023-03-28 06:00:00
112,"Citizens Financial, Fifth Third among oversold regional bank stocks set to rebound: CFRA",86,2023-03-27 22:15:00
114,Fifth Third Bancorp`s Non-Cumululative Perpetual Preferred Goes Ex-Dividend Soon,90,2023-03-27 03:25:00
117,Fifth Third Bancorp: Significant Re-Rating Potential,90,2023-03-26 02:10:19
122,Fifth Third price target lowered to $36 from $42 at RBC Capital,86,2023-03-23 23:50:00
125,Fifth Third Bank: Quality Regional Bank Undeservedly Affected By SVB's Collapse Fallout,86,2023-03-23 00:16:44
126,Fifth Third Bank: Quality Regional Bank Undeservedly Affected By SVB`s Collapse Fallout,86,2023-03-22 23:22:00
127,Fifth Third Bank to Increase Prime Lending Rate to 8.00%,86,2023-03-22 11:04:00
131,Fifth Third put volume heavy and directionally bearish,86,2023-03-21 19:55:00
132,Fifth Third to increase prime lending rate to 8.00%,86,2023-03-21 18:05:00
133,"Fifth Third Bancorp stock rises Tuesday, outperforms market",90,2023-03-21 09:54:00
134,Fifth Third Bancorp (FITB) Surges 5.1%: Is This an Indication of Further Gains?,90,2023-03-21 04:09:11
141,Fifth Third Bancorp Takes Over #342 Spot From Waters,90,2023-03-19 20:46:00
142,Fifth Third Bancorp (FITB) Declares $0.33 Dividend,90,2023-03-19 15:46:26
146,Fifth Third Bancorp Announces Cash Dividends,90,2023-03-16 09:36:00
147,Fifth Third Bancorp declares $0.33 dividend,90,2023-03-16 05:56:00
150,Fifth Third board member bought $1.3 million worth of stock after it tumbled,86,2023-03-15 13:34:00
153,"Video: Wednesday 3/15 Insider Buying Report: FITB, STEL",60,2023-03-15 04:18:00
159,"Fifth Third Bancorp stock rises Tuesday, still underperforms market",90,2023-03-14 09:55:00
163,"Why Are Bank Stocks KEY, WAL, SCHW, FITB, HBAN, TFC Up Today?",60,2023-03-14 01:47:00
165,Fifth Third director buys $1.27M in common stock,86,2023-03-13 22:27:00
