,ticker,sentiment
2023-04-05 00:27:00,FITB,-0.128
2023-04-05 05:01:57,FITB,0.4215
2023-04-05 06:10:09,FITB,0.2023
2023-04-06 01:27:00,FITB,-0.296
2023-04-06 01:39:00,FITB,0.2732
2023-04-06 02:59:00,FITB,0.4215
2023-04-08 20:20:02,FITB,0.7096
2023-04-09 23:21:00,FITB,-0.128
2023-04-09 23:41:00,FITB,0.2023
2023-04-10 17:53:51,FITB,0.368
2023-04-10 20:55:00,FITB,0.5106
2023-04-11 00:55:08,FITB,-0.3919
2023-04-11 06:00:00,FITB,-0.2732
2023-04-11 13:08:52,FITB,-0.1531
2023-04-11 20:16:00,FITB,-0.2732
2023-04-11 22:04:00,FITB,-0.128
2023-04-12 15:34:29,FITB,0.5267
2023-04-12 18:05:15,FITB,-0.3612
2023-04-16 18:00:00,FITB,0.0772
2023-04-18 04:00:00,FITB,-0.7203
2023-04-18 07:01:02,FITB,0.5106
2023-04-18 09:41:04,FITB,-0.4019
2023-04-19 22:37:00,FITB,-0.2263
2023-04-19 22:52:00,FITB,0.296
2023-04-19 23:55:00,FITB,-0.3182
2023-04-20 00:30:00,FITB,-0.3612
2023-04-20 03:30:00,FITB,0.296
2023-04-20 04:27:43,FITB,0.7096
2023-04-20 04:33:43,FITB,0.6369
2023-04-20 04:45:11,FITB,-0.2263
2023-04-20 06:27:01,FITB,-0.1531
2023-04-20 18:04:00,FITB,0.4404
2023-04-23 03:17:23,FITB,-0.743
2023-04-23 22:26:00,FITB,-0.128
2023-04-24 00:17:00,FITB,-0.128
2023-04-24 02:30:00,FITB,-0.3612
2023-04-24 03:42:00,FITB,0.5994
2023-04-25 18:15:00,FITB,-0.296
2023-04-26 09:54:00,FITB,0.3089
2023-04-27 03:01:00,FITB,0.2023
2023-04-28 09:54:00,FITB,0.5106
2023-04-30 18:23:00,FITB,0.6369
2023-05-02 06:13:45,FITB,0.0772
2023-05-03 06:31:00,FITB,-0.6597
2023-05-03 11:43:00,FITB,0.3182
2023-05-04 10:32:00,FITB,0.5859
