,2020,2019,2018,2017,2016,ticker
Current ratio,2.803,2.684,4.090,3.513,3.220,FLIR
Quick ratio,1.487,1.460,2.645,2.192,1.972,FLIR
Cash ratio,0.680,0.689,1.621,1.314,0.999,FLIR
Days of sales outstanding,67.085,61.636,66.547,70.283,77.301,FLIR
Days of inventory outstanding,176.483,148.193,146.817,144.263,151.445,FLIR
Operating cycle,243.567,209.829,213.365,214.547,228.746,FLIR
Days of payables outstanding,58.895,60.241,39.819,41.238,46.581,FLIR
Cash conversion cycle,184.673,149.588,173.546,173.309,182.165,FLIR
Gross profit margin,0.492,0.493,0.507,0.477,0.462,FLIR
Operating profit margin,0.181,0.150,0.190,0.174,0.179,FLIR
Pretax profit margin,0.148,0.128,0.173,0.155,0.166,FLIR
Net profit margin,0.111,0.091,0.159,0.060,0.100,FLIR
Effective tax rate,0.254,0.291,0.080,0.616,0.396,FLIR
Return on assets,0.065,0.055,0.102,0.038,0.064,FLIR
Return on equity,0.113,0.092,0.150,0.058,0.099,FLIR
Return on capital employed,0.124,0.104,0.137,0.130,0.132,FLIR
Net income per EBT,0.746,0.709,0.920,0.384,0.604,FLIR
Ebt per ebit,0.820,0.854,0.911,0.888,0.929,FLIR
Ebit per revenue,0.181,0.150,0.190,0.174,0.179,FLIR
Debt ratio,0.421,0.404,0.325,0.347,0.359,FLIR
Debt equity ratio,0.727,0.677,0.482,0.532,0.561,FLIR
Long term debt to capitalization,0.278,0.257,0.184,0.187,0.230,FLIR
Total debt to capitalization,0.282,0.261,0.184,0.187,0.235,FLIR
Interest coverage,12.765,10.226,20.881,18.696,16.443,FLIR
Cash flow to debt ratio,0.423,0.560,0.887,0.733,0.604,FLIR
Company equity multiplier,1.727,1.677,1.482,1.532,1.561,FLIR
Receivables turnover,5.441,5.922,5.485,5.193,4.722,FLIR
Payables turnover,6.197,6.059,9.167,8.851,7.836,FLIR
Inventory turnover,2.068,2.463,2.486,2.530,2.410,FLIR
Fixed asset turnover,7.186,7.374,7.177,6.820,6.116,FLIR
Asset turnover,0.591,0.601,0.638,0.641,0.634,FLIR
Operating cash flow per share,2.382,2.743,2.715,2.243,2.277,FLIR
Free cash flow per share,1.946,2.411,2.492,1.936,2.015,FLIR
Cash per share,2.271,2.108,3.716,3.776,2.635,FLIR
Payout ratio,0.421,0.534,0.312,0.770,0.396,FLIR
Operating cash flow sales ratio,0.162,0.196,0.211,0.171,0.188,FLIR
Free cash flow operating cash flow ratio,0.817,0.879,0.918,0.863,0.885,FLIR
Cash flow coverage ratios,0.423,0.560,0.887,0.733,0.604,FLIR
Short term coverage ratios,23.184,29.763,0,0,20.819,FLIR
Capital expenditure coverage ratio,-5.466,-8.268,-12.159,-7.320,-8.689,FLIR
Dividend paid and capex coverage ratio,9.643,7.897,6.524,7.612,10.416,FLIR
Dividend payout ratio,0.421,0.534,0.312,0.770,0.396,FLIR
Price book value ratio,3.052,3.757,3.197,3.493,2.957,FLIR
Price to book ratio,3.052,3.757,3.197,3.493,2.957,FLIR
Price to sales ratio,2.988,3.726,3.379,3.559,2.986,FLIR
Price earnings ratio,27.035,40.970,21.246,59.765,29.785,FLIR
Price to free cash flows ratio,22.519,21.593,17.475,24.078,17.960,FLIR
Price to operating cash flows ratio,18.399,18.982,16.037,20.789,15.893,FLIR
Price cash flow ratio,18.399,18.982,16.037,20.789,15.893,FLIR
Price earnings to growth ratio,1.010,-1.077,0.130,-1.657,-1.010,FLIR
Price sales ratio,2.988,3.726,3.379,3.559,2.986,FLIR
Dividend yield,0.016,0.013,0.015,0.013,0.013,FLIR
Enterprise value multiple,15.204,19.870,15.166,17.199,14.560,FLIR
Price fair value,3.052,3.757,3.197,3.493,2.957,FLIR
