,headline,final_score,datetime
0,Fluor Corporation 2023 Q1 - Results - Earnings Call Presentation,90,2023-05-05 04:58:23
1,Fluor Corporation (FLR) Q1 2023 Earnings Call Transcript,90,2023-05-05 04:58:04
2,"After 40 years, Fluor to leave Sugar Land campus for Energy Corridor building",86,2023-05-04 09:15:51
3,Fluor Q1 2023 Earnings Preview,86,2023-05-04 04:47:00
5,16 Biggest Offshore Oil Rig Companies in the U.S.,54,2023-05-02 03:50:11
6,Fluor (FLR) Earnings Expected to Grow: Should You Buy?,86,2023-04-28 07:00:02
7,Fluor Corporation to Hold First Quarter Earnings Conference Call,90,2023-04-24 03:50:00
8,Fluor's (FLR) Econamine FG Plus Technology Selected by FCL,86,2023-04-21 09:26:04
9,Fluor’s Carbon Capture Technology Selected by Federated Co-Operatives Ltd. for Renewable Diesel Facility in Canada,57,2023-04-20 06:21:00
10,Fluor (FLR) to Develop Innovative Laser Fusion Power Plants,86,2023-04-19 07:16:02
11,Fluor's (FLR) JV Wins Hanford Integrated Tank Disposition Deal,86,2023-04-18 08:42:03
12,Fluor Signs MOU with Longview Fusion Energy Systems to Support Innovative Laser Fusion Power Commercialization,57,2023-04-18 05:22:00
13,"Fluor signs MOU with Longview to serve as engineering, construction partner",86,2023-04-18 00:36:00
14,Fluor signs MOU with Longview Fusion Energy Systems  for laser fusion power,86,2023-04-18 00:29:00
15,Fluor Joint Venture Awarded U.S. Department of Energy Hanford Integrated Tank Disposition Contract,57,2023-04-17 13:39:00
16,Fluor`s joint venture awarded contract by U.S. DOE,86,2023-04-16 20:42:00
17,Analysts Offer Insights on Industrial Goods Companies: Beacon Roofing Supply (BECN) and Fluor (FLR),60,2023-04-16 18:31:00
18,"BWX, Fluor in group awarded DOE contract worth up to $45B",86,2023-04-13 04:47:00
19,Fluor: Elevated Activity Points To A Rising Share Price,86,2023-04-13 02:56:21
20,Bullish Two Hundred Day Moving Average Cross - FLR,60,2023-04-12 03:16:00
21,Wellington Management Group Llp Now Owns 10.40% of Fluor (FLR),86,2023-04-10 06:30:41
22,A Look At The Intrinsic Value Of Fluor Corporation (NYSE:FLR),90,2023-03-30 03:20:29
25,"FleetCor potential asset sales a positive, analysts say",54,2023-03-19 18:03:00
26,First Week of FLR May 19th Options Trading,60,2023-03-17 02:41:00
27,First Week of FLR October 20th Options Trading,60,2023-03-16 02:34:00
28,"Fluor (FLR) Divests AMECO South America Business, Stock Down",86,2023-03-15 11:50:06
29,Fluor Larger Than S&P 500 Component Lincoln National,86,2023-03-14 20:42:00
30,Fluor Sells AMECO South America to STRACON Group,86,2023-03-14 13:03:00
31,Fluor sells AMECO South American to STRACON,86,2023-03-13 20:19:00
32,Vanguard Group Now Owns 10.01% of Fluor (FLR),86,2023-03-10 13:44:19
33,Fluor: Chart Of The Week,86,2023-03-07 22:30:00
