,ttm,2022-12-31,2021-12-31,2020-12-31,2019-12-31,ticker
Net income(figures in $M),188.689,188.689,125.949,116.326,253.668,FLS
Depreciation & amortisation(figures in $M),90.953,90.953,99.822,100.753,104.481,FLS
Stock-based compensation(figures in $M),25.53,25.53,29.478,27.252,23.882,FLS
Change in working capital(figures in $M),-326.75,-326.75,-91.311,34.7,-66.178,FLS
Accounts receivable(figures in $M),-152.011,-152.011,-8.675,45.648,2.883,FLS
Inventory(figures in $M),-147.492,-147.492,-32.124,15.306,-31.058,FLS
Accounts payable(figures in $M),78.968,78.968,-19.505,-22.571,14.39,FLS
Other working capital(figures in $M),-116.297,-116.297,195.183,253.132,246.571,FLS
Net cash provided by operating activities(figures in $M),-40.01,-40.01,250.119,310.537,312.741,FLS
"Investments in property, plant and equipment(figures in $M)",-76.287,-76.287,-54.936,-57.405,-66.17,FLS
"Acquisitions, net(figures in $M)",-0.225,-0.225,0.0,0.0,0.0,FLS
Sales/maturities of investments(figures in $M),66.004,66.004,0.0,0.0,0.0,FLS
Other investing activities(figures in $M),4.422,4.422,2.663,15.705,42.333,FLS
Net cash used for investing activities(figures in $M),-6.086,-6.086,-59.477,-41.7,-23.837,FLS
Debt repayment(figures in $M),-77.5,-77.5,-1251.048,-191.258,-180.0,FLS
Common stock repurchased(figures in $M),0.0,0.0,-17.531,-32.112,-15.0,FLS
Dividends paid(figures in $M),-104.549,-104.549,-104.604,-104.159,-99.557,FLS
Other financing activities(figures in $M),-12.963,-12.963,-24.804,-23.164,-10.097,FLS
Net cash used provided by (used for) financing activities(figures in $M),-150.012,-150.012,-599.707,147.587,-229.654,FLS
Net change in cash(figures in $M),-223.481,-223.481,-436.822,424.294,51.297,FLS
Cash at beginning of period(figures in $M),658.452,658.452,1095.274,670.98,619.683,FLS
Cash at end of period(figures in $M),434.971,434.971,658.452,1095.274,670.98,FLS
Operating cash flow(figures in $M),-40.01,-40.01,250.119,310.537,312.741,FLS
Capital expenditure(figures in $M),-76.287,-76.287,-54.936,-57.405,-66.17,FLS
Free cash flow(figures in $M),-116.297,-116.297,195.183,253.132,246.571,FLS
