,2022,2021,2020,2019,2018,ticker
Current ratio,1.972,2.111,2.544,2.251,2.205,FLS
Quick ratio,1.236,1.408,1.863,1.563,1.518,FLS
Cash ratio,0.350,0.582,0.959,0.603,0.573,FLS
Days of sales outstanding,111.272,96.357,100.958,98.859,97.235,FLS
Days of inventory outstanding,111.861,99.374,93.261,91.039,87.477,FLS
Operating cycle,223.133,195.731,194.219,189.898,184.713,FLS
Days of payables outstanding,66.396,60.077,61.528,61.660,57.809,FLS
Cash conversion cycle,156.737,135.654,132.691,128.238,126.903,FLS
Gross profit margin,0.275,0.296,0.300,0.328,0.310,FLS
Operating profit margin,0.055,0.076,0.067,0.103,0.065,FLS
Pretax profit margin,0.043,0.038,0.050,0.087,0.046,FLS
Net profit margin,0.052,0.036,0.031,0.064,0.031,FLS
Effective tax rate,-0.283,-0.019,0.321,0.234,0.291,FLS
Return on assets,0.039,0.027,0.022,0.052,0.026,FLS
Return on equity,0.103,0.070,0.067,0.142,0.073,FLS
Return on capital employed,0.056,0.075,0.060,0.107,0.070,FLS
Net income per EBT,1.222,0.943,0.623,0.742,0.679,FLS
Ebt per ebit,0.783,0.493,0.746,0.842,0.712,FLS
Ebit per revenue,0.055,0.076,0.067,0.103,0.065,FLS
Debt ratio,0.612,0.613,0.668,0.631,0.640,FLS
Debt equity ratio,0.801,0.833,1.119,0.874,0.903,FLS
Long term debt to capitalization,0.430,0.442,0.522,0.459,0.463,FLS
Total debt to capitalization,0.445,0.454,0.528,0.466,0.475,FLS
Interest coverage,4.264,4.699,4.361,7.385,4.256,FLS
Cash flow to debt ratio,-0.027,0.166,0.160,0.200,0.129,FLS
Company equity multiplier,2.625,2.632,3.068,2.748,2.811,FLS
Receivables turnover,3.280,3.788,3.615,3.692,3.754,FLS
Payables turnover,5.497,6.076,5.932,5.920,6.314,FLS
Inventory turnover,3.263,3.673,3.914,4.009,4.173,FLS
Fixed asset turnover,5.348,4.989,4.873,5.202,6.282,FLS
Asset turnover,0.755,0.746,0.701,0.802,0.830,FLS
Operating cash flow per share,-0.306,1.919,2.382,2.387,1.459,FLS
Free cash flow per share,-0.890,1.498,1.941,1.882,0.817,FLS
Cash per share,3.330,5.053,8.400,5.121,4.737,FLS
Payout ratio,0.554,0.831,0.895,0.392,0.831,FLS
Operating cash flow sales ratio,-0.011,0.071,0.083,0.079,0.050,FLS
Free cash flow operating cash flow ratio,2.907,0.780,0.815,0.788,0.560,FLS
Cash flow coverage ratios,-0.027,0.166,0.160,0.200,0.129,FLS
Short term coverage ratios,-0.489,3.394,7.060,6.601,2.797,FLS
Capital expenditure coverage ratio,0.524,-4.553,-5.410,-4.726,-2.272,FLS
Dividend paid and capex coverage ratio,-1.416,5.036,6.642,9.367,12.373,FLS
Dividend payout ratio,0.554,0.831,0.895,0.392,0.831,FLS
Price book value ratio,2.196,2.210,2.774,3.643,3.029,FLS
Price to book ratio,2.196,2.210,2.774,3.643,3.029,FLS
Price to sales ratio,1.109,1.126,1.289,1.653,1.298,FLS
Price earnings ratio,21.240,31.658,41.307,25.709,41.563,FLS
Price to free cash flows ratio,-34.461,20.429,18.982,26.449,46.555,FLS
Price to operating cash flows ratio,-100.168,15.942,15.473,20.853,26.064,FLS
Price cash flow ratio,-100.168,15.942,15.473,20.853,26.064,FLS
Price earnings to growth ratio,0.429,3.522,-0.763,0.227,0.009,FLS
Price sales ratio,1.109,1.126,1.289,1.653,1.298,FLS
Dividend yield,0.026,0.026,0.022,0.015,0.020,FLS
Enterprise value multiple,17.265,14.404,16.373,14.792,17.092,FLS
Price fair value,2.196,2.210,2.774,3.643,3.029,FLS
