,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),FMC,572.0,516.8,568.9,339.1
Total cash(figures in $M),FMC,572.0,516.8,568.9,339.1
Net receivables(figures in $M),FMC,2871.4,2583.7,2330.3,2231.2
Inventory(figures in $M),FMC,1651.6,1405.7,1095.6,1017.0
Other current assets(figures in $M),FMC,343.6,41.6,32.2,53.0
Total current assets(figures in $M),FMC,5438.6,4937.6,4375.6,4074.8
"Gross property, plant and equipment(figures in $M)",FMC,1539.3,1464.7,1338.8,1273.9
Accumulated depreciation(figures in $M),FMC,-565.9,-512.5,-419.8,-351.2
"Net property, plant and equipment(figures in $M)",FMC,849.6,817.0,771.7,758.0
Equity and other investments(figures in $M),FMC,14.5,9.2,3.1,0.7
Goodwill(figures in $M),FMC,1589.3,1463.3,1468.9,1467.5
Intangible assets(figures in $M),FMC,2508.1,2521.9,2625.2,2629.0
Other long-term assets(figures in $M),FMC,575.0,623.0,715.4,686.0
Total non-current assets(figures in $M),FMC,5732.7,5643.7,5810.8,5797.9
Total assets(figures in $M),FMC,11171.3,10581.3,10186.4,9872.7
Current debt(figures in $M),FMC,540.8,440.8,338.3,227.7
Accounts payable(figures in $M),FMC,1252.2,1135.0,946.7,900.1
Taxes payable(figures in $M),FMC,114.7,65.4,82.2,62.2
Accrued liabilities(figures in $M),FMC,1067.1,1037.9,969.9,961.2
Deferred revenues(figures in $M),FMC,680.5,630.7,347.1,492.7
Other current liabilities(figures in $M),FMC,142.0,206.2,140.6,75.7
Total current liabilities(figures in $M),FMC,3799.6,3520.3,2829.0,2723.9
Long-term debt(figures in $M),FMC,2733.2,2731.7,2929.5,3031.1
Deferred tax liabilities(figures in $M),FMC,321.5,342.4,350.0,333.2
Deferred revenues(figures in $M),FMC,10.1,10.3,89.4,206.0
Other long-term liabilities(figures in $M),FMC,1237.6,1277.4,1443.7,1556.3
Total non-current liabilities(figures in $M),FMC,3970.8,4009.1,4373.2,4587.4
Total liabilities(figures in $M),FMC,7770.4,7529.4,7202.2,7311.3
Common stock(figures in $M),FMC,18.6,18.6,18.6,18.6
Retained earnings(figures in $M),FMC,5555.9,4991.3,4506.4,4188.8
Accumulated other comprehensive income(figures in $M),FMC,-459.6,-315.7,-282.2,-412.0
Total stockholders' equity(figures in $M),FMC,3400.9,3051.9,2984.2,2561.4
Total liabilities and stockholders' equity(figures in $M),FMC,11171.3,10581.3,10186.4,9872.7
