,headline,final_score,datetime
0,RBC Capital Maintains FMC (FMC) Outperform Recommendation,86,2023-05-04 15:20:22
1,FMC Corp. stock outperforms competitors despite losses on the day,60,2023-05-04 09:56:00
2,FMC Corporation price target lowered to $136 from $140 at RBC Capital,60,2023-05-04 01:48:00
3,FMC Corp. stock underperforms Wednesday when compared to competitors,60,2023-05-03 09:56:00
4,Mizuho Maintains FMC (FMC) Buy Recommendation,86,2023-05-03 08:27:49
5,Wells Fargo Maintains FMC (FMC) Overweight Recommendation,86,2023-05-03 08:27:47
6,FMC Corporation price target lowered to $142 from $148 at Wells Fargo,60,2023-05-03 01:24:00
7,BMO Capital Reaffirms Their Buy Rating on FMC (FMC),86,2023-05-02 23:15:00
8,FMC Corporation price target lowered to $147 from $150 at Mizuho,90,2023-05-02 22:55:00
9,Q1 2023 FMC Corp Earnings Call,90,2023-05-02 21:32:03
10,"FMC Corp. stock falls Tuesday, underperforms market",90,2023-05-02 09:55:00
11,FMC Corp (FMC) Q1 2023 Earnings Call Transcript,90,2023-05-02 05:53:12
12,Mizuho Securities Sticks to Their Buy Rating for FMC (FMC),86,2023-05-02 04:35:00
13,"FMC Corp's (FMC) Earnings Top Estimates in Q1, Sales Lag",90,2023-05-02 03:48:10
14,FMC Makes Notable Cross Below Critical Moving Average,86,2023-05-02 03:05:00
15,FMC Corporation delivers solid first quarter results and raises full-year adjusted EBITDA and adjusted EPS guidance,60,2023-05-01 13:35:00
16,FMC: Q1 Earnings Snapshot,86,2023-05-01 10:02:00
17,FMC Corp. stock outperforms market on strong trading day,90,2023-05-01 09:55:00
19,FMC (NYSE:FMC) Is Increasing Its Dividend To $0.58,86,2023-05-01 03:12:10
21,"FMC Non-GAAP EPS of $1.77 beats by $0.03, revenue of $1.34B misses by $90M",60,2023-04-30 20:47:00
22,"FMC Corporation sees Q2 adjusted EPS $1.66-$1.86, consensus $1.92",60,2023-04-30 20:39:00
23,FMC Corporation narrows FY23 adjusted EPS view to $7.34-$7.94 from $7.20-$8.00,60,2023-04-30 20:37:00
24,"FMC Corporation reports Q1 adjusted EPS $1.77, consensus $1.75",90,2023-04-30 20:36:00
25,FMC (FMC) Declares $0.58 Dividend,86,2023-04-30 17:55:03
27,FMC Corp. stock outperforms competitors on strong trading day,90,2023-04-28 09:55:00
28,FMC Q1 2023 Earnings Preview,86,2023-04-27 21:38:00
29,FMC Corporation Declares Quarterly Dividend,90,2023-04-27 13:31:00
31,FMC declares $0.58 dividend,86,2023-04-26 20:43:00
33,"FMC Corp. stock falls Tuesday, still outperforms market",90,2023-04-25 09:55:00
34,FMC Corp (FMC) to Report Q1 Earnings: What's in Store?,90,2023-04-24 06:10:01
36,"FMC Corp. stock rises Friday, still underperforms market",90,2023-04-21 09:55:00
37,FMC Corporation price target raised to $150 from $147 at Mizuho,90,2023-04-20 22:45:00
38,"FMC Corp. stock falls Thursday, still outperforms market",90,2023-04-20 09:55:00
39,Will FMC (FMC) Beat Estimates Again in Its Next Earnings Report?,86,2023-04-20 09:10:04
40,"FMC Corp. stock falls Wednesday, underperforms market",90,2023-04-19 09:55:00
