,headline,final_score,datetime
0,Fossil Group: Decline Toward Zero In Real Time,86,2023-05-04 06:17:26
1,"With 76% ownership of the shares, Fossil Group, Inc. (NASDAQ:FOSL) is heavily dominated by institutional owners",90,2023-05-03 06:37:39
2,"Fossil Group, Inc. Announces Date for First Quarter 2023 Earnings Release and Conference Call",90,2023-04-26 13:15:00
3,Movado Group: An Undervalued Investment Opportunity Amid Market Challenges,86,2023-04-12 13:28:27
4,The past five years for Fossil Group (NASDAQ:FOSL) investors has not been profitable,86,2023-04-06 05:44:11
6,Fossil Group Full Year 2022 Earnings: US$0.85 loss per share (vs US$0.49 profit in FY 2021),86,2023-03-10 02:32:55
7,"Fossil Group, Inc. (NASDAQ:FOSL) Q4 2022 Earnings Call Transcript",90,2023-03-09 23:37:15
8,Q4 2022 Fossil Group Inc Earnings Call,86,2023-03-09 03:39:30
9,"Fossil Group, Inc. (FOSL) Q4 2022 Earnings Call Transcript",90,2023-03-08 15:28:08
10,"Fossil Group, Inc. Reports Fourth Quarter and Full Year 2022 Results",90,2023-03-08 13:15:00
12,Fossil Group: Q4 Earnings Snapshot,86,2023-03-08 08:42:00
13,Fossil Group forecasts continued sales decline into 2023,86,2023-03-07 19:42:00
14,"Fossil Non-GAAP EPS of -$0.14, revenue of $499.1M",86,2023-03-07 19:36:00
