,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),FSLR,1481.269,1450.654,1227.002,1352.741
Other short-term investments(figures in $M),FSLR,1096.712,375.389,520.066,811.506
Total cash(figures in $M),FSLR,2577.981,1826.043,1747.068,2164.247
Net receivables(figures in $M),FSLR,324.337,429.436,265.783,475.039
Inventory(figures in $M),FSLR,621.376,666.299,567.617,497.096
Other current assets(figures in $M),FSLR,237.073,244.192,251.709,279.979
Total current assets(figures in $M),FSLR,3791.421,3191.243,3014.535,3599.834
"Gross property, plant and equipment(figures in $M)",FSLR,3543.144,2866.88,2645.681,2658.126
Accumulated depreciation(figures in $M),FSLR,-1468.123,-1295.891,-1149.792,-1439.109
"Net property, plant and equipment(figures in $M)",FSLR,3543.144,2866.88,2645.681,2658.126
Equity and other investments(figures in $M),FSLR,0.0,0.0,0.0,2.812
Goodwill(figures in $M),FSLR,14.462,14.462,14.462,14.462
Intangible assets(figures in $M),FSLR,31.106,45.509,56.138,64.543
Other long-term assets(figures in $M),FSLR,792.415,1236.49,1274.016,1047.953
Total non-current assets(figures in $M),FSLR,4459.807,4222.503,4094.396,3915.855
Total assets(figures in $M),FSLR,8251.228,7413.746,7108.931,7515.689
Current debt(figures in $M),FSLR,0.0,3.896,41.54,17.51
Accounts payable(figures in $M),FSLR,341.409,193.374,183.349,218.081
Taxes payable(figures in $M),FSLR,29.397,4.543,14.571,17.01
Accrued liabilities(figures in $M),FSLR,382.782,288.45,310.467,714.26
Deferred revenues(figures in $M),FSLR,263.215,201.868,188.813,323.217
Other current liabilities(figures in $M),FSLR,21.245,34.747,108.658,28.13
Total current liabilities(figures in $M),FSLR,1038.048,726.878,847.398,1318.208
Long-term debt(figures in $M),FSLR,184.349,236.005,237.691,454.187
Deferred tax liabilities(figures in $M),FSLR,28.929,27.699,23.671,0.0
Deferred revenues(figures in $M),FSLR,944.725,95.943,44.919,71.438
Other long-term liabilities(figures in $M),FSLR,119.937,352.167,372.226,508.766
Total non-current liabilities(figures in $M),FSLR,1377.125,727.317,740.605,1100.714
Total liabilities(figures in $M),FSLR,2415.173,1454.195,1588.003,2418.922
Common stock(figures in $M),FSLR,0.107,0.106,0.106,0.105
Retained earnings(figures in $M),FSLR,3140.289,3184.455,2715.762,2326.62
Accumulated other comprehensive income(figures in $M),FSLR,-191.817,-96.362,-61.726,-79.334
Total stockholders' equity(figures in $M),FSLR,5836.055,5959.551,5520.928,5096.767
Total liabilities and stockholders' equity(figures in $M),FSLR,8251.228,7413.746,7108.931,7515.689
