,headline,final_score,datetime
0,"Gannett Co, Inc. (GCI) Q1 2023 Earnings Call Transcript",86,2023-05-04 08:19:09
1,Gannett Announces First Quarter 2023 Results and Raises Full Year Outlook,86,2023-05-04 04:00:00
2,"Gannett GAAP EPS of $0.07 beats by $0.24, revenue of $668.92M misses by $12.38M",86,2023-05-03 23:57:00
3,Gannett Q1 2023 Earnings Preview,86,2023-05-03 04:16:00
5,Unusual Call Option Trade in Gannett (GCI)  Worth $7.50K,86,2023-04-26 14:11:00
8,Here’s Why Gannett Co (GCI) Declined in Q1,86,2023-04-21 04:10:26
10,Gannett Schedules First Quarter 2023 Results,86,2023-04-20 04:30:00
11,"Gannett Is Misunderstood, Grossly Undervalued, And Back On Track",86,2023-04-10 06:15:16
18,Kristin Roberts Joins Gannett as Chief Content Officer,86,2023-03-06 06:01:00
19,Gannett names Roberts new chief content officer,86,2023-03-06 00:14:00
20,Gannett appoints Kristin Roberts as CCO,86,2023-03-06 00:09:00
