,headline,final_score,datetime
1,General Dynamics Corp. stock outperforms market despite losses on the day,90,2023-05-04 09:56:00
2,General Dynamics price target lowered to $245 from $251 at Bernstein,86,2023-05-03 23:49:00
4,General Dynamics Corporation (NYSE:GD) Q1 2023 Earnings Call Transcript,90,2023-05-03 10:06:17
5,"General Dynamics Corp. stock falls Wednesday, underperforms market",90,2023-05-03 09:56:00
6,Are General Dynamics Corporation's (NYSE:GD) Fundamentals Good Enough to Warrant Buying Given The Stock's Recent Weakness?,90,2023-05-03 04:00:16
7,General Dynamics Corp. stock underperforms Tuesday when compared to competitors,90,2023-05-02 09:56:00
8,General Dynamics Corp. stock underperforms Monday when compared to competitors,90,2023-05-01 09:56:00
9,1 Number That Should Worry General Dynamics Shareholders,86,2023-04-30 05:50:00
10,General Dynamics' (NYSE:GD) Returns On Capital Not Reflecting Well On The Business,86,2023-04-29 07:00:14
11,General Dynamics Corp. stock outperforms market on strong trading day,90,2023-04-28 09:56:00
12,Bernstein Maintains General Dynamics (GD) Market Perform Recommendation,86,2023-04-27 20:01:30
13,Credit Suisse Maintains General Dynamics (GD) Neutral Recommendation,86,2023-04-27 20:01:28
14,RBC Capital Maintains General Dynamics (GD) Outperform Recommendation,86,2023-04-27 20:01:26
15,Baird Maintains General Dynamics (GD) Outperform Recommendation,86,2023-04-27 20:01:26
16,Wells Fargo Maintains General Dynamics (GD) Overweight Recommendation,86,2023-04-27 20:01:26
17,General Dynamics price target lowered to $270 from $280 at RBC Capital,86,2023-04-27 01:36:00
18,General Dynamics price target lowered to $251 from $265 at Wells Fargo,86,2023-04-27 01:19:00
19,General Dynamics price target lowered to $242 from $268 at Baird,86,2023-04-26 23:02:00
20,General Dynamics (GD): New Buy Recommendation for This Technology Giant,86,2023-04-26 22:57:00
21,General Dynamics price target lowered to $220 from $239 at Credit Suisse,86,2023-04-26 22:52:00
22,Q1 2023 General Dynamics Corp Earnings Call,90,2023-04-26 21:45:41
23,"New Buy Rating for General Dynamics (GD), the Technology Giant",86,2023-04-26 21:45:00
24,General Dynamics (GD) Gets a Hold from Morgan Stanley,86,2023-04-26 21:16:00
26,"General Dynamics (GD) Q1 Earnings Beat, Revenues Rise Y/Y",86,2023-04-26 10:18:05
27,General Dynamics Corp. stock underperforms Wednesday when compared to competitors,90,2023-04-26 09:56:00
28,"General Dynamics Q1 Results Exceed Street Expectations, Records 5% Revenue Growth",86,2023-04-26 09:00:44
29,General Dynamics revenue rises on strong demand for weapons,86,2023-04-26 07:19:10
30,General Dynamics (GD) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,86,2023-04-26 06:30:01
31,General Dynamics Corp (GD) Q1 2023 Earnings Call Transcript,90,2023-04-26 06:12:21
33,General Dynamics (GD) Q1 Earnings and Revenues Top Estimates,86,2023-04-26 05:15:12
34,"General Dynamics slumps to 9-month low as profit, aerospace revenue stalls",86,2023-04-26 04:52:00
35,UPDATE 3-General Dynamics revenue rises on strong demand for weapons,86,2023-04-26 04:23:39
36,General Dynamics Reports First-Quarter 2023 Financial Results,86,2023-04-26 04:00:00
37,General Dynamics Corporation 2023 Q1 - Results - Earnings Call Presentation,90,2023-04-26 03:58:25
38,General Dynamics expects G700 deliveries to begin in Q3,86,2023-04-26 01:46:00
39,General Dynamics says `off to very good start` from cash perspective,86,2023-04-26 01:17:00
42,General Dynamics: Q1 Earnings Snapshot,86,2023-04-26 00:04:00
43,General Dynamics Becomes Oversold,86,2023-04-25 23:15:00
44,General Dynamics reports Q1 cash from operations $1.5B,86,2023-04-25 23:09:00
45,"General Dynamics GAAP EPS of $2.64 beats by $0.06, revenue of $9.9B beats by $600M",86,2023-04-25 23:06:00
46,General Dynamics reports company-wide backlog of $89.8B,86,2023-04-25 23:02:00
47,"General Dynamics reports Q1 EPS $2.64, consensus $2.59",86,2023-04-25 23:01:00
48,Goldman Sachs Remains a Hold on General Dynamics (GD),86,2023-04-25 22:05:00
49,"General Dynamics Corp. stock falls Tuesday, still outperforms market",90,2023-04-25 09:56:00
50,"Aerospace & Defense Stocks Q1 Earnings Due Apr 26: BA, GD & TDY",57,2023-04-25 06:59:01
53,General Dynamics awarded $133.17M contract by U.S. Army,86,2023-04-24 21:17:00
54,"Aerospace unit performance, combat systems sales in focus for General Dynamics Q1 earnings",86,2023-04-24 19:29:00
56,General Dynamics awarded $847.26M Navy contract,86,2023-04-24 05:16:00
57,An Intrinsic Calculation For General Dynamics Corporation (NYSE:GD) Suggests It's 27% Undervalued,90,2023-04-24 04:00:35
58,Video: S&P 500 Analyst Moves: GD,60,2023-04-24 03:49:00
59,General Dynamics Takes Over #68 Spot From Berkley,86,2023-04-24 03:48:00
60,"Zacks Industry Outlook Highlights Lockheed Martin, Northrop Grumman and General Dynamics",86,2023-04-24 03:30:10
62,General Dynamics: A Defensive Name With Strong Demand,86,2023-04-24 00:45:00
63,"Analysts` Top Technology Picks: AT&T (T), General Dynamics (GD)",86,2023-04-22 01:21:00
64,General Dynamics (GD) Stock Sinks As Market Gains: What You Should Know,86,2023-04-21 15:00:10
67,"General Dynamics Corp. stock falls Friday, underperforms market",90,2023-04-20 20:57:00
70,A General Dynamics Corporation (NYSE:GD) insider lowered their holding by 8.0% earlier this year,90,2023-04-20 06:00:11
71,Will Segment Sales Hurt General Dynamics' (GD) Q1 Earnings?,86,2023-04-20 05:32:12
72,GD June 16th Options Begin Trading,60,2023-04-20 02:59:00
73,Earnings Preview: General Dynamics (GD) Q1 Earnings Expected to Decline,86,2023-04-19 07:01:02
76,"General Dynamics Corp. stock rises Tuesday, outperforms market",90,2023-04-17 20:57:00
77,General Dynamics (GD) Outpaces Stock Market Gains: What You Should Know,86,2023-04-17 15:15:10
79,"General Dynamics Corp. stock rises Monday, outperforms market",90,2023-04-16 20:57:00
80,"General Dynamics Now #121 Largest Company, Surpassing Colgate-Palmolive",86,2023-04-16 20:42:00
81,General Dynamics Corp. stock underperforms Friday when compared to competitors,90,2023-04-13 20:57:00
82,"General Dynamics Corp. stock rises Thursday, still underperforms market",90,2023-04-13 09:56:00
83,Investors in General Dynamics (NYSE:GD) have made a favorable return of 85% over the past three years,86,2023-04-13 07:00:28
84,June 2nd Options Now Available For General Dynamics Corp (GD),90,2023-04-13 03:34:00
85,General Dynamics to compete for orders on $344.22M Army contract,86,2023-04-12 21:25:00
86,General Dynamics to compete for $344.2M economic price adjustment contract by U.S. Army,86,2023-04-12 21:15:00
87,"General Dynamics Corp. stock rises Wednesday, outperforms market",90,2023-04-12 09:56:00
89,General Dynamics (GD) Stock Moves -0.34%: What You Should Know,86,2023-04-11 15:15:10
90,Huntington Ingalls Bags $567M Contract Modification From General Dynamics For Columbia-Class Submarines,86,2023-04-11 13:02:00
92,HII awarded $567.6M subcontract modification from General Dynamics Electric Boat,86,2023-04-11 05:02:00
96,Here's Why General Dynamics (NYSE:GD) Can Manage Its Debt Responsibly,86,2023-04-09 04:00:39
98,General Dynamics: Rise In Global Military Spending Could Drive Outperformance,86,2023-04-06 21:56:44
99,"General Dynamics Corp. stock falls Thursday, underperforms market",90,2023-04-06 09:56:00
