,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),GILD,5412.0,5338.0,5997.0,11631.0
Other short-term investments(figures in $M),GILD,973.0,1182.0,1411.0,12721.0
Total cash(figures in $M),GILD,7630.0,7829.0,7910.0,25840.0
Net receivables(figures in $M),GILD,4777.0,4493.0,4892.0,3582.0
Inventory(figures in $M),GILD,2820.0,2734.0,3014.0,2067.0
Other current assets(figures in $M),GILD,1774.0,0.0,0.0,0.0
Total current assets(figures in $M),GILD,15227.0,15056.0,15816.0,31489.0
"Gross property, plant and equipment(figures in $M)",GILD,7661.0,7014.0,6635.0,5924.0
Accumulated depreciation(figures in $M),GILD,-2186.0,-1893.0,-1668.0,-1422.0
"Net property, plant and equipment(figures in $M)",GILD,5475.0,5121.0,4967.0,4502.0
Equity and other investments(figures in $M),GILD,1245.0,1309.0,502.0,1488.0
Goodwill(figures in $M),GILD,8314.0,8332.0,8108.0,4117.0
Intangible assets(figures in $M),GILD,28894.0,33455.0,33126.0,13786.0
Other long-term assets(figures in $M),GILD,5261.0,5988.0,6390.0,7733.0
Total non-current assets(figures in $M),GILD,47944.0,52896.0,52591.0,30138.0
Total assets(figures in $M),GILD,63171.0,67952.0,68407.0,61627.0
Current debt(figures in $M),GILD,2273.0,1516.0,2757.0,2499.0
Accounts payable(figures in $M),GILD,905.0,705.0,844.0,713.0
Taxes payable(figures in $M),GILD,959.0,539.0,598.0,287.0
Accrued liabilities(figures in $M),GILD,5661.0,7424.0,5747.0,5661.0
Total current liabilities(figures in $M),GILD,11237.0,11610.0,11397.0,9759.0
Long-term debt(figures in $M),GILD,22957.0,25179.0,28645.0,22094.0
Deferred tax liabilities(figures in $M),GILD,2673.0,4356.0,0.0,0.0
Other long-term liabilities(figures in $M),GILD,1178.0,976.0,38789.0,29218.0
Total non-current liabilities(figures in $M),GILD,30725.0,35278.0,38789.0,29218.0
Total liabilities(figures in $M),GILD,41962.0,46888.0,50186.0,38977.0
Common stock(figures in $M),GILD,1.0,1.0,1.0,1.0
Retained earnings(figures in $M),GILD,15687.0,16324.0,14381.0,19388.0
Accumulated other comprehensive income(figures in $M),GILD,2.0,83.0,-60.0,85.0
Total stockholders' equity(figures in $M),GILD,21209.0,21064.0,18221.0,22650.0
Total liabilities and stockholders' equity(figures in $M),GILD,63171.0,67952.0,68407.0,61627.0
