,ticker,2023,2024,2025,2026,2027
Revenue(In $M),GILD,"26,747","27,282","27,992","28,672","29,867"
Dividend,GILD,3.04,3.15,-,3.48,3.43
Dividend Yield (in %),GILD,4.15 %,4.51 %,4.15 %,4.49 %,4.57 %
EPS,GILD,6.81,7.21,7.45,7.62,8.29
P/E Ratio,GILD,11.88,11.22,10.86,10.62,9.76
EBIT(In $M),GILD,"11,334","11,928","12,219","12,393","13,234"
EBITDA(In $M),GILD,"12,575","13,273","13,497","12,033","16,101"
Net Profit(In $M),GILD,"8,578","8,935","9,235","9,327","10,056"
Net Profit Adjusted(In $M),GILD,"8,578","8,994","9,248","9,361","10,127"
Pre-Tax Profit(In $M),GILD,"10,532","11,106","11,431","11,634","12,529"
Net Profit (Adjusted)(In $M),GILD,"8,909","9,129","9,646","9,064","11,166"
EPS (Non-GAAP) ex. SOE(In $),GILD,7.01,7.42,7.82,7.83,8.34
EPS (GAAP)(In $),GILD,4.96,5.47,5.70,5.94,6.63
Gross Income(In $M),GILD,"21,681","22,259","23,168","23,962","25,625"
Cash Flow from Investing(In $M),GILD,-899,-816,-884,"-1,009","-1,031"
Cash Flow from Operations(In $M),GILD,"9,376","9,568","9,885","10,278","10,918"
Cash Flow from Financing(In $M),GILD,"-5,963","-3,995","-5,308","-6,104","-6,015"
Cash Flow per Share(In $),GILD,7.42,7.88,8.99,-,-
Free Cash Flow(In $M),GILD,"9,092","9,537","9,563","8,343","11,677"
Free Cash Flow per Share(In $),GILD,-,-,-,-,-
Book Value per Share(In $),GILD,19.28,21.72,24.30,22.24,-
Net Debt(In $M),GILD,"13,811","8,734","3,509","4,119",-
Research & Development Exp.(In $M),GILD,"5,593","5,684","5,882","6,026","6,190"
Capital Expenditure(In $M),GILD,677,678,685,688,696
"Selling, General & Admin. Exp.(In $M)",GILD,"5,462","5,520","5,643","5,792","5,867"
Shareholder’s Equity(In $M),GILD,"25,307","29,147","33,750","35,707","40,044"
Total Assets(In $M),GILD,"66,835","71,085","76,457","75,002","78,517"
