,ticker,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Cash and cash equivalents(figures in $M),GME,1139.0,1271.4,508.5,499.4
Other short-term investments(figures in $M),GME,251.6,0.0,0.0,0.0
Total cash(figures in $M),GME,1390.6,1271.4,508.5,499.4
Net receivables(figures in $M),GME,153.9,141.1,105.3,141.9
Inventory(figures in $M),GME,682.9,915.0,602.5,859.7
Other current assets(figures in $M),GME,96.3,238.2,224.9,120.9
Total current assets(figures in $M),GME,2323.7,2598.8,1551.2,1633.7
"Gross property, plant and equipment(figures in $M)",GME,697.3,750.2,863.3,1042.9
Accumulated depreciation(figures in $M),GME,-1006.8,-1029.8,-1117.7,-1190.1
"Net property, plant and equipment(figures in $M)",GME,697.3,750.2,863.3,1042.9
Goodwill(figures in $M),GME,0.0,0.0,0.0,0.0
Intangible assets(figures in $M),GME,0.0,12.1,18.5,22.8
Other long-term assets(figures in $M),GME,74.1,134.0,58.1,143.1
Total non-current assets(figures in $M),GME,789.7,900.5,921.4,1186.0
Total assets(figures in $M),GME,3113.4,3499.3,2472.6,2819.7
Current debt(figures in $M),GME,10.8,4.1,146.7,0.0
Accounts payable(figures in $M),GME,531.3,471.0,341.8,380.8
Accrued liabilities(figures in $M),GME,602.3,668.9,626.8,617.5
Deferred revenues(figures in $M),GME,404.1,389.8,371.6,349.9
Total current liabilities(figures in $M),GME,1339.1,1354.7,1342.7,1237.7
Long-term debt(figures in $M),GME,28.7,40.5,216.0,419.8
Other long-term liabilities(figures in $M),GME,40.9,107.9,20.5,21.4
Total non-current liabilities(figures in $M),GME,452.0,542.1,693.2,970.5
Total liabilities(figures in $M),GME,1791.1,1896.8,2035.9,2208.2
Common stock(figures in $M),GME,0.1,0.1,0.1,0.1
Retained earnings(figures in $M),GME,-219.5,93.6,474.9,690.2
Accumulated other comprehensive income(figures in $M),GME,-71.9,-68.7,-49.3,-78.8
Total stockholders' equity(figures in $M),GME,1322.3,1602.5,436.7,611.5
Total liabilities and stockholders' equity(figures in $M),GME,3113.4,3499.3,2472.6,2819.7
