,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),GPC,653.463,714.701,990.166,276.992
Total cash(figures in $M),GPC,653.463,714.701,990.166,276.992
Net receivables(figures in $M),GPC,2188.868,1797.955,1556.966,2440.252
Inventory(figures in $M),GPC,4441.649,3889.919,3506.271,3443.876
Other current assets(figures in $M),GPC,1532.759,1353.847,1060.36,1063.245
Total current assets(figures in $M),GPC,8816.739,7756.422,7113.763,7938.616
"Gross property, plant and equipment(figures in $M)",GPC,3866.369,3627.794,3599.015,3370.043
Accumulated depreciation(figures in $M),GPC,-1435.677,-1339.706,-1398.095,-1200.688
"Net property, plant and equipment(figures in $M)",GPC,2430.692,2288.088,2200.92,2169.355
Goodwill(figures in $M),GPC,2588.113,1915.307,1917.477,2293.519
Intangible assets(figures in $M),GPC,1812.51,1406.401,1498.257,1492.097
Other long-term assets(figures in $M),GPC,847.325,985.055,644.14,706.121
Total non-current assets(figures in $M),GPC,7678.64,6595.68,6326.452,6707.013
Total assets(figures in $M),GPC,16495.379,14352.102,13440.215,14645.629
Current debt(figures in $M),GPC,252.029,0.0,160.531,624.043
Accounts payable(figures in $M),GPC,5456.55,4804.939,4128.084,3948.0
Other current liabilities(figures in $M),GPC,1851.34,1660.768,1491.426,1711.226
Total current liabilities(figures in $M),GPC,7686.11,6581.583,5894.084,6394.12
Long-term debt(figures in $M),GPC,3076.794,2409.363,2516.614,2802.056
Deferred tax liabilities(figures in $M),GPC,391.163,280.778,212.91,233.044
Other long-term liabilities(figures in $M),GPC,502.967,522.779,543.623,445.652
Total non-current liabilities(figures in $M),GPC,5004.822,4267.229,4328.128,4556.009
Total liabilities(figures in $M),GPC,12690.932,10848.812,10222.212,10950.129
Common stock(figures in $M),GPC,140.941,142.181,144.354,145.378
Retained earnings(figures in $M),GPC,4541.64,4086.325,3979.779,4571.86
Accumulated other comprehensive income(figures in $M),GPC,-1032.542,-857.739,-1036.502,-1141.308
Total stockholders' equity(figures in $M),GPC,3790.363,3490.742,3204.796,3674.707
Total liabilities and stockholders' equity(figures in $M),GPC,16495.379,14352.102,13440.215,14645.629
