,ticker,sentiment
2023-04-18 04:28:59,GS,0.4404
2023-04-18 06:56:01,GS,-0.34
2023-04-18 07:55:52,GS,-0.0516
2023-04-18 08:03:28,GS,0.5106
2023-04-18 09:03:00,GS,0.5267
2023-04-18 09:06:00,GS,-0.1027
2023-04-18 09:07:04,GS,-0.296
2023-04-18 09:15:00,GS,-0.1531
2023-04-18 09:21:00,GS,-0.4019
2023-04-18 09:32:02,GS,-0.6597
2023-04-18 09:35:10,GS,0.4404
2023-04-18 09:44:55,GS,0.2732
2023-04-18 10:04:00,GS,-0.2263
2023-04-18 10:35:06,GS,0.2723
2023-04-18 10:54:56,GS,-0.1531
2023-04-18 12:24:37,GS,0.5106
2023-04-18 12:35:21,GS,-0.128
2023-04-18 13:12:02,GS,-0.2732
2023-04-18 15:40:47,GS,0.4939
2023-04-18 16:00:34,GS,0.296
2023-04-18 21:15:00,GS,-0.4522
2023-04-18 21:41:00,GS,-0.128
2023-04-18 21:55:00,GS,0.296
2023-04-18 23:42:00,GS,0.4404
2023-04-19 00:31:00,GS,0.7184
2023-04-19 01:22:00,GS,-0.128
2023-04-19 05:40:59,GS,0.0085
2023-04-19 05:52:51,GS,-0.0516
2023-04-19 06:08:00,GS,-0.3612
2023-04-19 06:08:00,GS,-0.3612
2023-04-19 09:20:00,GS,-0.4215
2023-04-19 10:41:00,GS,0.7579
2023-04-19 11:17:00,GS,-0.4767
2023-04-19 12:16:12,GS,0.6705
2023-04-20 00:30:00,GS,-0.3612
2023-04-20 05:52:34,GS,-0.4019
2023-04-20 08:45:00,GS,0.0772
2023-04-20 09:58:00,GS,0.5106
2023-04-20 12:59:27,GS,-0.7906
2023-04-20 19:41:27,GS,0.2023
2023-04-20 20:50:00,GS,-0.5849
2023-04-20 21:00:50,GS,-0.4168
2023-04-21 04:00:28,GS,0.5267
2023-04-21 04:57:00,GS,0.4215
2023-04-21 05:38:00,GS,-0.128
2023-04-21 07:34:00,GS,0.0351
2023-04-21 09:17:00,GS,-0.3818
2023-04-21 09:49:00,GS,-0.5849
2023-04-23 18:50:00,GS,0.2023
2023-04-23 19:48:00,GS,-0.128
2023-04-23 20:55:00,GS,-0.296
2023-04-24 09:41:56,GS,0.296
2023-04-24 09:58:00,GS,0.5106
2023-04-24 14:20:48,GS,0.2263
2023-04-24 14:50:09,GS,0.34
2023-04-25 03:20:10,GS,0.296
2023-04-25 04:06:00,GS,0.5106
2023-04-25 04:16:00,GS,0.5423
2023-04-25 09:58:00,GS,0.3089
2023-04-25 14:31:51,GS,0.2023
2023-04-25 21:19:00,GS,0.34
2023-04-26 04:01:13,GS,0.4404
2023-04-26 08:39:39,GS,-0.34
2023-04-26 08:45:03,GS,0.6249
2023-04-26 09:58:00,GS,0.3089
2023-04-26 12:01:00,GS,-0.4019
2023-04-27 03:49:00,GS,0.4404
2023-04-27 04:00:00,GS,0.431
2023-04-27 06:00:01,GS,0.2263
2023-04-27 06:26:00,GS,-0.1531
2023-04-27 09:01:00,GS,0.296
2023-04-27 12:00:35,GS,-0.6705
2023-04-28 07:19:00,GS,-0.1779
2023-04-29 22:33:00,GS,0.3818
2023-04-29 23:00:00,GS,-0.2584
2023-04-30 00:01:00,GS,0.2023
2023-04-30 20:37:00,GS,-0.296
2023-04-30 22:03:00,GS,-0.3612
2023-05-01 12:01:00,GS,-0.5574
2023-05-01 18:08:00,GS,0.296
2023-05-01 19:13:00,GS,0.4497
2023-05-02 00:53:03,GS,0.3612
2023-05-02 01:07:00,GS,0.4497
2023-05-02 01:26:00,GS,0.1779
2023-05-02 01:31:43,GS,-0.128
2023-05-02 03:26:00,GS,-0.128
2023-05-02 03:36:00,GS,-0.4019
2023-05-02 04:00:00,GS,-0.3818
2023-05-02 05:15:00,GS,-0.128
2023-05-02 05:46:57,GS,-0.296
2023-05-02 17:01:00,GS,-0.5023
2023-05-02 22:23:00,GS,0.6369
2023-05-02 23:15:00,GS,0.3612
2023-05-02 23:37:00,GS,-0.0772
2023-05-03 00:11:51,GS,0.3612
2023-05-03 02:01:00,GS,-0.6249
2023-05-03 11:01:55,GS,-0.7003
2023-05-03 11:17:48,GS,-0.2263
2023-05-03 17:10:26,GS,-0.2263
2023-05-03 23:45:23,GS,-0.1027
2023-05-04 03:09:45,GS,0.5719
2023-05-04 03:21:45,GS,-0.2023
2023-05-04 03:48:47,GS,-0.2263
2023-05-04 03:53:53,GS,-0.1027
2023-05-04 04:30:40,GS,0.0772
2023-05-04 06:30:51,GS,-0.4939
2023-05-04 07:17:24,GS,-0.4939
2023-05-04 08:44:12,GS,0.6395
2023-05-04 11:52:33,GS,0.3818
2023-05-04 12:30:09,GS,0.1531
2023-05-04 16:45:11,GS,-0.1531
