,ticker,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents(figures in $M),GWW,325.0,241.0,585.0,360.0
Total cash(figures in $M),GWW,325.0,241.0,585.0,360.0
Net receivables(figures in $M),GWW,2133.0,1754.0,1474.0,1425.0
Inventory(figures in $M),GWW,2253.0,1870.0,1733.0,1655.0
Other current assets(figures in $M),GWW,266.0,146.0,120.0,104.0
Total current assets(figures in $M),GWW,4977.0,4011.0,3919.0,3555.0
"Gross property, plant and equipment(figures in $M)",GWW,1828.0,1817.0,3537.0,3493.0
Accumulated depreciation(figures in $M),GWW,-1982.0,-1903.0,-2142.0,-2093.0
"Net property, plant and equipment(figures in $M)",GWW,1828.0,1817.0,1395.0,1400.0
Goodwill(figures in $M),GWW,371.0,384.0,391.0,429.0
Intangible assets(figures in $M),GWW,232.0,238.0,228.0,304.0
Other long-term assets(figures in $M),GWW,180.0,142.0,348.0,306.0
Total non-current assets(figures in $M),GWW,2611.0,2581.0,2376.0,2450.0
Total assets(figures in $M),GWW,7588.0,6592.0,6295.0,6005.0
Current debt(figures in $M),GWW,35.0,0.0,8.0,301.0
Accounts payable(figures in $M),GWW,1047.0,816.0,779.0,719.0
Taxes payable(figures in $M),GWW,52.0,37.0,42.0,27.0
Accrued liabilities(figures in $M),GWW,474.0,290.0,305.0,318.0
Total current liabilities(figures in $M),GWW,2010.0,1528.0,1441.0,1678.0
Long-term debt(figures in $M),GWW,2284.0,2362.0,2389.0,1914.0
Deferred tax liabilities(figures in $M),GWW,121.0,121.0,110.0,106.0
Other long-term liabilities(figures in $M),GWW,120.0,87.0,262.0,247.0
Total non-current liabilities(figures in $M),GWW,2843.0,2904.0,2761.0,2267.0
Total liabilities(figures in $M),GWW,4853.0,4432.0,4202.0,3945.0
Common stock(figures in $M),GWW,55.0,55.0,55.0,55.0
Retained earnings(figures in $M),GWW,10700.0,9500.0,8779.0,8405.0
Accumulated other comprehensive income(figures in $M),GWW,-180.0,-96.0,-61.0,-154.0
Total stockholders' equity(figures in $M),GWW,2735.0,2160.0,2093.0,2060.0
Total liabilities and stockholders' equity(figures in $M),GWW,7588.0,6592.0,6295.0,6005.0
