,ticker,2023,2024,2025,2026
Revenue(In $M),GWW,"16,583","17,745","19,038","20,386"
Dividend,GWW,7.15,7.71,7.83,9.86
Dividend Yield (in %),GWW,1.07 %,1.16 %,1.78 %,1.91 %
EPS,GWW,35.71,38.43,40.56,44.40
P/E Ratio,GWW,18.70,17.37,16.46,15.04
EBIT(In $M),GWW,"2,546","2,712","2,818","3,050"
EBITDA(In $M),GWW,"2,751","2,900","3,087","3,342"
Net Profit(In $M),GWW,"1,808","1,914","1,978","2,100"
Net Profit Adjusted(In $M),GWW,"1,803","1,920","2,024","2,167"
Pre-Tax Profit(In $M),GWW,"2,479","2,642","2,753","2,977"
Net Profit (Adjusted)(In $M),GWW,"2,418","2,601","2,673",-
EPS (Non-GAAP) ex. SOE(In $),GWW,35.71,38.43,40.56,44.40
EPS (GAAP)(In $),GWW,35.54,38.35,39.87,43.63
Gross Income(In $M),GWW,"6,504","6,872","7,292","7,746"
Cash Flow from Investing(In $M),GWW,-462,-464,-473,-722
Cash Flow from Operations(In $M),GWW,"1,755","2,008","2,214","2,317"
Cash Flow from Financing(In $M),GWW,"-1,076","-1,145","-1,108","-1,624"
Cash Flow per Share(In $),GWW,36.60,41.60,44.49,48.75
Free Cash Flow(In $M),GWW,"1,255","1,472","1,629","1,647"
Free Cash Flow per Share(In $),GWW,22.42,26.29,28.81,33.01
Book Value per Share(In $),GWW,69.99,89.76,108.07,115.13
Net Debt(In $M),GWW,"1,781","1,378","1,107",783
Research & Development Exp.(In $M),GWW,-,-,-,-
Capital Expenditure(In $M),GWW,478,500,522,654
"Selling, General & Admin. Exp.(In $M)",GWW,"3,929","4,107","4,497","4,727"
Shareholder’s Equity(In $M),GWW,"3,568","4,539","5,453","5,656"
Total Assets(In $M),GWW,"8,425","9,341","10,389","10,475"
