,headline,final_score,datetime
0,"W.W. Grainger Inc. stock falls Thursday, underperforms market",86,2023-05-04 09:58:00
2,"Zacks.com featured highlights Microsoft, Adobe, W.W. Grainger and Lincoln Electric",86,2023-05-04 02:09:09
3,"W.W. Grainger Inc. stock falls Wednesday, underperforms market",86,2023-05-03 09:58:00
4,GWW Stock Earns Membership In 95-Plus Composite Rating Club,60,2023-05-03 08:45:00
6,"Ex-Dividend Reminder: W.W. Grainger, Eaton and Matthews International",86,2023-05-03 03:04:00
7,W.W. Grainger Inc. stock outperforms market despite losses on the day,86,2023-05-02 09:58:00
8,Loop Capital Maintains Grainger (GWW) Buy Recommendation,86,2023-05-01 10:29:17
9,Stephens & Co. Maintains Grainger (GWW) Equal-Weight Recommendation,86,2023-05-01 10:29:15
10,Morgan Stanley Maintains Grainger (GWW) Underweight Recommendation,86,2023-05-01 10:29:13
11,W.W. Grainger Inc. stock outperforms competitors on strong trading day,86,2023-05-01 09:58:00
13,Morgan Stanley Remains a Sell on WW Grainger (GWW),86,2023-05-01 01:46:00
14,Grainger price target raised to $800 from $750 at Loop Capital,86,2023-05-01 00:39:00
15,"Analysts Are Bullish on These Industrial Goods Stocks: Arcosa (ACA), WW Grainger (GWW)",86,2023-04-30 23:51:00
16,Here's What We Like About W.W. Grainger's (NYSE:GWW) Upcoming Dividend,86,2023-04-30 05:18:51
18,Oppenheimer Maintains Grainger (GWW) Outperform Recommendation,86,2023-04-28 23:53:21
20,"W.W. Grainger Inc. stock falls Friday, underperforms market",86,2023-04-28 09:58:00
21,Baird Maintains Grainger (GWW) Outperform Recommendation,86,2023-04-28 08:58:21
22,Grainger price target raised to $815 from $800 at UBS,86,2023-04-27 23:27:00
23,Grainger price target raised to $800 from $785 at Oppenheimer,86,2023-04-27 22:47:00
24,Grainger price target raised to $760 from $730 at Baird,86,2023-04-27 22:34:00
25,Grainger (GWW) Declares $1.86 Dividend,86,2023-04-27 18:14:20
26,"W.W. Grainger, Inc. 2023 Q1 - Results - Earnings Call Presentation",90,2023-04-27 09:55:18
27,"Grainger (GWW) Beats Q1 Earnings Estimates, Ups '23 Guidance",86,2023-04-27 08:18:03
28,W.W. Grainger (GWW) Q1 Earnings and Revenues Beat Estimates,86,2023-04-27 06:15:01
29,"W.W. Grainger, Inc. (GWW) Q1 2023 Earnings Call Transcript",90,2023-04-27 05:42:04
30,GRAINGER REPORTS RESULTS FOR THE FIRST QUARTER 2023,86,2023-04-27 05:00:00
31,Grainger`s stock rises on improved earnings guidance,86,2023-04-27 02:03:00
32,Grainger Lifts 2023 Earnings Outlook,86,2023-04-27 01:38:00
33,"Grainger Earnings, Sales Rise in 1Q",86,2023-04-27 01:25:00
34,W.W. Grainger: Q1 Earnings Snapshot,86,2023-04-27 01:12:00
35,"W.W. Grainger GAAP EPS of $9.61 beats by $1.05, revenue of $4.09B beats by $10M",86,2023-04-27 00:12:00
36,Grainger raises FY23 operating cash flow view to $1.6B-$1.8B from $1.45B-$1.65B,86,2023-04-27 00:05:00
37,Grainger raises FY23 EPS view to $34.25-$36.75 from $32.00-$34.50,86,2023-04-27 00:02:00
38,"Grainger reports Q1 diluted EPS $9.61, consensus $8.51",86,2023-04-27 00:01:00
39,GRAINGER'S SHAREHOLDERS ELECT 11 DIRECTORS AND OTHER ANNUAL MEETING HIGHLIGHTS,86,2023-04-26 08:36:00
40,GRAINGER INCREASES QUARTERLY DIVIDEND by 8%,86,2023-04-26 07:07:00
41,W.W. Grainger Q1 2023 Earnings Preview,86,2023-04-26 03:37:00
42,W.W. Grainger raises dividend by 8% to $1.86,86,2023-04-26 02:37:00
43,Grainger board increases quarterly dividend 8% to $1.86 per share,86,2023-04-26 02:09:00
44,W.W. Grainger: Winners Keep Winning,86,2023-04-25 10:48:14
45,W.W. Grainger Inc. stock outperforms competitors despite losses on the day,86,2023-04-24 20:59:00
46,SIEGY or GWW: Which Is the Better Value Stock Right Now?,60,2023-04-24 08:40:03
47,Why W.W. Grainger (GWW) is a Top Growth Stock for the Long-Term,86,2023-04-24 06:45:01
49,"Zacks.com featured highlights Insperity, Microchip Technology, Darden Restaurants, Dr. Reddy's and W.W. Grainger",86,2023-04-24 02:41:09
50,"W.W. Grainger Inc. stock rises Monday, outperforms market",86,2023-04-23 20:59:00
52,3 Reasons Why Growth Investors Shouldn't Overlook W.W. Grainger (GWW),86,2023-04-21 09:45:04
53,Is W.W. Grainger (GWW) Stock Outpacing Its Industrial Products Peers This Year?,86,2023-04-21 06:40:01
55,3 Reasons Why Growth Investors Shouldn`t Overlook W.W. Grainger,86,2023-04-20 21:38:00
56,W.W. Grainger Inc. stock outperforms market on strong trading day,86,2023-04-20 20:59:00
57,W.W. Grainger (GWW) Gains As Market Dips: What You Should Know,86,2023-04-20 15:15:10
58,Grainger (GWW) Set to Report Q1 Earnings: What's in Store?,86,2023-04-20 08:37:03
59,"Zacks.com featured highlights include Bloomin' Brands, Adobe, W.W. Grainger and Cintas",86,2023-04-19 05:58:12
60,W.W. Grainger Inc. stock underperforms Wednesday when compared to competitors,86,2023-04-18 20:59:00
66,"W.W. Grainger Inc. stock rises Friday, outperforms market",86,2023-04-13 20:59:00
67,W.W. Grainger Inc. stock underperforms Thursday when compared to competitors,86,2023-04-13 09:57:00
69,"W.W. Grainger Inc. stock rises Wednesday, outperforms market",86,2023-04-12 09:57:00
70,"Zacks.com featured highlights include W.W. Grainger, Olympic Steel, Sprouts Farmers Market, Veritiv and Phillips 66",86,2023-04-12 04:53:11
71,"Analysts Offer Insights on Industrial Goods Companies: Stantec (STN), WW Grainger (GWW) and Sunoco (SUN)",86,2023-04-12 01:51:00
74,"W.W. Grainger Inc. stock falls Tuesday, underperforms market",86,2023-04-11 09:57:00
79,Here's Why W.W. Grainger (GWW) is a Strong Value Stock,86,2023-04-05 06:40:01
81,W.W. Grainger Inc. stock underperforms Tuesday when compared to competitors,86,2023-04-04 09:58:00
82,Is W.W. Grainger (GWW) Outperforming Other Industrial Products Stocks This Year?,86,2023-04-04 06:40:01
83,Grainger named one of the Fortune 100 Best Companies to Work For® in 2023,86,2023-04-04 05:30:00
84,Grainger Case Study: The Anatomy Of 30% Annual Returns,86,2023-04-03 19:09:06
86,"W.W. Grainger Inc. stock falls Monday, underperforms market",86,2023-04-03 09:57:00
87,Here's Why We Think W.W. Grainger (NYSE:GWW) Is Well Worth Watching,86,2023-04-03 06:45:34
88,"Zacks.com featured highlights W.W. Grainger, Ameriprise, Agilent Technologies and Bloomin'",86,2023-04-03 03:12:10
89,"Zacks Industry Outlook Highlights W.W. Grainger, Ashtead and Velo3D",86,2023-03-30 02:14:09
91,"W.W. Grainger Inc. stock rises Tuesday, outperforms market",86,2023-03-28 09:58:00
95,"Zacks.com featured highlights include Omnicom, Inter Parfums and W.W. Grainger",86,2023-03-24 03:47:10
97,"W.W. Grainger Inc. stock rises Tuesday, still underperforms market",86,2023-03-21 09:58:00
98,"Final Trades: WW Grainger, Corteva, Wabtec & more",86,2023-03-20 07:06:41
99,W.W. Grainger Inc. stock underperforms Friday when compared to competitors,86,2023-03-17 09:57:00
101,W.W. Grainger Inc. stock underperforms Thursday when compared to competitors despite daily gains,86,2023-03-16 09:58:00
104,W.W. Grainger Inc. stock underperforms Monday when compared to competitors,86,2023-03-13 09:58:00
106,"W.W. Grainger Inc. stock falls Thursday, still outperforms market",86,2023-03-09 08:58:00
109,"With 75% ownership in W.W. Grainger, Inc. (NYSE:GWW), institutional investors have a lot riding on the business",90,2023-03-08 03:37:31
111,Is W.W. Grainger (GWW) a High-Growth Stock?,86,2023-03-07 03:23:34
